"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ADULT_BEHAVIOR",0.000192122958693564,0.0905393861369461,-0.524211520229641,-1.6727317677597,0,131,"OPRD1;DRD2;FOSB;ALK;CRHBP;SLITRK6;KCNJ10;CHD7;SLITRK5;FOXA2;PCDH17;LGI4;NLGN4X;FXN;CHRNB2;UCHL1;SEZ6L2;ATP6V1B1"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",0.000196540880503145,0.0905393861369461,-0.738018370061512,-1.98006635598132,0,41,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFI30;MPEG1;HLA-DOB"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",0.000196347928529354,0.0905393861369461,-0.745819967396013,-1.9717079413328,0,37,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFI30;MPEG1;HLA-DOB"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",0.000195924764890282,0.0905393861369461,-0.825839993017461,-2.01631824538665,0,25,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFI30;HLA-DOB"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",0.000194893782888326,0.0905393861369461,-0.66456136841398,-1.90473902594385,0,61,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;AZGP1;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFI30;MPEG1;HLA-DOB"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.000197511356903022,0.0905393861369461,-0.806297748797065,-2.03820577505021,0,30,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA2;IFI30;HLA-DOB"
"GOBP_ENSHEATHMENT_OF_NEURONS",0.000192529842125529,0.0905393861369461,-0.528244007596444,-1.69669613469764,0,139,"SOX10;S100B;PTPRZ1;MAL;DHH;POU3F2;KCNJ10;ERBB3;ADGRG6;UGT8;GPM6B;LGI4;CXCR4;PLP1;KLK6;MPZ;POU3F1;EGR2"
"GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION",0.000202429149797571,0.0905393861369461,-0.964904529179166,-1.71247725576228,0,6,"DRD2"
"GOBP_NEGATIVE_REGULATION_OF_SCHWANN_CELL_PROLIFERATION",0.000201816347124117,0.0905393861369461,-0.976885236871262,-1.66722189005341,0,5,"SOX10"
"GOBP_NEURON_NEURON_SYNAPTIC_TRANSMISSION",0.000198925800676348,0.0905393861369461,-0.959994816034852,-1.76870848275968,0,7,"DRD2"
"GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS",0.000204540805890775,0.0905393861369461,0.912771198067086,1.81061565249818,0,10,"MGAM;MAN2B2"
"GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX",0.000196502259775987,0.0905393861369461,-0.882449245687273,-2.01533623168663,0,18,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1"
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION",0.000186915887850467,0.0905393861369461,-0.462915305296542,-1.59006337483119,0,263,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;IL1B;HLA-DMB;PKP1;LEF1;IL12RB1;RAP1GAP;ZAP70;HLA-DPA1;HLA-DPB1;SPTA1;CX3CL1;MEGF10;TNFSF11;MFSD2B;FOXA2;HES1;SERPINF2;FGB;ADAM19;IL1A;PTPN6;FGA;CCL21;NR5A2;FGG;HLA-DQA2;WNT5A;ZP3;ADAM8;EFNB3;SYK;CD274;HLA-DOB;HLX;HAVCR2;MDK;IL1RL2;ANK3;IHH;NLRP3;PRKCZ;FOXA1;HLA-DMA;CORO1A;CD4;EGR3;IL15"
