"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.000556483027267668,0.139024604312337,-0.420879991037659,-1.48563972672312,2,375,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;IL1B;HLA-DMB;LEF1;IL12RB1;AZGP1;RAP1GAP;ZAP70;CFI;HLA-DPA1;IL33;HLA-DPB1;CD226;EOMES;TNFRSF17;CD79B;SUSD4;IL18R1;IGHV3-11;CD79A;CRTAM;FCGR2A;LAX1;IGLV1-40;HPX;FGB;RAP1GAP2;C7;LAG3;ITK;C4BPA;FGL1;C4B;C2;PTPN6;MCOLN2;FGA;IGHG1;BACH2;HLA-DQA2;PAG1;IL27RA;IFNE;CARD9;IGLC3;MPEG1;ZP3;SYK;CD274;HLA-DOB;LAMP3;C4A;EPHB2;HLX;SCART1;RAPGEF4;CEACAM1;HAVCR2;TRBV12-4;AIRE;JUNB;NLRP3;PRKCZ;PSMB9;IRF1;HLA-DMA;SHLD1;IL2RB;CD4;IGKC;CD40;ULBP1;IL17B;NFKBIZ;FCRLB;LOXL3"
"GOBP_DISACCHARIDE_METABOLIC_PROCESS",0.000392233771327711,0.139024604312337,0.95294227171517,1.62564770856812,1,5,"MGAM;IDUA"
"GOBP_ENSHEATHMENT_OF_NEURONS",0.000382701875239189,0.139024604312337,-0.528244007596444,-1.68987196213315,1,139,"SOX10;S100B;PTPRZ1;MAL;DHH;POU3F2;KCNJ10;ERBB3;ADGRG6;UGT8;GPM6B;LGI4;CXCR4;PLP1;KLK6;MPZ;POU3F1;EGR2"
"GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS",0.000212269157291446,0.139024604312337,0.501055455617395,1.66361316428719,0,160,"GSTM1;ALDH1L1;VNN2;DUOX2;FTCD;NDP;FOXE1;DIO1;SNCA;CHDH;DUOXA1;FOLR1;VNN1;GGT1;GSTT2;GSTM5;PRODH;MBOAT1;CKB;GATA3;DIO2;CRYAB;HAGH;PLA2G15;OSBPL10;PAX8;SULT1A4;GSTO2;MGST2;CHAC2;ARL6IP5;GSTA1;SOD2;CTSK;DUOX1;PCYOX1"
"GOBP_NEURON_NEURON_SYNAPTIC_TRANSMISSION",0.000614376407945935,0.139024604312337,-0.959994816034852,-1.76004211844776,2,7,"DRD2"
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",0.00055452865064695,0.139024604312337,-0.415448526641213,-1.47162056647443,2,392,"DRD2;CD200;TLR9;CD74;IL1B;IL12RB1;INAVA;FLT4;C3AR1;GATA4;GBP5;HLA-DPA1;IL33;HLA-DPB1;TLR5;CD226;IL18R1;AFAP1L2;CX3CL1;MEFV;LTB;LPL;CRTAM;FCGR2A;APOA2;SERPINF2;PLA2G1B;ITK;CSF1R;CXCL17;IL1A;MCOLN2;PANX2;NLRC4;C1QTNF3;IL27RA;EGR1;IL32;CARD9;WNT5A;SULF2;ZP3;ADAM8;SYK;CD274;IRF5;EPHB2;HAVCR2;MDK;IL1RL2;PDE4D;AIRE;NLRP3;SPHK1;PRKCZ;RBM47;PSMB9;IRF1;POLR3G;LAPTM5;USP50;F2RL1;HGF;CD4;IL15;PTPN22;CD40;POU2F2;IL17B;IKBKE;TLR2;HMSD;CCDC88B;CAMK4;HMOX1;NOD1;IL1RAP;IL1R1;BCL3;FGR;F3;CASP1;TRIM6;HIF1A;FOXP3"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE",0.000348614258323165,0.139024604312337,-0.370899271978177,-1.37667835651767,1,765,"DRD2;HLA-DQA1;HLA-DQB1;MOG;HLA-DRB5;CD200;HLA-DOA;GPR17;TLR9;HLA-DRB1;CD74;HLA-DRA;IL1B;HLA-DMB;IL12RB1;AZGP1;INAVA;CD37;ZAP70;CFI;FPR2;C3AR1;GBP5;HLA-DPA1;IL33;POMC;HLA-DPB1;TLR5;CD226;FPR1;CD79B;SUSD4;IL18R1;C5AR2;APOE;MEFV;CD79A;CRTAM;FCGR2A;PGC;LAX1;PLA2G1B;HPX;CFD;C7;LAG3;ITK;C4BPA;CFP;FGL1;C4B;C2;PTPN6;SLC15A3;IGHG1;CD200R1;A2M;NLRC4;FCN3;HLA-DQA2;IL27RA;CARD9;IGLC3;WNT5A;CMKLR1;ZP3;ADAM8;CD38;SYK;CD274;IRF5;HLA-DOB;CALHM6;C4A;EPHB2;SLAMF8;LGR4;HLX;AMBP;CEACAM1;HAVCR2;CLEC2D;PDE4D;JUNB;NLRP3;PRKCZ;AURKB;RBM47;S100A14;IRF1;POLR3G;HLA-DMA;SHLD1;TRIL;LAPTM5;USP50;F2RL1;CD4;COL3A1;FGL2;IGKC;IL15;MC5R;PTPN22;PLPP4;CD40;SLC19A1;ULBP1;NFKBIZ;RHBDF2;FCRLB;LOXL3"
"GOBP_GLUTATHIONE_METABOLIC_PROCESS",0.000821861516334498,0.145304437564499,0.654702926987329,1.82989808873215,3,49,"GSTM1;NDP;SNCA;GGT1;GSTT2;GSTM5;CRYAB;HAGH;GSTO2;MGST2;CHAC2;ARL6IP5;GSTA1;SOD2"
"GOBP_SYNAPTIC_VESICLE_RECYCLING",0.000825593395252838,0.145304437564499,0.536865397001523,1.63005524761567,3,81,"PACSIN1;MX1;SNCA;SLC17A7;ABCA13;SYT1;MYLK;AP3B2;LRRK2;STON2;RAB3A;MX2;SNCG;CLTB;PRKN;ATP8A1;AP3S2;VAMP2;DNAJC6;PLD2;DNM3;STX1B;CAPN2;SYT11;ITSN2;AP2A1;ACTB"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",0.00123718628490633,0.195970307529162,-0.363094987033734,-1.33093200680067,6,620,"HLA-DQA1;HLA-DQB1;MOG;HLA-DRB5;HLA-DOA;TLR9;HLA-DRB1;CD74;HLA-DRA;IL1B;HLA-DMB;IL12RB1;AZGP1;INAVA;ZAP70;CFI;FPR2;C3AR1;GBP5;HLA-DPA1;IL33;HLA-DPB1;TLR5;CD226;FPR1;CD79B;SUSD4;IL18R1;C5AR2;MEFV;CD79A;CRTAM;PGC;LAX1;PLA2G1B;HPX;CFD;C7;LAG3;ITK;C4BPA;CFP;FGL1;C4B;C2;PTPN6;SLC15A3;IGHG1;A2M;NLRC4;FCN3;HLA-DQA2;IL27RA;CARD9;IGLC3;WNT5A;CMKLR1;ZP3;ADAM8;CD38;SYK;CD274;IRF5;HLA-DOB;C4A;LGR4;HLX;CEACAM1;HAVCR2;CLEC2D;PDE4D;NLRP3;PRKCZ;AURKB;RBM47;S100A14;IRF1;POLR3G;HLA-DMA;SHLD1;TRIL;LAPTM5;USP50;F2RL1;CD4;IGKC;IL15;PTPN22;PLPP4;CD40;SLC19A1;ULBP1"
