"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",0.000196540880503145,0.0427496038034865,-0.833378689223739,-2.12315646493052,0,31,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;HLA-DPA1;HLA-DPB1;UGT8"
"GOCC_LUMENAL_SIDE_OF_MEMBRANE",0.000195848021934978,0.0427496038034865,-0.783927065673569,-2.09073043777323,0,40,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;HLA-DPA1;HLA-DPB1;UGT8"
"GOCC_MHC_CLASS_II_PROTEIN_COMPLEX",0.000198098256735341,0.0427496038034865,-0.898806954827688,-1.92589515574887,0,14,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1"
"GOCC_MHC_PROTEIN_COMPLEX",0.000197589409207666,0.0427496038034865,-0.847226657735875,-2.00941829145871,0,22,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1"
"GOCC_TRANSPORT_VESICLE_MEMBRANE",0.000186567164179104,0.0427496038034865,-0.509744057420888,-1.71739533972336,0,221,"OPRD1;DRD2;SLC35F1;GABRA2;HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;UNC13C;ABCA12;HLA-DPA1;SLC30A8;AP1M2;HLA-DPB1;PTPRN;ICA1;SCG3;SYN3;SYN2;ATP6V1B1;SYNDIG1;BSN;HLA-DQA2;FER1L5;ATP6V1G3;CLTCL1;ATP6V1G2;CEACAM1"
"GOCC_MYELIN_SHEATH",0.000393778302815515,0.0708144647896568,-0.714856097421195,-1.89760908882255,1,39,"PMP2;MAL;GPM6B;PLP1;MPZ;MARVELD2;PRKCZ"
"GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE",0.000584225900681597,0.0787974683544304,-0.628062404348387,-1.79386992873886,2,60,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;HLA-DPA1;HLA-DPB1"
"GOCC_TRANS_GOLGI_NETWORK_MEMBRANE",0.000570993528740008,0.0787974683544304,-0.546590833244096,-1.6852903111571,2,104,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;HLA-DPA1;AP1M2;HLA-DPB1"
"GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE",0.000762485703393061,0.091413563773457,-0.575052164342692,-1.7409521153176,3,90,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DRB1;CD74;HLA-DRA;HLA-DPA1;VANGL2;HLA-DPB1;COL7A1;SERPINA1;HLA-DQA2"
"GOCC_LATE_ENDOSOME",0.000924043614858621,0.0997043060432452,-0.43029979250937,-1.49196532877734,4,299,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;ATP10B;HLA-DMB;LRAT;CRHBP;HLA-DPA1;HLA-DPB1;APOE;RASGEF1B;ATP13A4;CD79A;ACP3;CXCR4;RNF128;MCOLN2;HLA-DQA2;SFTPA1;PGA4;HLA-DOB;CLTCL1;LAMP3;TF;SFTPA2;RHOB;HLA-DMA;SMO;PMEL"
