"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_DISTAL_AXON",0.0155927108773248,0.302763315979175,-0.397242472580414,-1.34375109396602,82,231,"OPRD1;DRD2;NGFR;COBL;UNC13C;GPM6A;RTN4R;CRHBP;ADCY10;GAP43;FRMD7;PTPRN;KCNA2;SLC4A10;KIF21B;STMN3;NTS;FLRT3;MYH14"
"GOCC_DOPAMINERGIC_SYNAPSE",0.0162194633560272,0.302763315979175,-0.788310589810644,-1.59998418039764,80,11,"DRD2"
"GOCC_IMMUNOLOGICAL_SYNAPSE",0.00434610825760569,0.302763315979175,-0.66249296265663,-1.72455347864903,21,35,"HLA-DRB1;HLA-DRA;CD37;ZAP70;CRTAM;CALHM6;HAVCR2;CORO1A"
"GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE",0.00901607212857703,0.302763315979175,-0.494389730823993,-1.51705866378628,45,99,"OPRD1;NETO1;GRIK4;ELFN2;CACNG7;GRID1;ERBB4;GPR158;VANGL2;SHISA9;SLITRK5;IQSEC3;NLGN4X;GRIK5;SYNDIG1;GRIA2;CACNG8"
"GOCC_POSTSYNAPTIC_MEMBRANE",0.0144302848575712,0.302763315979175,-0.393775525451892,-1.33867025392576,76,241,"OPRD1;DRD2;GABRA2;NETO1;GRIK4;ELFN2;DGKB;CHRNA9;CACNG7;GABRA5;GRID1;ERBB4;ERBB3;GPR158;VANGL2;LRRTM4;SHISA9;SUSD4;SLITRK5;KCNA2;IQSEC3;IL1RAPL1;PCDH17;NLGN4X;GRIK5;CHRNB2;FXYD6;SYNDIG1;ADORA2A;GRIA2;ADGRL3;FLRT3;CACNG8"
"GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE",0.0135265700483092,0.302763315979175,-0.466704960280089,-1.46260268192292,69,116,"OPRD1;GABRA2;NETO1;GRIK4;ELFN2;CHRNA9;CACNG7;GABRA5;GRID1;ERBB4;GPR158;VANGL2;SHISA9;SLITRK5;IQSEC3;NLGN4X;GRIK5;SYNDIG1;GRIA2;CACNG8"
"GOCC_PRESYNAPTIC_MEMBRANE",0.00728946863610205,0.302763315979175,-0.462825524037559,-1.48547670543839,37,141,"OPRD1;DRD2;GRIK4;UNC13C;GPM6A;GABRA5;ERBB4;CADM3;GPR158;KCNA2;PCDH17;HTR1B;ATP2B3;GRIK5;CHRNB2;FXYD6;LPAR2;ADORA2A;FLRT3;RIMS3;EFNB3;EPHB2;SNCAIP;CACNA2D2;KCNH1;ADAM11;ADCY8;RIMS2;NECTIN1;NTM;SYT7"
"GOCC_PROTEIN_LIPID_COMPLEX",0.013660661255197,0.302763315979175,-0.6601735790344,-1.64332871699365,68,27,"APOC2;APOE;LPL;APOA2;APOA1;APOL1;APOB;APOH;VLDLR;APOBR;BIN1;PLTP;LDLR;LCAT"
"GOCC_SYNAPTIC_VESICLE_MEMBRANE",0.00698757763975155,0.302763315979175,-0.488689365425924,-1.52649571299249,35,114,"OPRD1;DRD2;SLC35F1;GABRA2;UNC13C;ICA1;SYN3;SYN2;ATP6V1B1;SYNDIG1;BSN;FER1L5;ATP6V1G3;ATP6V1G2"
"GOCC_AXONAL_GROWTH_CONE",0.0187027457222443,0.314206128133705,-0.660475693428001,-1.59713592557364,93,24,"COBL;GPM6A;RTN4R;FLRT3"
"GOCC_SYNAPTIC_MEMBRANE",0.0233278658647713,0.356280133207416,-0.359955435961949,-1.26560082995217,127,345,"OPRD1;DRD2;GABRA2;NETO1;GRIK4;UNC13C;GPM6A;ELFN2;DGKB;CHRNA9;CACNG7;GABRA5;GRID1;ERBB4;CADM3;ERBB3;GPR158;VANGL2;LRRTM4;SHISA9;SUSD4;KCNK1;SLITRK5;KCNA2;IQSEC3;IL1RAPL1;PCDH17;HTR1B;NLGN4X;ATP2B3;GRIK5;CHRNB2;FXYD6;LPAR2;SYNDIG1;ADORA2A;GRIA2;ADGRL3;FLRT3;RIMS3;CACNG8"
"GOCC_INTERCALATED_DISC",0.031936127744511,0.447105788423154,0.520098351817907,1.43714022957496,159,45,"SCN5A;FGF13;MYH1;DES;KCNJ2;CAV3;JUP;ATP1A2;FXYD1;CXADR;GJA1"
"GOCC_NEURON_PROJECTION_TERMINUS",0.0382203057624461,0.482689613768261,-0.446973674950944,-1.37156021614479,194,99,"OPRD1;DRD2;UNC13C;CRHBP;PTPRN;KCNA2;SLC4A10;UCHL1;NTS;FLRT1;FLRT3;BSN"
"GOCC_NEURONAL_DENSE_CORE_VESICLE",0.0402241344806884,0.482689613768261,-0.650873022744534,-1.51325578720909,200,20,"OPRD1;SCG2;FZD8;TAC1"
"GOCC_PARALLEL_FIBER_TO_PURKINJE_CELL_SYNAPSE",0.0452905811623247,0.507254509018036,-0.660421126198561,-1.50328128565841,225,18,"UNC13C;GPM6A;SUSD4;ATP2B3"
"GOCC_CANONICAL_INFLAMMASOME_COMPLEX",0.0666532824733989,0.559887572776551,-0.695338770948594,-1.44311772131711,331,12,"MEFV;NLRC4;NLRP3;CASP1;PYCARD;CASP4;DHX33"
"GOCC_DENDRITE_MEMBRANE",0.0663883919697873,0.559887572776551,-0.539984505667232,-1.39755385097783,333,34,"OPRD1;GABRA2;GABRA5;SHISA9"
"GOCC_GABA_ERGIC_SYNAPSE",0.0631786771964462,0.559887572776551,-0.442708937985714,-1.32756030263627,319,84,"DRD2;GABRA2;GUCY1A1;GABRA5;GRID1;ERBB4;GAP43;IQSEC3;SLC4A10;PCDH17;NLGN4X;ATP2B3"
"GOCC_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX",0.0653386454183267,0.559887572776551,-0.548525047926897,-1.40677440456229,327,32,"GRIK4;CACNG7;GRID1;SHISA9;GRIK5;GRIA2;OLFM2;CACNG8"
"GOCC_NEUROTRANSMITTER_RECEPTOR_COMPLEX",0.0608228980322004,0.559887572776551,-0.545758561040198,-1.41249789703389,305,34,"GRIK4;CACNG7;GRID1;SHISA9;GRIK5;CHRNB2;GRIA2;OLFM2;CACNG8"
