"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_ALPHA_1_4_GLUCOSIDASE_ACTIVITY",0.000199044585987261,0.0524111960431655,0.993870596016774,1.5358346248657,0,3,"MGAM;GANC"
"GOMF_ALPHA_GLUCOSIDASE_ACTIVITY",0.000201207243460765,0.0524111960431655,0.96171154592868,1.70839442152702,0,6,"MGAM;AGL"
"GOMF_CALCIUM_ION_BINDING",0.000224820143884892,0.0524111960431655,0.38935012603213,1.4381426999073,0,552,"PCDH10;SCUBE3;THBS4;CDH10;CDH18;DGKG;SMOC1;KCNIP4;PCP4;PLCH2;CDH8;CACNA1B;PCDHA4;MYL4;PCDHA12;CALML4;RPTN;ADGRE2;PCDHA6;DLL4;DUOX2;CABP4;RAB11FIP4;PCDHA5;PCDH19;CAPNS2;CDH3;HRC;MCTP1;CDHR1;BGLAP;NKD2;LRP1B;PCDHA11;ATP2B2;SCUBE1;DMP1;MMP12;PCDHA2;HABP2;SNCA;CDH17;S100P;GCA;PCLO;CDH26;PCDHB4;CABP1;CRACR2B;CDH23;CLEC3B;ANKEF1;EDIL3;BAIAP3;GALNT3;RASGRP2;ACTN2;FSTL5;S100A5;SYT1;DNER;ASAH2;DNASE1L2;MCTP2;EFHD1;PCDHA3;ANXA8;CASQ2;CALML6;PCDHA10;SPATA21;EFCAB8;F10;SYT5;PRRG3;PCDHGA9;ASPN;PADI2;CDH6;VWCE;CDH15;PRRG4;PLCB4;SELL;EFHB;CDHR3;PLCD1;FAT3;TNNC1;PCDHB9;DCHS2;GRIN1;DLK1;PCDHB10;MGP;REPS2;NPNT;NOX5;CAPS;PCDHB8;CLGN;PITPNM3;PCDHB7;PCDHGB5;PCDHGC4;PKD1L2;ANXA13;RGN;CAPN14;SLC25A23;RYR2;TUBB4A;MEGF6;ACTN3;GJB2;COMP;PLA2G4A;S100A4;CELSR1;CABYR;RET;PCDHB18P;EHD1;ANXA9;PLSCR4;DNAH7;DUOX1;PCDHGA4;VSNL1;SVEP1;PCDHB14;UNC13A;CLEC4A;ADGRE5;PLCD4;S100A10;SPP1;PAM;AMY2B;ENPP2;RYR3;FAT2"
"GOMF_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_ACTIVITY",0.000200883889112093,0.0524111960431655,-0.996696597607139,-1.54299621350105,0,3,"GFRA3;GFRA2"
"GOMF_MOLECULAR_TRANSDUCER_ACTIVITY",0.000178062678062678,0.0524111960431655,-0.376636017252704,-1.39893019121495,0,756,"ADGRG7;OPRD1;GFRA3;DRD2;NGFR;GABRA2;GFRA2;PTPRZ1;HLA-DQA1;HLA-DQB1;F2RL3;GUCY1A1;HLA-DOA;GPR17;GRIK4;TLR9;CD74;GRM6;ELFN2;IL1R2;CLDN4;ALK;RTN4R;LTK;IL12RB1;CHRNA9;EPHA6;CXCR6;EPHA1;GABRA5;PTGDR;FLT4;GRID1;SORCS1;FPR2;DMBT1;C3AR1;ERBB4;TAS2R30;HLA-DPA1;HCAR1;ERBB3;GPR158;OR3A2;LRRTM4;GPRC5C;TLR5;ADGRG1;OR2D3;NR1I3;CD226;ADGRG6;FPR1;TNFRSF17;CD79B;SCN7A;IL18R1;GRM4;IGFALS;APLNR;C5AR2;MYOT;PTGDR2;CD79A;GPR37L1;P2RY13;GPR141;FCGR2A;EPHB1;TSHR;HTR1B;TGFBR3L;OR2AG2;PLXNA4;LAG3;CXCR4;TAS2R31;CSF1R;PTAFR;GRIK5;CHRNB2;CALCRL;PTPN6;TIE1;GPR3;FGFR4;MST1R;LPAR2;EPHA5;ADORA2A;CD200R1;GRIA2;PTPRE;NR5A2;GPR156;FCN3;HNF4A;PAQR6;ADGRL3;HLA-DQA2;TAS2R19;EDNRB;GPR45;GUCY1B1;IL27RA;CMKLR1;RTN4RL1;CPN2;GAL;OR7C1;PECAM1;LPAR6;CD38;MCHR1;EFNB3;FCRLA;HLA-DOB;UTS2R;SCARF1;EPHB2;SLAMF8;LGR4;FZD8;HAVCR2;CLEC2D;IL1RL2"
"GOMF_PEPTIDE_ANTIGEN_BINDING",0.00019723865877712,0.0524111960431655,-0.784386048271659,-1.95681489460208,0,29,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1"
"GOMF_PEPTIDE_BINDING",0.00019146084625694,0.0524111960431655,-0.528337368101808,-1.73791705619942,0,181,"OPRD1;NGFR;HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;CRHBP;FPR2;HLA-DPA1;HLA-DPB1;APOE;PTGDR2;GPR37L1;APOA1;KCNIP2;GRIA2;HLA-DQA2;MCHR1;HLA-DOB;EPHB2"
"GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY",0.000181028240405503,0.0524111960431655,-0.403491464780051,-1.46960736047905,0,560,"ADGRG7;OPRD1;GFRA3;DRD2;NGFR;GABRA2;GFRA2;PTPRZ1;HLA-DQA1;HLA-DQB1;F2RL3;HLA-DOA;GPR17;GRIK4;CD74;GRM6;IL1R2;CLDN4;ALK;RTN4R;LTK;IL12RB1;CHRNA9;EPHA6;CXCR6;EPHA1;GABRA5;PTGDR;FLT4;GRID1;SORCS1;FPR2;C3AR1;ERBB4;TAS2R30;HLA-DPA1;HCAR1;ERBB3;GPR158;OR3A2;GPRC5C;TLR5;ADGRG1;OR2D3;ADGRG6;FPR1;CD79B;SCN7A;IL18R1;GRM4;APLNR;C5AR2;MYOT;PTGDR2;CD79A;GPR37L1;P2RY13;GPR141;FCGR2A;EPHB1;TSHR;HTR1B;TGFBR3L;OR2AG2;PLXNA4;LAG3;CXCR4;TAS2R31;CSF1R;PTAFR;GRIK5;CHRNB2;CALCRL;PTPN6;TIE1;GPR3;FGFR4;MST1R;LPAR2;EPHA5;ADORA2A;CD200R1;GRIA2;PTPRE;GPR156;ADGRL3;HLA-DQA2;TAS2R19;EDNRB;GPR45;IL27RA;CMKLR1;GAL;OR7C1;PECAM1;LPAR6;MCHR1;EFNB3;FCRLA;HLA-DOB;UTS2R;SCARF1;EPHB2;LGR4;FZD8;HAVCR2;CLEC2D;IL1RL2"
"GOMF_GLUCOSIDASE_ACTIVITY",0.000397614314115308,0.0674136996204591,0.890352098148549,1.78059899012619,1,10,"MGAM;KL"
"GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING",0.000395882818685669,0.0674136996204591,-0.854234961027588,-2.03648573826255,1,23,"HLA-DQA1;HLA-DQB1;HLA-DRB5;HLA-DOA;HLA-DRB1;CD74;HLA-DRA;HLA-DMB;HLA-DPA1;HLA-DPB1"
