"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_CALCIUM_ION_BINDING",0.000224014336917563,0.0253136200716846,0.38935012603213,1.44039671666762,0,552,"PCDH10;SCUBE3;THBS4;CDH10;CDH18;DGKG;SMOC1;KCNIP4;PCP4;PLCH2;CDH8;CACNA1B;PCDHA4;MYL4;PCDHA12;CALML4;RPTN;ADGRE2;PCDHA6;DLL4;DUOX2;CABP4;RAB11FIP4;PCDHA5;PCDH19;CAPNS2;CDH3;HRC;MCTP1;CDHR1;BGLAP;NKD2;LRP1B;PCDHA11;ATP2B2;SCUBE1;DMP1;MMP12;PCDHA2;HABP2;SNCA;CDH17;S100P;GCA;PCLO;CDH26;PCDHB4;CABP1;CRACR2B;CDH23;CLEC3B;ANKEF1;EDIL3;BAIAP3;GALNT3;RASGRP2;ACTN2;FSTL5;S100A5;SYT1;DNER;ASAH2;DNASE1L2;MCTP2;EFHD1;PCDHA3;ANXA8;CASQ2;CALML6;PCDHA10;SPATA21;EFCAB8;F10;SYT5;PRRG3;PCDHGA9;ASPN;PADI2;CDH6;VWCE;CDH15;PRRG4;PLCB4;SELL;EFHB;CDHR3;PLCD1;FAT3;TNNC1;PCDHB9;DCHS2;GRIN1;DLK1;PCDHB10;MGP;REPS2;NPNT;NOX5;CAPS;PCDHB8;CLGN;PITPNM3;PCDHB7;PCDHGB5;PCDHGC4;PKD1L2;ANXA13;RGN;CAPN14;SLC25A23;RYR2;TUBB4A;MEGF6;ACTN3;GJB2;COMP;PLA2G4A;S100A4;CELSR1;CABYR;RET;PCDHB18P;EHD1;ANXA9;PLSCR4;DNAH7;DUOX1;PCDHGA4;VSNL1;SVEP1;PCDHB14;UNC13A;CLEC4A;ADGRE5;PLCD4;S100A10;SPP1;PAM;AMY2B;ENPP2;RYR3;FAT2"
"GOMF_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_ACTIVITY",0.000202470135654991,0.0253136200716846,-0.996696597607139,-1.52783533323963,0,3,"GFRA3;GFRA2"
"GOMF_IMMUNE_RECEPTOR_ACTIVITY",0.000577478344562079,0.0435033686236766,-0.567046403618519,-1.71218861955326,2,88,"GFRA3;GFRA2;HLA-DQA1;HLA-DQB1;HLA-DOA;GPR17;CD74;IL1R2;IL12RB1;CXCR6;FPR2;C3AR1;HLA-DPA1;FPR1;IL18R1;C5AR2;FCGR2A;CXCR4;CD200R1;HLA-DQA2;IL27RA;CMKLR1"
"GOMF_GLUTATHIONE_BINDING",0.00100120144173008,0.0458790093382054,0.880226814872241,1.76534793878998,4,10,"GSTM1;MGST2"
"GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY",0.00101502233049127,0.0458790093382054,0.752370042610331,1.81026264240312,4,23,"GSTM1;GSTT2;GSTM5;ALOX5AP;GSTO2;MGST2;GSTA1;CLIC2;GSTM2;LTC4S"
"GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING",0.00137335687659407,0.0517297756850435,-0.751647316114905,-1.83175820972597,6,26,"DRD2;NETO1"
"GOMF_GLUTAMATE_RECEPTOR_BINDING",0.00352319436288902,0.113748846573274,-0.6273675411953,-1.69256190437591,17,43,"DRD2;NETO1;NECAB2;SYNDIG1;ADORA2A;CACNG8"
"GOMF_NEUROPEPTIDE_BINDING",0.0143769968051118,0.406150159744409,-0.810794725197587,-1.61141607802868,71,10,"OPRD1;PTGDR2"
"GOMF_CYTOKINE_RECEPTOR_ACTIVITY",0.020958664855424,0.505094327220141,-0.513716694421734,-1.48375915005471,107,65,"GFRA3;GFRA2;GPR17;CD74;IL1R2;IL12RB1;CXCR6;IL18R1;CXCR4;IL27RA;CMKLR1"
"GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL",0.0252151290774465,0.505094327220141,-0.79722475114508,-1.55436443889931,125,9,"GABRA2;GRIK4;GABRA5;GRIK5"
"GOMF_NEUROTROPHIN_RECEPTOR_ACTIVITY",0.0268191678169986,0.505094327220141,0.893318660143377,1.46191995163617,135,4,"NTRK2;SORT1;GFRA1"
"GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY",0.0263987391646966,0.505094327220141,-0.649378793736736,-1.54802009981063,133,23,"XKR4"
"GOMF_AXON_GUIDANCE_RECEPTOR_ACTIVITY",0.0475524475524476,0.511754911754912,-0.731750854045611,-1.48738034514698,237,11,"GFRA3;MYOT;EPHB1"
"GOMF_CYTOKINE_ACTIVITY",0.0449090205187766,0.511754911754912,-0.411147661092072,-1.30879649952941,231,135,"BMP8B;WNT7B;CMTM5;IL1B;IL33;INHBE;GDF6;CX3CL1;CXCL11;LTB;TNFSF11;CXCL14;WNT10A;WNT4;CCL11;CXCL10;GDF1;WNT9B;PF4V1;CXCL17;IL1A;SCG2;CXCL5;CCL21;IL11;CXCL1;CCL26;CXCL2;IFNE;IL32;WNT5A;MSMP"
"GOMF_CYTOKINE_RECEPTOR_BINDING",0.0339272175890826,0.511754911754912,-0.394161085265641,-1.30104311608656,178,181,"TLR9;IL1B;IL12RB1;CADM4;IL33;TLR5;CDH5;CX3CL1;CXCL11;LTB;TNFSF11;CXCL14;CCL11;RASL11B;CXCL10;TGFBR3L;PRL;PF4V1;CXCL17;IL1A;CXCL5;LRG1;CCL21;IL11;CXCL1;CCL26;CXCL2;IFNE;MSMP;TRAF1;ADAM8;SYK"
"GOMF_DOPAMINE_NEUROTRANSMITTER_RECEPTOR_ACTIVITY",0.045150840251063,0.511754911754912,-0.915745776466212,-1.40374589108561,222,3,"DRD2"
"GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY",0.0474596297755022,0.511754911754912,-0.513632056995622,-1.41400870126832,240,49,"XKR4;ATP10B;ABCA12"
"GOMF_PROSTAGLANDIN_E_RECEPTOR_ACTIVITY",0.0342303126236644,0.511754911754912,0.864151031906432,1.48128722310616,172,5,"HPGD;PTGER3;PTGER4;PTGER2"
"GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY",0.0410454985479187,0.511754911754912,-0.415596986712713,-1.31715548723725,211,130,"ALK;LTK;EPHA6;EPHA1;ZAP70;FLT4;ERBB4;ERBB3;PTK6;EPHB1;ITK;CSF1R;TIE1;FGFR4;MST1R;EPHA5;AATK;EFNB3;SYK;EPHB2;TTN"
"GOMF_RECEPTOR_SERINE_THREONINE_KINASE_BINDING",0.0386664036299073,0.511754911754912,-0.650713121833715,-1.50760504552928,195,20,"OPRD1;GPR17;CDH5;CRIPTO"
"GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY",0.0442754047201092,0.511754911754912,-0.494561814741288,-1.40147328551262,226,57,"ALK;LTK;EPHA6;EPHA1;FLT4;ERBB4;EPHB1;CSF1R;TIE1;FGFR4;MST1R;EPHA5;EFNB3;EPHB2"
"GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPASE_A2_ACTIVITY",0.064619707003813,0.663820626493715,-0.781785509388725,-1.44159482311273,321,7,"PLA2G2A;PLA2G1B;PLA2G4B;PLA2G4C"
"GOMF_HEME_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.0684410646387833,0.672507852537609,-0.742202379692541,-1.44708626244168,341,9,"HPX;FLVCR2;FLVCR1"
"GOMF_GLUTATHIONE_PEROXIDASE_ACTIVITY",0.0746661270740591,0.684551370538355,0.607436742908878,1.40315541111332,368,19,"GPX3;ALOX5AP;MGST2;GSTA1;CLIC2;GSTM2;LTC4S"
"GOMF_NEUROLIGIN_FAMILY_PROTEIN_BINDING",0.075724709130349,0.684551370538355,0.845350933533043,1.3834205541703,383,4,"NRXN3;NRXN2"
"GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY",0.0855018587360595,0.743208464398055,-0.511685955844073,-1.34624015056272,436,38,"DRD2;GABRA2;GRIK4;CHRNA9;GABRA5;GRID1;GRIK5;CHRNB2;GRIA2"
"GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",0.0893810559620328,0.748152542497016,-0.548108284810089,-1.35316980086392,451,28,"GABRA2;GRIK4;CHRNA9;GABRA5;GRID1;GRIK5;CHRNB2;GRIA2"
"GOMF_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.104033546325879,0.783719382321619,-0.694345062489632,-1.37997789406308,520,10,"TTYH1;MCOLN2"
"GOMF_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY",0.0973881352500506,0.783719382321619,-0.879344585626925,-1.3479465378323,480,3,"GRIK4;GRIK5"
"GOMF_PEPTIDOGLYCAN_IMMUNE_RECEPTOR_ACTIVITY",0.1026939436905,0.783719382321619,0.948418990765787,1.26638189762841,506,1,"CD14"
"GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY",0.109344707250872,0.79715818834507,-0.457573554686552,-1.28149315650126,563,53,"DRD2;GABRA2;GRIK4;CHRNA9;GABRA5;GRID1;GPR158;HTR1B;GRIK5;CHRNB2;GRIA2"
"GOMF_ACROSIN_BINDING",0.121887021664305,0.810190202827436,-0.864927618143407,-1.32584678112362,601,3,"ZP1;ZP3"
