"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_E2F_TARGETS",0.00378787878787879,0.0473484848484848,-0.438233427617524,-1.4650416099993,19,200,"SPC25;AURKB;DLGAP5;KIF2C;CIT;MYBL2;CDCA3;KIF18B;CDC20;TOP2A;DEPDC1;RPA3;HELLS;CENPM;PLK4;MAD2L1;CCNB2;CDK1;SPAG5;HMGB3;AURKA;PLK1;BIRC5;EXOSC8;SMC4;PTTG1;ASF1B;KIF4A;TK1;H2AZ1;CDKN3;BUB1B;MTHFD2;SUV39H1;TACC3;MCM6;RACGAP1;LMNB1;RNASEH2A;CKS2;MKI67;NOLC1;RRM2;DONSON;EZH2;NME1;GINS3;ANP32E;CENPE;SPC24;NOP56;KPNA2;TMPO;RFC3;MELK;RAN;KIF22;UBE2T;RANBP1;CDKN2A;PRPS1;NBN;TBRG4;CDCA8;CTPS1;CDK4;CHEK2;RAD50;LIG1;PRKDC;POLE4;POLA2;MMS22L;H2AX;TFRC;EIF2S1;SMC6;GSPT1;DNMT1;MYC;CCNE1;LBR;UBE2S;HUS1;PNN;CDC25B;TIMELESS;RAD21;XPO1;TRA2B;PMS2;HNRNPD;PAICS;MCM4;MXD3;NUDT21;JPT1;HMMR;DCTPP1;SSRP1;DDX39A;PA2G4;NUP153;NUP107;PAN2;SRSF1;NAA38;ILF3;RFC1;POLD1;SNRPB;ASF1A;MLH1;NASP;GINS1;SYNCRIP;TUBB;TRIP13;STMN1;SRSF2;WDR90"
"HALLMARK_G2M_CHECKPOINT",0.00246913580246914,0.0473484848484848,-0.447194799128556,-1.49398027702189,12,199,"EGF;NUSAP1;TROAP;AURKB;KIF2C;CENPA;HOXC10;TTK;TLE3;MYBL2;CDC20;SNRPD1;LIG3;TOP2A;TPX2;PLK4;MAD2L1;CCNB2;CDK1;CENPF;HMGB3;AURKA;KIF15;NDC80;PLK1;BIRC5;MARCKS;CDC45;BCL3;HIF1A;SMC4;PTTG1;UBE2C;SLC7A5;PRC1;KIF4A;H2AZ1;CCNA2;CDKN3;SUV39H1;TACC3;MCM6;RACGAP1;LMNB1;DBF4;UCK2;CKS2;MKI67;FANCC;NOLC1;EZH2;KIF23;MEIS2;CENPE;PBK;EXO1;INCENP;NEK2;KPNA2;TMPO;KIF11;E2F2;RBM14;SQLE;KIF22;BUB1;CCNF;KNL1;DKC1;SLC12A2;ATF5;MT2A;KIF20B;CHAF1A;CDK4;KPNB1;GINS2;SMARCC1;POLA2;RAD54L;DR1;NSD2;H2AX;DTYMK;POLQ;GSPT1;MYC;LBR;SFPQ;UBE2S;HUS1;HMGN2;SLC7A1;CDC25B;SLC38A1;NUP50;TGFB1;RASAL2;TRAIP;CDC6;RAD21;XPO1"
"HALLMARK_MYC_TARGETS_V1",0.00321969696969697,0.0473484848484848,-0.442635048674641,-1.47975650300777,16,200,"CDC20;SNRPD1;MRPL23;MAD2L1;CDC45;H2AZ1;CCNA2;CAD;ABCE1;MCM6;PSMA2;NOLC1;TYMS;NME1;LSM2;AIMP2;HSPE1;NOP56;KPNA2;NOP16;RRP9;RAN;DDX21;SRSF7;RANBP1;EIF4A1;EIF3J;RPS2;HSPD1;PSMA7;PRPS2;IARS1;DDX18;PSMA4;SNRPG;CTPS1;CDK4;KPNB1;PSMA1;RPS3;SMARCC1;XPOT;SRSF3;COX5A;HDAC2;EIF2S1;SNRPB2;HDDC2;GSPT1;ILF2;MYC;LSM7;SNRPD2;SNRPA;NPM1;SET;CCT4;SNRPA1;PSMD14;EPRS1;KARS1;SF3B3;CBX3;APEX1;C1QBP;PSMC4;XPO1;CCT2;RPL34;NHP2;RSL1D1;NCBP1;SSBP1;TRA2B;FBL;HNRNPD;MCM4;HNRNPR;RPLP0;ETF1;MRPL9;CCT3;PHB2;RPL14;PA2G4;RUVBL2;SERBP1;RPL6;HPRT1;SRSF1;TUFM;EEF1B2;PSMD8;EIF3B;CCT5;GNL3;EIF2S2;RPS6;CSTF2;ODC1;SYNCRIP;HSP90AB1;PSMB2;SRSF2;SRM;CYC1;ERH;G3BP1;EIF1AX;CCT7;PSMA6;HNRNPA3;HNRNPU;UBA2;RPS10;YWHAE;TXNL4A;RPL18;RPS5"
"HALLMARK_PEROXISOME",0.00124507159161652,0.0473484848484848,0.53282584133327,1.65863490456334,5,97,"CACNA1B;HAO2;ALDH1A1;HSD11B2;ABCB1;DIO1;ABCD2;SLC27A2;CEL;SLC25A4;TTR;DHCR24;SCGB1A1;ABCB4;SEMA3C;SOD2;SULT2B1;RETSAT;MLYCD;HSD3B7;CAT"
"HALLMARK_MYC_TARGETS_V2",0.00973767885532591,0.0973767885532591,-0.562371904082654,-1.59625575924045,48,58,"SLC19A1;NDUFAF4;PLK4;TMEM97;PLK1;NOLC1;AIMP2;UTP20;HSPE1;PRMT3;NOP56;DUSP2;NOP16;RRP9;IMP4;PUS1;HSPD1;DDX18;TBRG4;WDR43;CDK4;RCL1;MYBBP1A;NOP2;GRWD1;NIP7;MYC;NPM1;IPO4;TFB2M;CBX3;FARSA;MCM4;WDR74;MRTO4;DCTPP1;PES1;BYSL;PPRC1;PA2G4;TCOF1;NOC4L;GNL3;SLC29A2;RRP12;SRM;LAS1L;RABEPK;SUPV3L1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0475077881619938,0.395898234683281,-0.464113359086086,-1.36735955395542,243,74,"IL1B;IL1R2;IL12RB1;INHBE;IL18R1;CXCL11;LTB;PLA2G2A;CXCL10;CXCL1;A2M;PIK3R5;CD38;CXCL3;IRF1;TLR2;ACVRL1;ITGB3;CCL7;HMOX1;IL15RA;IL1R1"
"HALLMARK_COMPLEMENT",0.0690901360544218,0.46379970231767,0.366972042586353,1.22536656386045,324,174,"SERPINB2;ADRA2B;DGKG;CCL5;PLG;MMP12;SERPINC1;CD36;GCA;PCLO;F5;ACTN2;TMPRSS6;L3MBTL4;ERAP2;F10;GNGT2;CPM;WAS;CFB;GATA3;CD55;TNFAIP3;CTSV;MMP8;PLAT;DOCK4;C3"
"HALLMARK_MYOGENESIS",0.0742079523708271,0.46379970231767,0.362197103390599,1.21300957116999,348,178,"MYL4;LDB3;HRC;VIPR1;MYH1;MYH2;ACTC1;DES;CD36;CHRNA1;GNAO1;FABP3;CAV3;ACTN2;NCAM1;MYBPH;MYLK;ITGA7;GPX3;MYH7;CASQ2;MYH11;APOD;FHL1;CKB;SYNGR2;LSP1;SVIL;ACHE;STC2;DMPK;PTGIS;MEF2C;FST;FXYD1;CRYAB;TNNC1;IGF1;FOXO4;PGAM2;REEP1;SORBS1;MEF2A;ACTN3"
"HALLMARK_ALLOGRAFT_REJECTION",0.147330692322203,0.505185467964624,-0.360275920758928,-1.16578412475249,780,147,"HLA-DQA1;HLA-DOA;CD74;HLA-DRA;IL1B;HLA-DMB;IL12RB1;ZAP70;CD79A;LTB;CRTAM;CCL11;ITK;ST8SIA4;CFP;C2;PTPN6;IL11;IL27RA;HLA-DOB;NLRP3;BCAT1;HLA-DMA;IL2RB;CD4;IL15;CD40;LIF;TLR2;ICOSLG;CCL7;WARS1;BCL3;FGR;HIF1A"
"HALLMARK_BILE_ACID_METABOLISM",0.117756622516556,0.505185467964624,0.388091080094103,1.20595752185569,568,96,"ALDH1A1;DIO1;ABCD2;SLC27A2;SOAT2;HSD17B6;CYP39A1;BMP6;CYP46A1;AR;DIO2;TTR;DHCR24;ABCA4;NR3C2;SLC29A1;SULT2B1;RETSAT;ABCA5;CYP7B1;ABCA3;MLYCD;HSD3B7;CAT"
