"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_DENDRITIC_TREE",0.000523423187647213,0.0543194488891883,0.351194623095213,1.3587067004535,1,611,"CRYAB;CD3E;PRSS12;DRD1;CHRM1;APOD;CNR2;NCF1;TNN;PENK;ADCY10;SYNPO;LPAR1;PALMD;GPER1;EPHA6;IL1RAPL1;SLITRK2;RPH3A;NYX;NTSR1;LRRK2;GPR179;CHRM3;SHISA8;KCNJ2;DDN;GRM7;OPRD1;HRH1;SLC18A2;GABRE;ICAM5;HTR2A;RCVRN;RELN;RIN3;GABRA1;GRIK2;SLC17A8;CHL1;CHRM2;THY1;CRHR2;GRIN2A;TPBG;HTR5A;SLC5A7;NTRK2;GRID2;ATP1A2;VSTM5;BRINP3;TMEM266;LYPD6;KCNA4;HTR1E;GABRA2;HCN1;CALB1;KCNIP1;PLXDC1;RIT2;GRIA1;LYNX1;LRP4;UNC5C;GRM5;ASIC2;CX3CR1;KCNA1;GRM6;PDYN;EPM2A;TRPC5;SRGAP2B;TMEM151A;ATP2B2;ADCY2;GABRA3;APOE;GRIN1;DNER;OPRK1;KIF17;HAP1;SEZ6;P2RY1;PLK2;HRH4;TANC1;GABRB1;FZD4;GABRG2;HTR1B;CACNA1C;HTR2B;CYP46A1;PRNP;BRINP1;EPHB1;SRGAP2C;GRIA2;PTPRO;NLGN3;APBA1;HRH2;SLC32A1;IL6ST;GLRA3;NPFF;KCNC2;GLRB;SLC4A10;FRMPD4;SRGAP2;NEGR1;BRINP2;GLRA1;ADCY8;SLC1A1;CNIH3;CAMK2A;TACR3;INPP5F;SHANK2;GABRA5;CALB2;HCN2;OPHN1;ALCAM;KCNH1;SEMA4F;PTEN;RGS7BP;PRICKLE2;GABRG3;CNNM1;HTR6;NSG2;KCND2;NOS1;KIRREL1;NLGN4Y;ADORA2A;KCND3;ATP7A;ITPKA;CHRNA4;ATP6AP2;KCNK2;HTR7;SLC8A3;AMFR;KCNC4;SYN1;PLEC;FGF13;CLSTN3;CLU;ANK3;EPHA7;CPNE6;OSBP2;DAGLA;NSF;KLHL1;WFS1;MAGEE1;SIPA1L1;DRP2;MT-ND1;KCNB1;TMEM108;RABGEF1;GRIA4;GOPC;SLC1A4;KIFAP3;CTNND2;RARA;PPP3CA;EPHB6;LRFN3;KIF1C;NSG1;COBL;XRN1;DTNB;MAGI2;SRCIN1;SIGMAR1;MPDZ;KCNK1;DNM3;LHFPL4;CLSTN2;SNX14;STRN3;BMPR2;RACK1;CDKL5;MYH10;FLNA;SLC8A1;PPT1;UBXN2A;ATXN10;KCNC3;TMEM185A;BACE1;GRIN2B;FARP1;AKAP5;KIF5A;NDFIP1;ADORA1;GPR37;PPFIA2;DOCK10;NGFR;AMIGO1;KIF1A"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",0.000250752256770311,0.0543194488891883,0.415364911773191,1.5758699935519,0,466,"CTSF;OGN;MGP;SPARCL1;ACAN;MATN4;ASPN;COL19A1;CCN3;TGFBI;ANXA8;MUC2;MMP3;GDF10;CLC;FGL2;COL23A1;NID2;LAMA2;MXRA5;ENAM;CCBE1;TNN;LAMA4;POSTN;COL6A3;OMD;COL4A4;EGFL6;COL5A2;ANXA2P2;ADAMTSL3;LGALS1;FREM3;PLAT;OLFML2A;LAMC3;ITIH5;ECM2;ZAN;COL14A1;COL9A3;COL6A6;CBLN1;SEMA3B;COL8A2;OPTC;LUM;MATN2;COL10A1;EGFLAM;COL6A2;HMCN1;COL3A1;ADAMTS3;NYX;FREM1;DCN;SHH;CTHRC1;SNED1;TNFRSF11B;KERA;BGN;CCDC80;SERPINA3;MMP1;FBN1;FBLN5;FLRT1;PRELP;COLEC12;COL11A2;ADAMTS15;MMP28;CHADL;TNXB;ELN;ADAMTS1;LAMB4;HTRA1;WNT5A;MMP17;ANGPT2;RELN;TIMP4;ABI3BP;ANGPTL7;WNT11;LTBP2;CTSS;SERPINA5;ADAMTS4;COL1A2;COL11A1;FLRT2;ADAMTS18;RBP3;KAZALD1;CXCL12;DGCR6;SRPX2;THBS2;SPOCK3;THBS1;LTBP3;ADAMTS5;TNR;TIMP3;VIT;F13A1;NID1;SULF1;ANGPTL3;FIBCD1;FLRT3;LAMC1;TGM4;COL28A1;ADAMTS8;LAMB1;CCN4;SERPINB6;FMOD;COL17A1;AEBP1;LGALS3;APOE;DMBT1;VCAN;ANXA2;CCIN;ADAMTS16;LOX;HMCN2;SMOC2;COL5A1;COL2A1;C6orf15;NPNT;COL9A2;WNT2;COL12A1;OLFML2B;ACHE;MMP2;ANXA6;PTX3;ADAMTS2;PRG4;LAMA1;FBLN2;ESM1;SERPINB9;PODN;LOXL3;LAMB2;WNT4;ZP1;ANGPT1;PCOLCE;ANGPTL5;HSD17B12;BCAN;EMILIN1;THSD4;EFNA5;VWC2;SRPX;F7;GPLD1;TIMP1;SFRP2;MATN1;FBN3;SDC3;BCAM;OVGP1;COL18A1;WNT2B;MFAP4;FREM2;SPOCK1;RTBDN;TGFB1I1;HAPLN4;TGFB2;CTSD;ADAMTS6;GPC4;LGALS3BP;CCN5;MMP15;ADAMTS20;HSPG2;SPOCK2;CRISPLD2;PLOD2;FBLN1;SSPOP;COL1A1;ADAMTS12;PLOD1;GPC6;ADAMTS10;F12"
"GOCC_INTERSTITIAL_MATRIX",0.000611246943765281,0.0543194488891883,0.701943271289357,1.86520136808797,2,31,"COL5A2;ECM2;COL14A1;COL9A3;COL8A2;LUM;COL10A1;EGFLAM;COL3A1;CCDC80;COL11A2;COL1A2;COL11A1;KAZALD1;VIT;COL5A1;COL2A1;COL9A2;COL12A1"
"GOCC_LYSOSOMAL_LUMEN",0.000656886358659952,0.0543194488891883,0.517460693504288,1.66081248846943,2,95,"IFI30;CTSF;OGN;ACAN;CD1E;OMD;NEU4;LUM;DCN;KERA;BGN;PRELP;PDGFRB;CTSS;CUBN;NAAA;FMOD;LIPA;VCAN;CTSA;BCAN;SDC3;GLB1;CTSD;ATP13A2;TPP1;NSG2;GPC4;GNS;ARSB;HSPG2;SCARB2;GYG1;CSPG5;GBA1;GPC6;TCN2;FUCA1;CTSK;MAN2B2;CSPG4;CTSB;LAMP2;MAN2B1;SGSH;HGSNAT;HEXB;GM2A;SMPD1;NSG1;PSAP"
"GOCC_NEURON_PROJECTION",0.000306560392397302,0.0543194488891883,0.322589910848642,1.30129843826825,0,1302,"MYOT;CNGB3;NPY;OPN1MW;SLC6A2;CRYAB;DHRS3;TRPA1;CD3E;PRSS12;CNGA1;ERMN;IQCJ-SCHIP1;USH1C;DRD1;CHRM1;SCN10A;APOD;ATP1A4;CNR2;NCF1;TNN;CALCA;PENK;CCK;NFIB;NEU4;SCN1A;GNAT1;ADCY10;ITGA4;SYNPO;SLC18A1;LPAR1;PALMD;SLC6A4;STMND1;FRMD7;ACTBL2;USH1G;TRPV4;GNAT2;TH;CNTN3;GPER1;EPHA6;CHRNA6;IL1RAPL1;SLITRK2;CASR;RPH3A;PIEZO2;NYX;MAG;NTSR1;CTHRC1;LRRK2;GPR179;PDE6G;RP1;CHRM3;SHISA8;KCNJ2;FLRT1;DDN;CYP17A1;GRM7;TULP1;SLC6A1;OPRD1;HRH1;SLC18A2;PRPH2;CLDN11;HTR3B;CALCR;RAB37;GABRE;SCRG1;GAD2;KCNK4;CNTN6;CRH;LGI3;INHA;ICAM5;HTR2A;GHRL;RCVRN;LOXHD1;RELN;RIN3;CDHR1;PACRG;GABRA1;GRIK2;SLC17A8;PCARE;FLRT2;CHL1;CHRM2;STRCP1;CNTN5;THY1;CX3CL1;NRP2;CRHR2;GRIN2A;TPBG;HTR5A;SLC5A7;NTRK2;GRID2;ATP1A2;VSTM5;SLC24A4;BRINP3;CLRN1;TMEM266;BOC;LYPD6;PTGS1;KCNA4;HTR1E;MYH14;NPY5R;GABRA2;IRX3;HCN1;SLC1A3;CNTN1;CALB1;SCN2B;KCNIP1;FLRT3;SRD5A2;PLXDC1;RIT2;EPS8;GRIA1;LYNX1;LRP4;UNC5C;GRM5;ASIC2;CX3CR1;ROR2;KCNA1;GRM6;NPY4R;PDYN;SYT2;VIM;TSGA10;EPM2A;ATP8B1;TRPC5;SRGAP2B;SH3KBP1;GRIN3A;CMKLR2;TMEM151A;SCN2A;CRTAC1;CPLX4;ATP2B2;RET;RAB27B;ADCY2;ABCA4;NCAM2;RASGRF1;ROR1;GABRA3;APOE;VCAN;GRK1;GRIN1;HMCN2;DNER;OPRK1;KIF17;HAP1;SEZ6;P2RY1;SSTR1;PLK2;HRH4;DLG2;CABP4;CHRNA2;TANC1;GUCY2F;BCL11B;LPAR3;SYBU;GABRB1;HTR3A;FZD4;GABRG2;ESPN;SPTBN1;HTR1B;FSCN2;CACNA1C;KCNA3;HTR2B;CYP46A1;PRNP;BRINP1;MGARP;TRPV2;EPHB1;ROBO4;SRGAP2C;PRKN;GRIA2;SLC2A13;ANKRD24;PTPRN;PTPRO;NLGN3;CPNE5;APBA1;SSTR2;LRRTM1;HRH2;DCDC2;SLC32A1;IL6ST;TENM1;UNC80;DMD;CAMK2D;NPY1R;GLRA3;NPFF;KCNC2;UNC5A;GLRB;SLC4A10;NPY6R;GAD1;FRMPD4;ASS1;SRGAP2;ALDH1A1;DNAAF4;GABBR2;NEGR1;BRINP2;GLRA1;ADCY8;PIP4K2A;SLC1A1;CNIH3;CAMK2A;TACR3;INPP5F;SHANK2;NEFH;GABRA5;CALB2;SCN9A;HCN2;SPOCK1;OPHN1;NRP1;ALCAM;PEX6;KCNH1;ARMCX1;SEMA4F;CLIC5;RAB13;PTEN;RGS7BP;PRICKLE2;PIEZO1;GABRG3;TGFB2;ROM1;GCH1;CNNM1;HTR6;ATP13A2;UNC13C;LDLRAP1;NGEF;NSG2;ADGRV1;KCND2;NOS1;KIRREL1;NLGN4Y;ADORA2A;KCND3;TMC1;HSPG2;SYT13;MAP7D2;ATP7A;ITPKA;SEMA3A;CHRNA4;ATP6AP2;KCNK2;HTR7;SLC8A3;IFT122;AMFR;CHRNB3;SSTR3;AQP1;KCNC4;PCSK1;AGBL4;CYGB;SYN1;TTC8;VPS35;PLEC;NF2;IQGAP1;TENM3;ATP2B3;NDRG2;CNTN4;RASGRP2;FGF13;RDX;CLSTN3;RHOC;PINK1;ROBO1;CLU;ANK3;ADRA2A;EPHA7;CPNE6;OSBP2;MPP1;DAGLA;CD200;SHTN1;KCNN3;NSF;CHRNA9;KLHL1;NRXN1;WFS1;SNCB;MAGEE1;CDH23;SLC30A3;CNGB1;SIPA1L1;FKBP15;DRP2;MT-ND1;KCNB1;CLCN3;RAP1GAP"
"GOCC_NEURON_PROJECTION_TERMINUS",0.000445831475702185,0.0543194488891883,0.492515523720507,1.65115759329955,1,130,"NPY;PRSS12;CHRM1;TNN;PENK;SLC18A1;GPER1;CASR;NTSR1;LRRK2;FLRT1;TULP1;OPRD1;SLC18A2;SCRG1;GRIK2;SLC17A8;CRHR2;TPBG;NTRK2;HCN1;CALB1;FLRT3;KCNA1;PDYN;CPLX4;ROR1;GRIN1;OPRK1;CABP4;TANC1;PRNP;PRKN;PTPRN;SLC32A1;DMD;NPFF;KCNC2;SLC4A10;GAD1;SLC1A1;TACR3;CALB2;SCN9A;OPHN1;GCH1;UNC13C;NOS1;KCNK2;SLC8A3;KCNC4"
"GOCC_NEURON_SPINE",0.000456829602558246,0.0543194488891883,0.451575012108483,1.56033406123157,1,167,"CRYAB;CD3E;DRD1;SYNPO;LPAR1;PALMD;GPER1;RPH3A;NTSR1;SHISA8;KCNJ2;DDN;OPRD1;ICAM5;GABRA1;GRIN2A;NTRK2;GRID2;ATP1A2;KCNA4;GRIA1;GRM5;ASIC2;SRGAP2B;ATP2B2;GRIN1;HAP1;SEZ6;GABRG2;SRGAP2C;GRIA2;PTPRO;APBA1;FRMPD4;SRGAP2;NEGR1;SLC1A1;CAMK2A;TACR3;SHANK2;OPHN1;PTEN;RGS7BP;KCND2;NOS1;KCND3;ITPKA;ATP6AP2;SLC8A3"
"GOCC_POSTSYNAPSE",0.000550357732526142,0.0543194488891883,0.343394493588466,1.34574966418245,1,761,"CRYAB;CD3E;ERBB3;KCTD12;IGF1;DRD1;CHRM1;CNR2;SYNPO;GSG1L;LPAR1;PALMD;SLC6A4;MEF2C;CBLN1;P2RX7;GPER1;CHRNA6;IL1RAPL1;SLITRK2;RPH3A;NYX;NTSR1;LRRK2;GPR179;MET;CLMP;OPCML;SSPN;CHRM3;SLC24A2;SHISA8;KCNJ2;DDN;GRM7;OPRD1;HTR3B;GABRE;ICAM5;HTR2A;GHRL;WNT5A;DLGAP2;ITGB3;GABRA1;SLC1A7;GRIK2;INSYN2A;TRIM47;FLRT2;PLPPR4;CHRM2;GLRA2;THY1;FAIM2;NRP2;GRIN2A;HTR5A;NTRK2;GRID2;ATP1A2;ERBB4;KCNA4;GABRA2;HCN1;CNTN1;CALB1;SLC6A17;FLRT3;EPS8;GRIA1;LRP4;GRM5;ASIC2;GABRR1;ADD3;SRGAP2B;SH3KBP1;GRIN3A;SLC6A11;SYN2;CRTAC1;SHROOM4;ATP2B2;GABRA3;GRIN3B;GRIN1;PRKAR1B;OPRK1;KIF17;HAP1;SEZ6;P2RY1;DLG2;CHRNA2;LRFN5;TANC1;GRIN2C;GABRB1;CSMD2;DOCK1;HTR3A;SHC4;GABRG2;SPTBN1;CACNA1C;CYP46A1;PRNP;ELMO1;SRGAP2C;NTM;PRKN;GRIA2;GRIK4;PTPRO;NLGN3;APBA1;LRRTM1;TNIK;DMD;CAMK2D;GLRA3;NPFF;KCNC2;GLRB;FRRS1L;SLC4A10;FRMPD4;SLITRK3;NEDD4;P2RX5;SPTB;SRGAP2;GABBR2;NEGR1;GLRA1;VWC2;ADCY8;SH3GL2;SLC1A1;CNIH3;CAMK2A;TACR3;GPR158;SHANK2;NEFH;GABRA5;RASGRF2;LRRTM3;JAK2;SPOCK1;OPHN1;NRP1;KCNH1;SEMA4F;NECTIN3;PTEN;RGS7BP;PRICKLE2;CDH10;GABRG3;SYN3;ABLIM1;ZDHHC15;NSG2;KCND2;ZDHHC2;NOS1;NLGN4Y;ADORA2A;FAAH;KCND3;ATP7A;CSPG5;ITPKA;CHRNA4;ATP6AP2;KCNK2;ADGRB3;SLC8A3;CHRNB3;KCNC4;SYN1;VPS35;SYNE1;ERBB2;DGKB;CLSTN3;CTNNB1;ANK3;ADRA2A;EPHA7;STAT3;DAGLA;NSF;CHRNA9;USP8;MAGEE1;DLGAP1;AP2A1;SIPA1L1;DRP2;KCNB1;TMEM108;DNAJC6;ERBIN;GRIA4;GOPC;PRICKLE1;ADAM22;KIFAP3;CTNND2;PPP3CA;CAMK2B;EEF2;CALY;IGSF21;LRFN3;ADGRA1;NSG1;NETO2;DTNB;MAGI2;ARHGEF9;LRRC4B;LYN;GRK3;SRCIN1;SIGMAR1;MPDZ;DISC1;ADCY1;DNM3;NEFL;LHFPL4;CLSTN2;SNX14;STRN3;BMPR2;MYH10;NAPEPLD;FLNA;SLC8A1;DIXDC1;KCNC3;PLCB1;NPAS4;LRFN2;PJA2;GRIN2B;FARP1;AKAP5;KIF5A;ADORA1;RPL7;PPFIA2;CALR;DOCK10;NGFR;SNX6"
"GOCC_POSTSYNAPTIC_MEMBRANE",0.000483558994197292,0.0543194488891883,0.408134422990562,1.50205319773575,1,309,"ERBB3;KCTD12;DRD1;CHRM1;CNR2;GSG1L;LPAR1;SLC6A4;CBLN1;CHRNA6;IL1RAPL1;SLITRK2;RPH3A;GPR179;CLMP;SSPN;CHRM3;SHISA8;KCNJ2;GRM7;OPRD1;HTR3B;GABRE;HTR2A;ITGB3;GABRA1;GRIK2;FLRT2;PLPPR4;CHRM2;GLRA2;FAIM2;NRP2;GRIN2A;HTR5A;GRID2;ERBB4;GABRA2;HCN1;CNTN1;FLRT3;GRIA1;GRM5;ASIC2;GABRR1;GRIN3A;SLC6A11;ATP2B2;GABRA3;GRIN3B;GRIN1;OPRK1;P2RY1;DLG2;CHRNA2;LRFN5;GRIN2C;GABRB1;CSMD2;HTR3A;SHC4;GABRG2;CACNA1C;NTM;GRIA2;GRIK4;PTPRO;NLGN3;LRRTM1;DMD;GLRA3;KCNC2;GLRB;SLITRK3;SRGAP2;GABBR2;GLRA1;VWC2;CNIH3;GPR158;SHANK2;GABRA5;LRRTM3;NRP1;KCNH1;SEMA4F;NECTIN3;RGS7BP;CDH10;GABRG3;NSG2;KCND2;NLGN4Y;ADORA2A;KCND3;CSPG5;CHRNA4;KCNK2;ADGRB3;SLC8A3;CHRNB3;KCNC4;SYNE1;ERBB2;DGKB;CLSTN3;CTNNB1;ANK3;ADRA2A;EPHA7"
"GOCC_PRESYNAPTIC_MEMBRANE",0.000227634873662645,0.0543194488891883,0.447437839806281,1.56178679016929,0,179,"SLC6A2;KCTD12;DRD1;CHRM1;SCN10A;LPAR1;SLC6A4;GPER1;CHRNA6;CASR;OPRD1;GAD2;CNTN6;HTR2A;NTNG1;GRIK2;SNCAIP;FLRT2;CNTN5;GRIN2A;SLC5A7;ERBB4;HCN1;CNTN1;FLRT3;GRIA1;GABRR1;KCNA1;SLC6A11;GRIN3B;KCNJ3;GRIN1;OPRK1;P2RY1;ATP2B4;GABRB1;HTR1B;NTM;GRIK4;APBA1;CACNA2D3;GLRA3;KCNC2;RIMS1;CNTNAP4;ADCY8;GPR158;CACNA2D2;GABRA5;KCNH1;RGS7BP;CDH10;UNC13C;ADORA2A;CHRNA4;SNAP91;NRXN3;KCNC4;NRXN2;ATP2B3;ERC1;ERBB2;CTNNB1;ADRA2A"
