"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_NEURON_PROJECTION",0.000600781015319916,0.0126164013217182,0.322589910848642,1.29850737686757,1,1302,"MYOT;CNGB3;NPY;OPN1MW;SLC6A2;CRYAB;DHRS3;TRPA1;CD3E;PRSS12;CNGA1;ERMN;IQCJ-SCHIP1;USH1C;DRD1;CHRM1;SCN10A;APOD;ATP1A4;CNR2;NCF1;TNN;CALCA;PENK;CCK;NFIB;NEU4;SCN1A;GNAT1;ADCY10;ITGA4;SYNPO;SLC18A1;LPAR1;PALMD;SLC6A4;STMND1;FRMD7;ACTBL2;USH1G;TRPV4;GNAT2;TH;CNTN3;GPER1;EPHA6;CHRNA6;IL1RAPL1;SLITRK2;CASR;RPH3A;PIEZO2;NYX;MAG;NTSR1;CTHRC1;LRRK2;GPR179;PDE6G;RP1;CHRM3;SHISA8;KCNJ2;FLRT1;DDN;CYP17A1;GRM7;TULP1;SLC6A1;OPRD1;HRH1;SLC18A2;PRPH2;CLDN11;HTR3B;CALCR;RAB37;GABRE;SCRG1;GAD2;KCNK4;CNTN6;CRH;LGI3;INHA;ICAM5;HTR2A;GHRL;RCVRN;LOXHD1;RELN;RIN3;CDHR1;PACRG;GABRA1;GRIK2;SLC17A8;PCARE;FLRT2;CHL1;CHRM2;STRCP1;CNTN5;THY1;CX3CL1;NRP2;CRHR2;GRIN2A;TPBG;HTR5A;SLC5A7;NTRK2;GRID2;ATP1A2;VSTM5;SLC24A4;BRINP3;CLRN1;TMEM266;BOC;LYPD6;PTGS1;KCNA4;HTR1E;MYH14;NPY5R;GABRA2;IRX3;HCN1;SLC1A3;CNTN1;CALB1;SCN2B;KCNIP1;FLRT3;SRD5A2;PLXDC1;RIT2;EPS8;GRIA1;LYNX1;LRP4;UNC5C;GRM5;ASIC2;CX3CR1;ROR2;KCNA1;GRM6;NPY4R;PDYN;SYT2;VIM;TSGA10;EPM2A;ATP8B1;TRPC5;SRGAP2B;SH3KBP1;GRIN3A;CMKLR2;TMEM151A;SCN2A;CRTAC1;CPLX4;ATP2B2;RET;RAB27B;ADCY2;ABCA4;NCAM2;RASGRF1;ROR1;GABRA3;APOE;VCAN;GRK1;GRIN1;HMCN2;DNER;OPRK1;KIF17;HAP1;SEZ6;P2RY1;SSTR1;PLK2;HRH4;DLG2;CABP4;CHRNA2;TANC1;GUCY2F;BCL11B;LPAR3;SYBU;GABRB1;HTR3A;FZD4;GABRG2;ESPN;SPTBN1;HTR1B;FSCN2;CACNA1C;KCNA3;HTR2B;CYP46A1;PRNP;BRINP1;MGARP;TRPV2;EPHB1;ROBO4;SRGAP2C;PRKN;GRIA2;SLC2A13;ANKRD24;PTPRN;PTPRO;NLGN3;CPNE5;APBA1;SSTR2;LRRTM1;HRH2;DCDC2;SLC32A1;IL6ST;TENM1;UNC80;DMD;CAMK2D;NPY1R;GLRA3;NPFF;KCNC2;UNC5A;GLRB;SLC4A10;NPY6R;GAD1;FRMPD4;ASS1;SRGAP2;ALDH1A1;DNAAF4;GABBR2;NEGR1;BRINP2;GLRA1;ADCY8;PIP4K2A;SLC1A1;CNIH3;CAMK2A;TACR3;INPP5F;SHANK2;NEFH;GABRA5;CALB2;SCN9A;HCN2;SPOCK1;OPHN1;NRP1;ALCAM;PEX6;KCNH1;ARMCX1;SEMA4F;CLIC5;RAB13;PTEN;RGS7BP;PRICKLE2;PIEZO1;GABRG3;TGFB2;ROM1;GCH1;CNNM1;HTR6;ATP13A2;UNC13C;LDLRAP1;NGEF;NSG2;ADGRV1;KCND2;NOS1;KIRREL1;NLGN4Y;ADORA2A;KCND3;TMC1;HSPG2;SYT13;MAP7D2;ATP7A;ITPKA;SEMA3A;CHRNA4;ATP6AP2;KCNK2;HTR7;SLC8A3;IFT122;AMFR;CHRNB3;SSTR3;AQP1;KCNC4;PCSK1;AGBL4;CYGB;SYN1;TTC8;VPS35;PLEC;NF2;IQGAP1;TENM3;ATP2B3;NDRG2;CNTN4;RASGRP2;FGF13;RDX;CLSTN3;RHOC;PINK1;ROBO1;CLU;ANK3;ADRA2A;EPHA7;CPNE6;OSBP2;MPP1;DAGLA;CD200;SHTN1;KCNN3;NSF;CHRNA9;KLHL1;NRXN1;WFS1;SNCB;MAGEE1;CDH23;SLC30A3;CNGB1;SIPA1L1;FKBP15;DRP2;MT-ND1;KCNB1;CLCN3;RAP1GAP"
"GOCC_NEURON_PROJECTION_TERMINUS",0.000447327219861329,0.0126164013217182,0.492515523720507,1.65057757966626,1,130,"NPY;PRSS12;CHRM1;TNN;PENK;SLC18A1;GPER1;CASR;NTSR1;LRRK2;FLRT1;TULP1;OPRD1;SLC18A2;SCRG1;GRIK2;SLC17A8;CRHR2;TPBG;NTRK2;HCN1;CALB1;FLRT3;KCNA1;PDYN;CPLX4;ROR1;GRIN1;OPRK1;CABP4;TANC1;PRNP;PRKN;PTPRN;SLC32A1;DMD;NPFF;KCNC2;SLC4A10;GAD1;SLC1A1;TACR3;CALB2;SCN9A;OPHN1;GCH1;UNC13C;NOS1;KCNK2;SLC8A3;KCNC4"
"GOCC_NEURON_SPINE",0.000228310502283105,0.0126164013217182,0.451575012108483,1.55534841186135,0,167,"CRYAB;CD3E;DRD1;SYNPO;LPAR1;PALMD;GPER1;RPH3A;NTSR1;SHISA8;KCNJ2;DDN;OPRD1;ICAM5;GABRA1;GRIN2A;NTRK2;GRID2;ATP1A2;KCNA4;GRIA1;GRM5;ASIC2;SRGAP2B;ATP2B2;GRIN1;HAP1;SEZ6;GABRG2;SRGAP2C;GRIA2;PTPRO;APBA1;FRMPD4;SRGAP2;NEGR1;SLC1A1;CAMK2A;TACR3;SHANK2;OPHN1;PTEN;RGS7BP;KCND2;NOS1;KCND3;ITPKA;ATP6AP2;SLC8A3"
"GOCC_POSTSYNAPSE",0.000532339632685653,0.0126164013217182,0.343394493588466,1.34465230749498,1,761,"CRYAB;CD3E;ERBB3;KCTD12;IGF1;DRD1;CHRM1;CNR2;SYNPO;GSG1L;LPAR1;PALMD;SLC6A4;MEF2C;CBLN1;P2RX7;GPER1;CHRNA6;IL1RAPL1;SLITRK2;RPH3A;NYX;NTSR1;LRRK2;GPR179;MET;CLMP;OPCML;SSPN;CHRM3;SLC24A2;SHISA8;KCNJ2;DDN;GRM7;OPRD1;HTR3B;GABRE;ICAM5;HTR2A;GHRL;WNT5A;DLGAP2;ITGB3;GABRA1;SLC1A7;GRIK2;INSYN2A;TRIM47;FLRT2;PLPPR4;CHRM2;GLRA2;THY1;FAIM2;NRP2;GRIN2A;HTR5A;NTRK2;GRID2;ATP1A2;ERBB4;KCNA4;GABRA2;HCN1;CNTN1;CALB1;SLC6A17;FLRT3;EPS8;GRIA1;LRP4;GRM5;ASIC2;GABRR1;ADD3;SRGAP2B;SH3KBP1;GRIN3A;SLC6A11;SYN2;CRTAC1;SHROOM4;ATP2B2;GABRA3;GRIN3B;GRIN1;PRKAR1B;OPRK1;KIF17;HAP1;SEZ6;P2RY1;DLG2;CHRNA2;LRFN5;TANC1;GRIN2C;GABRB1;CSMD2;DOCK1;HTR3A;SHC4;GABRG2;SPTBN1;CACNA1C;CYP46A1;PRNP;ELMO1;SRGAP2C;NTM;PRKN;GRIA2;GRIK4;PTPRO;NLGN3;APBA1;LRRTM1;TNIK;DMD;CAMK2D;GLRA3;NPFF;KCNC2;GLRB;FRRS1L;SLC4A10;FRMPD4;SLITRK3;NEDD4;P2RX5;SPTB;SRGAP2;GABBR2;NEGR1;GLRA1;VWC2;ADCY8;SH3GL2;SLC1A1;CNIH3;CAMK2A;TACR3;GPR158;SHANK2;NEFH;GABRA5;RASGRF2;LRRTM3;JAK2;SPOCK1;OPHN1;NRP1;KCNH1;SEMA4F;NECTIN3;PTEN;RGS7BP;PRICKLE2;CDH10;GABRG3;SYN3;ABLIM1;ZDHHC15;NSG2;KCND2;ZDHHC2;NOS1;NLGN4Y;ADORA2A;FAAH;KCND3;ATP7A;CSPG5;ITPKA;CHRNA4;ATP6AP2;KCNK2;ADGRB3;SLC8A3;CHRNB3;KCNC4;SYN1;VPS35;SYNE1;ERBB2;DGKB;CLSTN3;CTNNB1;ANK3;ADRA2A;EPHA7;STAT3;DAGLA;NSF;CHRNA9;USP8;MAGEE1;DLGAP1;AP2A1;SIPA1L1;DRP2;KCNB1;TMEM108;DNAJC6;ERBIN;GRIA4;GOPC;PRICKLE1;ADAM22;KIFAP3;CTNND2;PPP3CA;CAMK2B;EEF2;CALY;IGSF21;LRFN3;ADGRA1;NSG1;NETO2;DTNB;MAGI2;ARHGEF9;LRRC4B;LYN;GRK3;SRCIN1;SIGMAR1;MPDZ;DISC1;ADCY1;DNM3;NEFL;LHFPL4;CLSTN2;SNX14;STRN3;BMPR2;MYH10;NAPEPLD;FLNA;SLC8A1;DIXDC1;KCNC3;PLCB1;NPAS4;LRFN2;PJA2;GRIN2B;FARP1;AKAP5;KIF5A;ADORA1;RPL7;PPFIA2;CALR;DOCK10;NGFR;SNX6"
"GOCC_POSTSYNAPTIC_MEMBRANE",0.000476417341591234,0.0126164013217182,0.408134422990562,1.49696505969756,1,309,"ERBB3;KCTD12;DRD1;CHRM1;CNR2;GSG1L;LPAR1;SLC6A4;CBLN1;CHRNA6;IL1RAPL1;SLITRK2;RPH3A;GPR179;CLMP;SSPN;CHRM3;SHISA8;KCNJ2;GRM7;OPRD1;HTR3B;GABRE;HTR2A;ITGB3;GABRA1;GRIK2;FLRT2;PLPPR4;CHRM2;GLRA2;FAIM2;NRP2;GRIN2A;HTR5A;GRID2;ERBB4;GABRA2;HCN1;CNTN1;FLRT3;GRIA1;GRM5;ASIC2;GABRR1;GRIN3A;SLC6A11;ATP2B2;GABRA3;GRIN3B;GRIN1;OPRK1;P2RY1;DLG2;CHRNA2;LRFN5;GRIN2C;GABRB1;CSMD2;HTR3A;SHC4;GABRG2;CACNA1C;NTM;GRIA2;GRIK4;PTPRO;NLGN3;LRRTM1;DMD;GLRA3;KCNC2;GLRB;SLITRK3;SRGAP2;GABBR2;GLRA1;VWC2;CNIH3;GPR158;SHANK2;GABRA5;LRRTM3;NRP1;KCNH1;SEMA4F;NECTIN3;RGS7BP;CDH10;GABRG3;NSG2;KCND2;NLGN4Y;ADORA2A;KCND3;CSPG5;CHRNA4;KCNK2;ADGRB3;SLC8A3;CHRNB3;KCNC4;SYNE1;ERBB2;DGKB;CLSTN3;CTNNB1;ANK3;ADRA2A;EPHA7"
"GOCC_PRESYNAPTIC_MEMBRANE",0.000453617600362894,0.0126164013217182,0.447437839806281,1.55592453029709,1,179,"SLC6A2;KCTD12;DRD1;CHRM1;SCN10A;LPAR1;SLC6A4;GPER1;CHRNA6;CASR;OPRD1;GAD2;CNTN6;HTR2A;NTNG1;GRIK2;SNCAIP;FLRT2;CNTN5;GRIN2A;SLC5A7;ERBB4;HCN1;CNTN1;FLRT3;GRIA1;GABRR1;KCNA1;SLC6A11;GRIN3B;KCNJ3;GRIN1;OPRK1;P2RY1;ATP2B4;GABRB1;HTR1B;NTM;GRIK4;APBA1;CACNA2D3;GLRA3;KCNC2;RIMS1;CNTNAP4;ADCY8;GPR158;CACNA2D2;GABRA5;KCNH1;RGS7BP;CDH10;UNC13C;ADORA2A;CHRNA4;SNAP91;NRXN3;KCNC4;NRXN2;ATP2B3;ERC1;ERBB2;CTNNB1;ADRA2A"
"GOCC_SYNAPSE",0.000323310701584222,0.0126164013217182,0.307806471851217,1.25308989961008,0,1687,"MPZ;NPY;SLC6A2;SPARCL1;ACAN;CRYAB;CD3E;ERBB3;PRSS12;KCTD12;GALR3;PLP1;IGF1;USH1C;DRD1;CHRM1;S1PR4;SCN10A;LAMA2;CNR2;PCDHB5;CACNA1G;TNN;LAMA4;SLC35D3;SNTB1;CALCA;PENK;IL1RAPL2;SLC6A7;PRIMA1;SYNPO;PLAT;SLC18A1;GSG1L;PDE7B;PMP22;LPAR1;PALMD;SLC6A4;WNT3A;UTS2;ACTBL2;GNAT2;MEF2C;TH;CBLN1;P2RX7;GPER1;CHRNA6;IL1RAPL1;SLITRK2;EGFLAM;CASR;RPH3A;NYX;NTSR1;GUCY1A1;FGFR2;LRRK2;GPR179;PLD1;SV2B;MET;CLMP;OPCML;SSPN;CHRM3;SLC24A2;SHISA8;MX1;KCNJ2;DDN;GRM7;TULP1;SLC6A1;OPRD1;HRH1;SLC18A2;HTR3B;GABRE;PHF24;SGCD;GAD2;CNTN6;CRH;LGI3;ICAM5;HTR2A;HCRTR1;NTNG1;GHRL;DRD3;WNT5A;DRD5;SPHK1;DLGAP2;S1PR5;ITGB3;GABRA1;SLC1A7;GRIK2;CPNE4;SNCAIP;CBLN2;INSYN2A;SLC17A8;RASD2;TRIM47;FLRT2;PLPPR4;CHRM2;CNTN5;ANO1;IL1RAP;SRPX2;GLRA2;THY1;FAIM2;NRP2;CRHR2;GRIN2A;TPBG;MCTP2;NPTX1;HTR5A;SLC5A7;NTRK2;GRID2;SLC35F1;ATP1A2;TNR;LY6S;ERBB4;LYPD6;HCRTR2;KCNA4;HTR1E;NPY5R;GABRA2;HCN1;NR3C1;ARHGAP22;SLC1A3;PTN;CNTN1;CALB1;SLC6A17;SGCZ;SCN2B;KCNIP1;FLRT3;SLC22A3;S1PR3;RIT2;NWD2;EPS8;GRIA1;PCDHB6;PLS3;LYNX1;LRP4;UNC5C;GRM5;ASIC2;PHACTR1;GABRR1;NTF4;KCNA1;GRM6;PDYN;SYT2;ADD3;CEP112;ABLIM3;OLFM3;TRPC5;SRGAP2B;SH3KBP1;GRIN3A;SLC6A11;GUCY1B1;SYN2;CRTAC1;SHROOM4;CARTPT;CPLX4;ATP2B2;RAB27B;NCAM2;ROR1;GABRA3;RAPGEF4;SLC30A10;APOE;VCAN;GRIN3B;KCNJ3;GRIN1;PRKAR1B;SLC6A5;OPRK1;CDH11;KIF17;HAP1;LYPD1;SEZ6;PCDH9;P2RY1;HRH4;DLG2;CABP4;CHRNA2;LRFN5;ATP2B4;TANC1;GRIN2C;SLC40A1;LPAR3;AKAP12;GABRB1;CSMD2;DOCK1;HTR3A;ADARB1;SHC4;ABTB3;FZD4;GABRG2;CNP;SPTBN1;ACHE;HTR1B;EEF1A2;SV2C;CACNA1C;LAMA1;HTR2B;CYP46A1;PRNP;APOA4;BRINP1;LY6H;ELMO1;SLC9B2;EPHB1;STON1;RPS6KA4;SRGAP2C;NTM;PRKN;GRIA2;GRIK4;SLC2A13;PTPRN;PTPRO;NLGN3;APBA1;DYSF;LRRTM1;HRH2;LAMB2;TNIK;SLC32A1;CACNA2D3;VLDLR;DMD;PPFIBP1;CAMK2D;GLRA3;NPFF;KCNC2;BDNF;GLRB;FRRS1L;PLXNC1;SLC4A10;ADGRB2;SDK2;GAD1;RIMS1;FRMPD4;SLITRK3;NRG3;NEDD4;DOC2B;P2RX5;PLCXD3;BCAN;SPTB;GNG12;SRGAP2;PCDHB9;TLN2;ALDH1A1;EFNA5;GABBR2;C1QL4;NEGR1;CNTNAP4;GLRA1;CNTNAP5;GPR176;VWC2;ADCY8;SH3GL2;SLC1A1;CNIH3;CAMK2A;TACR3;GPR158;CACNA2D2;SHANK2;NEFH;GABRA5;CLN8;C1QL3;CALB2;SCN9A;RASGRF2;LRRTM3;JAK2;SPOCK1;PPFIBP2;OPHN1;NRP1;KCNH1;FGF12;SEMA4F;SGCG;HAPLN4;NECTIN3;RAB13;PTEN;SNTA1;RGS7BP;PDZRN3;PRICKLE2;CDH10;SPART;PTPRC;GABRG3;SYN3;SLC18B1;ABLIM1;HTR6;ZDHHC15;UNC13C;PLXNA4;NGEF;NSG2;ELMOD1;PACSIN2;KCND2;ZDHHC2;GPC4;NOS1;NLGN4Y;CANX;ADORA2A;FAM171B;FAAH;KCND3;HSPG2;SYT9;EFR3A;SYT13;PCDH7;SGCA;ATP7A;CSPG5;CDH6;ITPKA;PPM1H;SEMA3A;CHRNA4;ATP6AP2;KCNK2;HTR7;GPC6;ADGRB3;SNAP91;SLC8A3;AKAP7;GNB4;CLCN5;CHRNB3;ADORA2B;NRXN3;KCNC4;CACNA1E;RAB3B;SYN1;VPS35;RHOB;NRXN2;SYNE1;ATP2B3;NPTXR;ERC1;NRN1;CNTN4;RASGRP2;VAMP4;ERBB2;NDE1;SYNGR1;DGKB;CLSTN3;WASF2;CBLN3;CTNNB1;CLU;ANK3;GNG7;ADRA2A;EPHA7;STAT3;S1PR2;EIF3L;OLFM2;FER1L5;DAGLA;ATP6AP1;NSF;RAB40B;CHRNA9;USP8;NRXN1;SQSTM1;WFS1;SNCB;MAGEE1;CDH23;DLGAP1;SLC30A3;AP2A1;CNGB1;SIPA1L1;RAB3C;DRP2;QKI;ATP6V1C1;KCNB1;CLCN3;SERPINE2;ATP1B2;AMPH;PTPRN2;GIT2;CNNM2;TMEM108;DNAJC6;RABGEF1;ATP6V0A4;ERBIN;CHAT;GRIA4;SYPL1;PSEN2;GOPC;SNAP29;SLC1A4;SLC35G2;PRICKLE1;PCDHB16;ADAM22;COLQ;ATG9A;KIFAP3;ATP6V0D1;ADGRL1;CTNND2;PRKAR1A;ETV5;PPP3CA;CAMK2B;EEF2;CALY;IGSF21;LRFN3;ADGRA1;NSG1;NETO2;EXOC4;PLXND1;KCNAB2;DTNB;MAGI2;ARHGEF9;LRRC4B;KIDINS220;LYN;GRK3;SRCIN1;LARGE1;SCAMP1;GRN;TMOD2;RAP2A;SIGMAR1;EHD1;ATP2B1;TENM4;MPDZ;DISC1;CACNA1A;ADCY1;KCNK1;FBXO41;OPRL1;USP46;DNM3;ADAM23;NEFL;LHFPL4;CLSTN2;SNX14;STRN3;ATP6V0A1;SLC12A4;BMPR2;CDKL5;NXPH1;TIAM1;MYH10;NAPEPLD;FLNA;SLC8A1;BTBD9;DGKE;PPT1;SLC22A1;ITSN2;DIXDC1;KCNC3;PLCB1;RAB33B;NPAS4;BACE1;LRFN2;PJA2;GRIN2B;FARP1;RAPGEF2;VAMP3;AKAP5;KIF5A;SLC18A3;CACNB2;NDFIP1;ADORA1;RPL7;PRKAR2A;GPR37;PPFIA2;RABEP1;CALR;RPS6KA3;DOCK10;SLC38A6;NGFR;SNX6;KCNA6;KIF1A;SH2D5;SLC29A4;BEST1;CALM1"
"GOCC_SYNAPTIC_MEMBRANE",0.000251889168765743,0.0126164013217182,0.41067710146689,1.54836428662639,0,436,"SLC6A2;CRYAB;ERBB3;KCTD12;DRD1;CHRM1;SCN10A;CNR2;SLC6A7;GSG1L;LPAR1;SLC6A4;CBLN1;GPER1;CHRNA6;IL1RAPL1;SLITRK2;CASR;RPH3A;GPR179;CLMP;SSPN;CHRM3;SHISA8;KCNJ2;DDN;GRM7;OPRD1;HTR3B;GABRE;GAD2;CNTN6;ICAM5;HTR2A;NTNG1;ITGB3;GABRA1;SLC1A7;GRIK2;SNCAIP;FLRT2;PLPPR4;CHRM2;CNTN5;SRPX2;GLRA2;FAIM2;NRP2;GRIN2A;HTR5A;SLC5A7;GRID2;ERBB4;GABRA2;HCN1;CNTN1;FLRT3;GRIA1;LRP4;GRM5;ASIC2;GABRR1;KCNA1;GRIN3A;SLC6A11;ATP2B2;NCAM2;GABRA3;GRIN3B;KCNJ3;GRIN1;OPRK1;PCDH9;P2RY1;DLG2;CHRNA2;LRFN5;ATP2B4;GRIN2C;GABRB1;CSMD2;HTR3A;SHC4;GABRG2;HTR1B;CACNA1C;NTM;GRIA2;GRIK4;PTPRO;NLGN3;APBA1;LRRTM1;CACNA2D3;DMD;GLRA3;KCNC2;GLRB;RIMS1;SLITRK3;SRGAP2;GABBR2;CNTNAP4;GLRA1;VWC2;ADCY8;CNIH3;TACR3;GPR158;CACNA2D2;SHANK2;GABRA5;LRRTM3;NRP1;KCNH1;SEMA4F;NECTIN3;RGS7BP;CDH10;GABRG3;UNC13C;NSG2;KCND2;NLGN4Y;ADORA2A;KCND3;CSPG5;CHRNA4;ATP6AP2;KCNK2;ADGRB3;SNAP91;SLC8A3;CHRNB3;NRXN3;KCNC4;NRXN2;SYNE1;ATP2B3;ERC1;ERBB2;DGKB;CLSTN3;CTNNB1;ANK3;ADRA2A;EPHA7"
"GOCC_SOMATODENDRITIC_COMPARTMENT",0.00081588251291814,0.0152298069078053,0.338822737262811,1.33325645401774,2,828,"MYOT;NPY;SLC6A2;S100B;CRYAB;CD3E;PRSS12;ERMN;DRD1;CHRM1;APOD;CNR2;NCF1;TNN;CALCA;ITPR3;PENK;SCN1A;GNAT1;ADCY10;ITGA4;SYNPO;LPAR1;PALMD;FRMD7;TH;P2RX7;GPER1;GHR;EPHA6;IL1RAPL1;SLITRK2;CASR;RPH3A;PIEZO2;NYX;NTSR1;LRRK2;GPR179;CHRM3;SHISA8;KCNJ2;FLRT1;DDN;CYP17A1;GRM7;SLC6A1;OPRD1;HRH1;SLC18A2;GABRE;CRH;INHA;ICAM5;HTR2A;RCVRN;RELN;RIN3;GABRA1;GRIK2;SNCAIP;CD22;SLC17A8;CHL1;CHRM2;TRPM2;THY1;CX3CL1;CRHR2;GRIN2A;TPBG;HTR5A;SLC5A7;NTRK2;GRID2;PDE1C;ATP1A2;VSTM5;BRINP3;TMEM266;LYPD6;KCNA4;HTR1E;GABRA2;HCN1;SLC1A3;CALB1;KCNIP1;SRD5A2;PLXDC1;SLC22A3;RIT2;GRIA1;LYNX1;LRP4;UNC5C;GRM5;ASIC2;CX3CR1;KCNA1;GRM6;PDYN;EPM2A;TRPC5;SRGAP2B;GRIN3A;TMEM151A;CARTPT;ATP2B2;ADCY2;TMPRSS5;GABRA3;APOE;GRIN3B;GRIN1;PPP1R1B;SLC24A1;HMCN2;DNER;OPRK1;KIF17;HAP1;SEZ6;P2RY1;PLK2;HRH4;DLG2;TANC1;AKAP12;GABRB1;FZD4;GABRG2;HTR1B;CACNA1C;HTR2B;CYP46A1;PRNP;BRINP1;S100A5;EPHB1;SRGAP2C;PRKN;GRIA2;PTPRN;PTPRO;NLGN3;CPNE5;APBA1;HRH2;SLC32A1;IL6ST;GLRA3;NPFF;KCNC2;UNC5A;GLRB;SLC4A10;FRMPD4;ASS1;SRGAP2;KREMEN1;NEGR1;BRINP2;GLRA1;ADCY8;SLC1A1;CNIH3;CAMK2A;TACR3;INPP5F;SHANK2;GABRA5;CALB2;ASTN2;HCN2;ASTN1;OPHN1;ALCAM;KCNH1;SEMA4F;PTEN;RGS7BP;PRICKLE2;GABRG3;TGFB2;CNNM1;HTR6;ATP13A2;NSG2;KCND2;NOS1;KIRREL1;NLGN4Y;ADORA2A;KCND3;ATP7A;ITPKA;CHRNA4;ATP6AP2;KCNK2;HTR7;SLC8A3;AMFR;KCNC4;CACNA1E;CYGB;SYN1;VPS35;PLEC;FGF13;CLSTN3;CLU;ANK3;ADRA2A;EPHA7;TMEM100;CPNE6;OSBP2;DAGLA;CD200;SHTN1;KCNN3;NSF;KLHL1;NRXN1;WFS1;SNCB;MAGEE1;SIPA1L1;DRP2;MT-ND1;KCNB1;KLHL14;TMEM108;FLNB;RABGEF1;GRIA4;GOPC;SLC1A4;KIFAP3;CTNND2;RARA;PPP3CA;EPHB6;LRFN3;KIF1C;NSG1;PDE1A;COBL;XRN1;DTNB;MAGI2;SRCIN1;SIGMAR1;MPDZ;CACNA1A;KCNK1;PRKCZ;DNM3;LHFPL4;CLSTN2;SNX14;STRN3;SIAH2;BMPR2;RACK1;CDKL5;MYH10;NAPEPLD;FLNA;SLC8A1;TPX2;PPT1;UBXN2A;ATXN10;KCNC3;TMEM185A;BACE1;GRIN2B;FARP1;RAPGEF2;AKAP5;KIF5A;NDFIP1;ADORA1;GPR37;PPFIA2;DOCK10;POLR2M;NGFR;AMIGO1"
"GOCC_DENDRITIC_TREE",0.00103707544723879,0.0174228675136116,0.351194623095213,1.35730725173872,3,611,"CRYAB;CD3E;PRSS12;DRD1;CHRM1;APOD;CNR2;NCF1;TNN;PENK;ADCY10;SYNPO;LPAR1;PALMD;GPER1;EPHA6;IL1RAPL1;SLITRK2;RPH3A;NYX;NTSR1;LRRK2;GPR179;CHRM3;SHISA8;KCNJ2;DDN;GRM7;OPRD1;HRH1;SLC18A2;GABRE;ICAM5;HTR2A;RCVRN;RELN;RIN3;GABRA1;GRIK2;SLC17A8;CHL1;CHRM2;THY1;CRHR2;GRIN2A;TPBG;HTR5A;SLC5A7;NTRK2;GRID2;ATP1A2;VSTM5;BRINP3;TMEM266;LYPD6;KCNA4;HTR1E;GABRA2;HCN1;CALB1;KCNIP1;PLXDC1;RIT2;GRIA1;LYNX1;LRP4;UNC5C;GRM5;ASIC2;CX3CR1;KCNA1;GRM6;PDYN;EPM2A;TRPC5;SRGAP2B;TMEM151A;ATP2B2;ADCY2;GABRA3;APOE;GRIN1;DNER;OPRK1;KIF17;HAP1;SEZ6;P2RY1;PLK2;HRH4;TANC1;GABRB1;FZD4;GABRG2;HTR1B;CACNA1C;HTR2B;CYP46A1;PRNP;BRINP1;EPHB1;SRGAP2C;GRIA2;PTPRO;NLGN3;APBA1;HRH2;SLC32A1;IL6ST;GLRA3;NPFF;KCNC2;GLRB;SLC4A10;FRMPD4;SRGAP2;NEGR1;BRINP2;GLRA1;ADCY8;SLC1A1;CNIH3;CAMK2A;TACR3;INPP5F;SHANK2;GABRA5;CALB2;HCN2;OPHN1;ALCAM;KCNH1;SEMA4F;PTEN;RGS7BP;PRICKLE2;GABRG3;CNNM1;HTR6;NSG2;KCND2;NOS1;KIRREL1;NLGN4Y;ADORA2A;KCND3;ATP7A;ITPKA;CHRNA4;ATP6AP2;KCNK2;HTR7;SLC8A3;AMFR;KCNC4;SYN1;PLEC;FGF13;CLSTN3;CLU;ANK3;EPHA7;CPNE6;OSBP2;DAGLA;NSF;KLHL1;WFS1;MAGEE1;SIPA1L1;DRP2;MT-ND1;KCNB1;TMEM108;RABGEF1;GRIA4;GOPC;SLC1A4;KIFAP3;CTNND2;RARA;PPP3CA;EPHB6;LRFN3;KIF1C;NSG1;COBL;XRN1;DTNB;MAGI2;SRCIN1;SIGMAR1;MPDZ;KCNK1;DNM3;LHFPL4;CLSTN2;SNX14;STRN3;BMPR2;RACK1;CDKL5;MYH10;FLNA;SLC8A1;PPT1;UBXN2A;ATXN10;KCNC3;TMEM185A;BACE1;GRIN2B;FARP1;AKAP5;KIF5A;NDFIP1;ADORA1;GPR37;PPFIA2;DOCK10;NGFR;AMIGO1;KIF1A"
