"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_CELL_ADHESION_MOLECULE_BINDING",0.000260416666666667,0.08125,0.346618975635902,1.34178668545195,0,633,"ITGB7;PCDHGA3;PCDHGA7;GPNMB;CDH19;CCN3;TGFBI;PCDHGA6;PCDHGA11;PCDHA5;IGF1;GPRC5A;PCDHB5;ITGAX;TNN;POSTN;H3C2;EGFL6;PCDHA9;FAP;ITGA4;PCDHA2;SLC6A4;ECM2;PCDHA10;H3C4;CASR;HMCN1;COL3A1;PKP1;PCDH18;H3C10;CDHR2;H3C1;FBN1;FBLN5;SVEP1;H3C12;PTPRB;CNTN6;TRIM29;TNXB;ICAM5;NTNG1;ITGA6;CD1D;CDHR1;ITGB3;PCDHB8;IGF2;CXCL12;AHNAK;CNTN5;THY1;PTPRH;FXYD5;PPL;CX3CL1;THBS1;ARHGAP18;FERMT1;VSIG10L2;ADAMTS5;VCAM1;ANGPTL3;PCDH10;PTN;CNTN1;ITGB5;PCDHB12;S1PR3;PCDHGA12;PCDHB6;ADAMTS8;LAMB1;PCDHGA10;PLXNB3;CCN4;H3C3;PCDH1;ANXA2;COBLL1;PRKCA;PCDHAC2;COL5A1;CDH11;PLPP3;PCDH9;NPNT;CDH18;CLDN9;SPTBN1;PCDHA4;EGFR;SPP1;CDH22;ESM1;TRIM25;ROBO4;PARVA;PCDH11X;EPCAM;PTPRO;NLGN3;PTPRJ;LAMB2;TENM1;PCDH12;PPFIBP1;VASN;TLN1;CDH9;PCDHGA1;PCDHGB4;PCDHGB5;EMILIN1;PCDHB9;TLN2;ADAM9;CDC42EP1;SFRP2;ITGBL1;BCAM;MSN;PHLDB2;PCDHAC1;CLDN19;ITGB8;PLIN3;SND1;NHERF2;PCDHB1;PTPRM;NECTIN3;CDH10;STAT1;CDH4;PACSIN2;ITGA9;KIRREL1;NLGN4Y;CCN5;HSPG2;TES;TWF1;PCDH7;CDH6;FBLN1;CDH17;SIRPA;CHMP2B;NRXN3;ICAM2;DOCK9;PLEC;P4HB;NF2;IQGAP1;TENM3;NRXN2;CAST;ERC1;CNTN4;CDH3;NIBAN2;RDX;HDLBP;CLSTN3;WASF2;CDHR3;CTNNB1;PCDHGA2;ANK3;S1PR2;NPHS1;CD200;SHTN1;USP8;SNX2;PCDHA3;TMOD3;NRXN1;CDH23;COMP;PVR;LCP1;FLNB;ANLN;PCDHGC4;PCDHB16;ADAM22;PCDHA8;HSPA5;PCDHB18P;ADGRL1;CTNND2;FN1;EEF2"
"GOMF_EXTRACELLULAR_MATRIX_BINDING",0.000214132762312634,0.08125,0.678572838696361,2.02517842211565,0,59,"TGFBI;LGALS1;OLFML2A;LRRC15;ADGRG6;DCN;SHH;BGN;ADAMTS15;CHADL;TNXB;ELN;LTBP2;CTSS;ITGB3;COL11A1;THBS1;ADAMTS5;NID1;PLEKHA2;SLIT2;LGALS3;SMOC2;OLFML2B;ACHE;SPP1;FBLN2;ADAM9;BCAM"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",0.00022691173133651,0.08125,0.515173184477282,1.78405410735357,0,171,"OGN;MGP;ACAN;ASPN;COL19A1;TGFBI;MUC2;FGL2;COL23A1;NID2;LAMA2;MXRA5;ENAM;LAMA4;POSTN;COL6A3;COL4A4;COL5A2;LAMC3;ZAN;COL14A1;COL9A3;COL6A6;COL8A2;OPTC;LUM;MATN2;COL10A1;COL6A2;HMCN1;COL3A1;DCN;CTHRC1;BGN;FBN1;FBLN5;PRELP;COL11A2;CHADL;TNXB;ELN;LAMB4;ABI3BP;LTBP2;COL1A2;COL11A1;SRPX2;THBS2;THBS1;CD4;NID1;LAMC1;COL28A1;LAMB1;FMOD;COL17A1;AEBP1;VCAN;HMCN2;COL5A1;COL2A1;NPNT;COL9A2;COL12A1;PRG4;LAMA1;FBLN2;ESM1;PODN;LAMB2;ZP1;PCOLCE;EMILIN1;THSD4;SRPX;MATN1;FBN3;COL18A1;MFAP4;SPOCK1"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",0.000229779411764706,0.08125,0.485962591298437,1.70483664433833,0,195,"ACAN;CXCL6;GPNMB;SOST;PLA2G2D;CCN3;TGFBR2;CXCL8;COL23A1;CFH;POSTN;HABP2;LPL;SERPIND1;LGR6;RSPO3;ECM2;CEMIP;RSPO1;LIPH;EGFLAM;ADAMTS3;DCN;SHH;FGFR2;TNFRSF11B;BGN;TNFAIP6;CCDC80;TGFBR3;FBN1;PRELP;ADAMTS15;STAB2;NOD2;TNXB;SLIT3;ADAMTS1;RSPO2;LAYN;LTBP2;CXCL13;SERPINA5;SOD3;THBS2;SPOCK3;THBS1;NRP2;ADAMTS5;TREM2;VIT;ANGPTL3;PTN;ENG;FSTL1;ADAMTS8;SLIT2;CCN4;APOE;DMBT1;VCAN;SMOC2;COL5A1;ALK;FGF10;SELL;PRNP;RSPO4;TENM1;PCOLCE2;PCOLCE;CHODL;HSD17B12;BCAN;NRP1;FGF12;HAPLN4;PTPRC;APLP2;LYSMD3;GNS;AZU1;CCN5;ADGRE2;SPOCK2;CRISPLD2;HK1;GFRA2"
"GOMF_OLFACTORY_RECEPTOR_ACTIVITY",0.000184569952011812,0.08125,-0.5910920741646,-1.79776829049925,0,76,"OR51E2;OR12D2;OR51L1;OR5A1;OR8I2;OR5B2;OR11H7;OR8D1;OR6C74;OR8H2;OR56B2;OR10Q1;OR8H1;OR10Z1;OR10G2;OR10AG1;OR2A4;OR9H1;OR5H2;OR2C3;OR2B11;OR5M1;OR52A5;OR6C1;OR6C6;OR6C3;OR6B1;OR10G7;OR2T8;OR2H1;OR4F17;OR13A1"
"GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS",0.000209643605870021,0.08125,0.868068182616984,2.1153228926195,0,21,"CRYBB1;CRYAA;CRYBA4;HSPB2;CRYBB3;CRYAB;LIM2;BFSP2;CRYBA2;CRYGD;CRYBA1;CRYGC;CRYBB2;CRYGS"
"GOMF_HEPARIN_BINDING",0.000898069151324652,0.240169350182821,0.474851606426675,1.60667654386581,3,141,"CXCL6;GPNMB;SOST;PLA2G2D;CCN3;CXCL8;COL23A1;CFH;POSTN;LPL;SERPIND1;LGR6;RSPO3;ECM2;RSPO1;LIPH;ADAMTS3;FGFR2;CCDC80;TGFBR3;FBN1;PRELP;ADAMTS15;TNXB;SLIT3;ADAMTS1;RSPO2;LTBP2;CXCL13;SERPINA5;SOD3;THBS2;THBS1;NRP2;ADAMTS5;ANGPTL3;PTN;FSTL1;ADAMTS8;SLIT2;CCN4;APOE;SMOC2;COL5A1;ALK;FGF10;SELL;RSPO4;TENM1;PCOLCE2;PCOLCE;HSD17B12"
"GOMF_GLYCOSYLTRANSFERASE_ACTIVITY",0.00139827546026567,0.327196457702167,0.390712719489158,1.41110763047106,5,251,"ST6GALNAC2;ART3;GCNT3;UGT2B15;DPY19L2P1;A4GNT;ABO;UGT2A3;FUT6;UGT8;GCNT1;GALNT6;GALNT10;PARP14;UGT2B7;ST6GALNAC3;ST8SIA5;B3GNT7;EPM2A;GLT8D2;HAS1;GALNT4;LACC1;B3GNT9;FUT10;HAS2;GXYLT2;POGLUT3;DPY19L1;MGAT4A;STT3A;PIGV;GALNT5;EXTL1;TMTC3;ST6GAL2;GYG2;PIGZ;XYLT2;CHPF;CERCAM;GALNT18;FUT2;C1GALT1;B3GNT4;PGAP4;ST8SIA4;ST3GAL4;GALNT13;GALNT15;GYG1;MGAT4C;PLOD2;GBA1;QPRT;DPY19L2P2;PLOD1;GXYLT1;B3GALT1;FUT1;TMTC1;B4GALT1;B4GAT1;GALNT9;FUT11;ST8SIA6;POFUT1;B3GALNT2;GLT1D1;B3GNT5;B4GALT6;GALNT2;B3GAT2;PYGL;ST6GALNAC4;POGLUT1;GCNT7;EXT2;HEXB;PIGM;STT3B;ALG1;XXYLT1;ST3GAL6;LARGE1;UPP2;DPAGT1;GALNT8;UGGT2;ST6GALNAC6;RPN1;EXTL3;TNKS;POMGNT2;GALNT11;EOGT;PLOD3;QTRT2;B3GALT5;ALG13;DPY19L3;FUT3;B4GALNT3;TIPARP;RPN2;B4GALT3;MGAT5B;ALG12;GYS1;ST3GAL5;PARP8;COLGALT2;SIRT2;DPY19L4;ART5;CHSY3;ST8SIA3"
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY",0.00224215246636771,0.354045596781404,0.349135509413507,1.31769245696452,8,432,"ERG;ALX4;SOX10;NR1H4;SPI1;POU2F3;FOXD2;EGR4;LMX1A;HOXB5;FOXR1;HOXA9;HOXA13;TFAP2B;SOX30;HOXA5;MYOD1;TCF21;SOX17;NFATC2;NFIB;PRRX1;FOXI1;TWIST1;KLF4;MSX1;BHLHA15;ATOH1;DLX2;NFIA;EPAS1;WT1;TBX3;FOXC1;MYOG;MEF2C;FOXL2;PITX3;ETS1;SIX2;MEOX1;FOXJ1;TLX2;MIXL1;HSF5;TP73;NFIC;ALX1;FLI1;CREB3L3;TBX5;HOXA10;MEOX2;FOXA2;BARHL1;FOXO1;GLIS3;EN2;SHOX;FOXF2;TFAP2C;GATA1;NR4A2;PITX1;NKX6-3;GATA3;MAF;ZIC1;HNF4G;GATA4;FEV;SOX9;EHF;POU4F3;IRX3;NR3C1;GLIS1;STAT6;MAFB;CTCFL;ELF4;ZIC3;HLF;GATA2;TFCP2L1;NR1I3;HNF4A;TFAP2A;ELK3;ETV2"
"GOMF_GROWTH_FACTOR_BINDING",0.00245864997764864,0.354045596781404,0.452800105422573,1.51383105078323,10,129,"ERBB3;TGFBR2;PDGFRA;IL1R1;GHR;IL1R2;IL1RAPL1;COL3A1;FGFR2;FGFBP2;CD36;TGFBR3;IL2RB;IGFBP6;HTRA1;ITGA6;PDGFRB;LTBP2;CXCL13;ITGB3;COL1A2;KAZALD1;IGFBP5;SRPX2;THBS1;NRP2;LTBP3;NTRK2;ENG;LIFR;IL9R;ACVRL1;OSMR;COL5A1;COL2A1;HAP1;PDGFA;WFIKKN2;EGFR;IL6ST;KLB;VASN;IL11RA;NRP1;IL10RA;SHC1"
