"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING",0.928465921080397,1,0.265651150073668,0.690003644842056,4399,28,"AOX1;XDH;AIFM3"
"GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING",0.951941198643046,1,-0.251446340757883,-0.700543887966591,5050,45,"RSAD2;ISCA2;DPH2;CDK5RAP1;NTHL1;POLR3F;POLD1;PRIM2;DNA2;METTL17;DDX11;CIAO3;NUBP1;TYW1B;NDUFS8;NDUFV1;NDUFS7;PPAT;NFU1;LIAS;EXO5;SDHB;POLE;CIAPIN1;NDUFS1;NUBP2;ELP3;RTEL1;IREB2;MUTYH;NDUFS2;ERCC2;CDKAL1;DPH1;ABCE1;ACO2;REV3L;TYW1;MOCS1;ACO1;RSAD1;BRIP1;NUBPL;ETFDH;DPYD"
"GOMF_5_ALPHA_ANDROSTANE_3_BETA_17_BETA_DIOL_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.645816733067729,1,0.545063363432581,0.896531877910118,3241,4,"HSD17B6;AKR1C1"
"GOMF_ABC_TYPE_GLUTATHIONE_S_CONJUGATE_TRANSPORTER_ACTIVITY",0.633137294666396,1,0.470172312526264,0.878138530364069,3121,7,"ABCC2;ABCC1"
"GOMF_ACROSIN_BINDING",0.883,1,-0.396418897761877,-0.619795703750178,4414,3,"ZP3"
"GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",0.222470087203407,1,0.665863938823486,1.24363082445061,1096,7,"TMEM30B;ATP8B1;ATP8A2"
"GOMF_AMPA_GLUTAMATE_RECEPTOR_ACTIVITY",0.614662405113863,1,0.501475112104645,0.903222616649634,3076,6,"GRID2;GRIA1;GRIA2;GRIA4"
"GOMF_ANDROSTAN_3_ALPHA_17_BETA_DIOL_DEHYDROGENASE_NADPLUS_ACTIVITY",0.612632869991823,1,0.460900499897618,0.891232418743461,2996,8,"DHRS9;HSD17B6;AKR1C1"
"GOMF_ATP_ACTIVATED_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",0.163153627888123,1,-0.757140104069059,-1.30232023825152,804,5,"ABCC9;KCNJ10"
"GOMF_ATP_ADP_ANTIPORTER_ACTIVITY",0.667330677290837,1,0.534065005807555,0.878441544057196,3349,4,"SLC25A6;SLC25A5;SLC35B1;SLC25A4"
