"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000270641","TSIX",-11.6757395764835,8.67697333533906e-14,NA,NA,NA,"TSIX",NA,TRUE
"ENSG00000141338","ABCA8",5.35137362845584,1.01141610812407e-07,"ABCA8",3.55092236371981,0.156018970085072,"ABCA8",1.27311129849074,TRUE
"ENSG00000163191","S100A11",3.98700010418728,1.01141610812407e-07,"S100A11",0.018157382714489,0.999962111488567,"S100A11",2.80639560181628,TRUE
"ENSG00000163359","COL6A3",5.59966952693913,1.01141610812407e-07,"COL6A3",2.44281901126637,0.396909472625815,"COL6A3",2.23223040682446,TRUE
"ENSG00000165246","NLGN4Y",10.4627643594778,2.18122872994074e-07,"NLGN4Y",0.50226401376886,0.999962111488567,"NLGN4Y",7.04313733846178,TRUE
"ENSG00000229807","XIST",-6.05089855407838,2.20989601519823e-07,"XIST",2.93119131153702,0.776436778148882,"XIST",6.35129665320361,TRUE
"ENSG00000164692","COL1A2",4.67444031153067,4.60058909379786e-07,"COL1A2",1.1923096700851,0.971724174045006,"COL1A2",2.46223818954363,TRUE
"ENSG00000122641","INHBA",4.02291389976545,2.14899248373002e-06,"INHBA",0.853426326385878,0.999962111488567,"INHBA",2.24116615602319,TRUE
"ENSG00000108821","COL1A1",3.4540399972331,1.07392428358254e-05,"COL1A1",0.471921059444115,0.999962111488567,"COL1A1",2.10867652321541,TRUE
"ENSG00000151617","EDNRA",4.19357068894241,1.07392428358254e-05,"EDNRA",1.91602658526587,0.746296256369146,"EDNRA",1.61046688016112,TRUE
"ENSG00000164125","GASK1B",3.89796004636686,1.07392428358254e-05,"GASK1B",1.78732028096814,0.495565619011123,"GASK1B",1.49244769075542,TRUE
"ENSG00000120149","MSX2",5.37267186754626,2.4787564748121e-05,"MSX2",2.43197755750214,0.45008224675657,"MSX2",2.07938488802889,TRUE
"ENSG00000140682","TGFB1I1",2.47774707618902,2.4787564748121e-05,"TGFB1I1",0.541154671113604,0.999962111488567,"TGFB1I1",1.36937762202319,TRUE
"ENSG00000125968","ID1",2.96253678216718,2.74544590177682e-05,"ID1",0.793957403332067,0.984568323529039,"ID1",1.53341718431562,TRUE
"ENSG00000215030","RPL13P12",6.15028158163129,2.80592399056995e-05,"RPL13P12",0.930416725081658,0.999962111488567,"RPL13P12",3.69100183694359,TRUE
"ENSG00000085741","WNT11",4.2896439074085,3.09117678946997e-05,"WNT11",1.26259639621845,0.885870684928531,"WNT11",2.14044582213635,TRUE
"ENSG00000145623","OSMR",6.05204052940515,5.14696338367245e-05,"OSMR",0.845989972913292,0.985905991837373,"OSMR",3.68123365169539,TRUE
"ENSG00000168542","COL3A1",4.80860571401458,5.14696338367245e-05,"COL3A1",1.64110889596965,0.907241075159302,"COL3A1",2.23975847942638,TRUE
"ENSG00000266524","GDF10",5.01503314631721,5.14696338367245e-05,"GDF10",2.92614211046946,0.16639500252993,"GDF10",1.47706901660773,TRUE
"ENSG00000182492","BGN",3.83697608066278,5.54073891287873e-05,"BGN",1.54928956930845,0.897075202518344,"BGN",1.61763864540764,TRUE
"ENSG00000230630","DNM3OS",4.7855902493974,6.94063410896156e-05,"DNM3OS",1.60234346452034,0.976463066923172,"DNM3OS",2.25089538777685,TRUE
"ENSG00000107485","GATA3",3.55325825988646,0.000103739825296987,"GATA3",1.16483108342546,0.748154968117294,"GATA3",1.68887305284582,TRUE
"ENSG00000149090","PAMR1",2.9521881963793,0.000122096926558003,"PAMR1",-0.712511584406027,0.999962111488567,"PAMR1",2.59133406600616,TRUE
"ENSG00000147883","CDKN2B",2.65606351069434,0.000158272711537877,"CDKN2B",-0.340926603543874,0.999962111488567,"CDKN2B",2.11919203292689,TRUE
"ENSG00000270504","ENSG00000270504",2.86375791292647,0.000181030725095901,"ENSG00000270504",0.816831819641937,0.999962111488567,"ENSG00000270504",1.44739532114918,TRUE
"ENSG00000102359","SRPX2",3.38850548964877,0.000190737543779012,"SRPX2",1.13854427271017,0.954871966811657,"SRPX2",1.59096283390402,TRUE
"ENSG00000286125","ENSG00000286125",4.50333332692113,0.000198962186037368,"ENSG00000286125",0.967637257212524,0.999962111488567,"ENSG00000286125",2.50011466710558,TRUE
"ENSG00000164694","FNDC1",3.90152157386462,0.000244911172744828,"FNDC1",0.00584496624857288,0.999962111488567,"FNDC1",2.75465934655511,TRUE
"ENSG00000204262","COL5A2",4.01632423723168,0.000261203844603742,"COL5A2",2.1344739917175,0.422489931370286,"COL5A2",1.33066906978064,TRUE
"ENSG00000176907","TCIM",3.85815865985714,0.000281420981972673,"TCIM",0.208100433385725,0.999962111488567,"TCIM",2.58098092366368,TRUE
"ENSG00000120708","TGFBI",4.83098548361516,0.000312291500105901,"TGFBI",3.04302703141736,0.154019709445363,"TGFBI",1.26427754602887,TRUE
"ENSG00000137331","IER3",2.40517047285479,0.000312291500105901,"IER3",-0.25290279609809,0.999962111488567,"IER3",1.87954163336728,TRUE
"ENSG00000019549","SNAI2",3.94978510289143,0.000314585252465846,"SNAI2",0.692163664623883,0.999962111488567,"SNAI2",2.30348620953766,TRUE
"ENSG00000157227","MMP14",3.23698105444218,0.000332247748913532,"MMP14",0.314841389814376,0.999962111488567,"MMP14",2.0662647724325,TRUE
"ENSG00000142694","EVA1B",2.38869093143029,0.00033386944183552,"EVA1B",0.370999718308546,0.999962111488567,"EVA1B",1.42672313913889,TRUE
"ENSG00000117318","ID3",3.28156960575603,0.000454340515558324,"ID3",0.691513462448894,0.999962111488567,"ID3",1.83144626258635,TRUE
"ENSG00000116016","EPAS1",3.29383798312787,0.000767932891920459,"EPAS1",2.06103683878054,0.33341160345047,"EPAS1",0.871722049022536,TRUE
"ENSG00000054598","FOXC1",4.56335909615008,0.000799951586946031,"FOXC1",1.95556361503973,0.999962111488567,"FOXC1",1.84398986864076,TRUE
"ENSG00000177663","IL17RA",1.41933934304667,0.000911093320904051,"IL17RA",0.0669431786261755,0.999962111488567,"IL17RA",0.95628849871241,TRUE
"ENSG00000187634","SAMD11",2.3778471307855,0.00093827209561509,"SAMD11",1.3243547118628,0.0793691669214468,"SAMD11",0.744931633348863,TRUE
"ENSG00000003436","TFPI",3.0014263800142,0.00122555737583106,"TFPI",0.803580466572125,0.996379225595293,"TFPI",1.55411174939803,TRUE
"ENSG00000184584","STING1",7.27979954600835,0.00137927528520252,"STING1",2.64493600843605,0.724656473453234,"STING1",3.27734343729164,TRUE
"ENSG00000130600","H19",3.24521074403153,0.00158421695084257,"H19",0.927723662679792,0.526780782923795,"H19",1.63871083053603,TRUE
"ENSG00000115414","FN1",3.1813622177857,0.00210741000006949,"FN1",0.352812193873507,0.999962111488567,"FN1",2.00008690283368,TRUE
"ENSG00000168487","BMP1",1.35078187124642,0.00210741000006949,"BMP1",-0.389666134351387,0.999962111488567,"BMP1",1.23068258706081,TRUE
"ENSG00000071205","ARHGAP10",2.23129501070527,0.00232703264923377,"ARHGAP10",0.203037106835201,0.999962111488567,"ARHGAP10",1.43419491782174,TRUE
"ENSG00000135111","TBX3",3.90903658686401,0.00232703264923377,"TBX3",1.99121954258777,0.720605391924574,"TBX3",1.35610143708287,TRUE
"ENSG00000198467","TPM2",2.50379222177307,0.00232703264923377,"TPM2",-0.187512874151712,0.999962111488567,"TPM2",1.90304008357033,TRUE
"ENSG00000099715","PCDH11Y",5.66224499749399,0.00232740697852486,"PCDH11Y",-0.550155366306573,0.999962111488567,"PCDH11Y",4.39283042468915,TRUE
"ENSG00000163453","IGFBP7",3.75432726312925,0.00245860279068016,"IGFBP7",-0.469308809948457,0.999962111488567,"IGFBP7",2.98656170853737,TRUE
"ENSG00000168874","ATOH8",2.37720582358303,0.0024707580991096,"ATOH8",0.934843353115171,0.831358272009276,"ATOH8",1.0199042837968,TRUE
"ENSG00000058866","DGKG",4.15810982144875,0.00255965956329391,"DGKG",1.20782740358332,0.999962111488567,"DGKG",2.08616470408809,TRUE
"ENSG00000174807","CD248",3.00270315206892,0.00361133222523904,"CD248",0.308719712114656,0.999962111488567,"CD248",1.90493395879592,TRUE
"ENSG00000174059","CD34",6.2981253737829,0.00389328743402528,"CD34",1.9338305921151,0.591432732192053,"CD34",3.08602243521436,TRUE
"ENSG00000102760","RGCC",5.1068873658906,0.00400205304518807,"RGCC",3.29708054006336,0.364162759119465,"RGCC",1.27972667918014,TRUE
"ENSG00000162745","OLFML2B",2.61733014675272,0.00469662748885947,"OLFML2B",0.731290360065617,0.999962111488567,"OLFML2B",1.33363152275408,TRUE
"ENSG00000130635","COL5A1",3.00970433026687,0.00504755361939609,"COL5A1",0.817585625674136,0.999962111488567,"COL5A1",1.55006200118339,TRUE
"ENSG00000090013","BLVRB",1.90983958060532,0.00509055728380588,"BLVRB",0.423404162044842,0.999962111488567,"BLVRB",1.05106856425998,TRUE
"ENSG00000233117","LINC00702",5.89728669147762,0.00510003408306574,"LINC00702",0.428209283465436,0.999962111488567,"LINC00702",3.86722172203956,TRUE
"ENSG00000164287","CDC20B",5.0678190179313,0.00514305937283821,"CDC20B",4.56986462822467,0.420133823985836,"CDC20B",0.352106925683168,TRUE
"ENSG00000112769","LAMA4",3.93957335173773,0.00577508737637853,"LAMA4",2.4599024587888,0.442801866529496,"LAMA4",1.04628532232854,TRUE
"ENSG00000000971","CFH",4.25328257415337,0.00618744972390179,"CFH",2.62310278906867,0.992290752314338,"CFH",1.15271118058662,TRUE
"ENSG00000160678","S100A1",3.71317332338503,0.00707077354006271,"S100A1",0.951547685325987,0.999962111488567,"S100A1",1.95276421577018,TRUE
"ENSG00000214389","RPS3AP26",3.24374894306427,0.00719272071382968,"RPS3AP26",2.61587773278206,0.0650687682234306,"RPS3AP26",0.443971990502357,TRUE
"ENSG00000179348","GATA2",3.17081077605968,0.00787880103006127,"GATA2",0.886633591640894,0.999962111488567,"GATA2",1.61515717653412,TRUE
"ENSG00000091136","LAMB1",2.46518384202176,0.00805596862187004,"LAMB1",0.922126314295806,0.946847671302284,"LAMB1",1.09110644161597,TRUE
"ENSG00000134245","WNT2B",1.97692573641594,0.00805596862187004,"WNT2B",0.548608295718671,0.999962111488567,"WNT2B",1.00997294800405,TRUE
"ENSG00000139329","LUM",3.80220980080973,0.00805596862187004,"LUM",1.7882434462335,0.78395259694845,"LUM",1.4240892664024,TRUE
"ENSG00000168140","VASN",2.36827218352857,0.00805596862187004,"VASN",0.630469294819862,0.999962111488567,"VASN",1.2288122069715,TRUE
"ENSG00000162733","DDR2",3.24572863459874,0.00850055993164061,"DDR2",1.26842550584591,0.936249664420745,"DDR2",1.39816445080251,TRUE
"ENSG00000113083","LOX",2.5916835313134,0.00944083330380852,"LOX",0.827619811305529,0.999962111488567,"LOX",1.24738141886273,TRUE
"ENSG00000115232","ITGA4",3.45796902289141,0.00944083330380852,"ITGA4",2.10392306781506,0.360111442896478,"ITGA4",0.957455076872703,TRUE
"ENSG00000178695","KCTD12",3.36294632223062,0.00944083330380852,"KCTD12",3.03868805123231,0.0429231145525969,"KCTD12",0.229285222278729,TRUE
"ENSG00000253485","PCDHGA5",-3.69819861370142,0.00946424201622202,"PCDHGA5",-0.10436715016227,0.999962111488567,"PCDHGA5",2.54122259831011,TRUE
"ENSG00000230658","KLHL7-DT",-3.04373824580396,0.0098735090408657,"KLHL7-DT",-1.52094644872344,0.882922947828537,"KLHL7-DT",1.07677640605089,TRUE
"ENSG00000250786","SNHG18",2.67451022250484,0.0098735090408657,"SNHG18",0.241649362521061,0.999962111488567,"SNHG18",1.72029241177786,TRUE
"ENSG00000148926","ADM",2.14554255891933,0.00989226936979413,"ADM",0.308919108312162,0.999962111488567,"ADM",1.29868889641057,TRUE
"ENSG00000165124","SVEP1",2.63006507968573,0.00989226936979413,"SVEP1",1.46777119199119,0.676978737406655,"SVEP1",0.821865889720492,TRUE
"ENSG00000198286","CARD11",-7.30792749245379,0.00990920772745284,"CARD11",-5.32261542480146,0.0904452745943046,"CARD11",1.40382762580845,TRUE
"ENSG00000226686","LINC01535",-2.73575871192799,0.00990920772745284,"LINC01535",-1.38565853452589,0.999962111488567,"LINC01535",0.954664990722187,TRUE
"ENSG00000241743","XACT",-4.34457628146406,0.010684546836714,"XACT",-1.69044609673673,0.894252578637024,"XACT",1.8767534517726,TRUE
"ENSG00000005102","MEOX1",4.16575438630275,0.0107094365225993,"MEOX1",1.70933934677621,0.971724174045006,"MEOX1",1.73694773185784,TRUE
"ENSG00000105329","TGFB1",1.7968407518214,0.0107702286871572,"TGFB1",-0.836601962418605,0.746418279995598,"TGFB1",1.86212520110542,TRUE
"ENSG00000163017","ACTG2",3.44682757733433,0.0108815653667528,"ACTG2",-0.324666746423289,0.999962111488567,"ACTG2",2.66684921153559,TRUE
"ENSG00000163376","KBTBD8",-1.2191716897313,0.0111315175074455,"KBTBD8",-0.631246166409494,0.598433101625231,"KBTBD8",0.415726124373497,TRUE
"ENSG00000168497","CAVIN2",3.05553744025628,0.0113080588140433,"CAVIN2",1.11353232925745,0.999962111488567,"CAVIN2",1.37320498308621,TRUE
"ENSG00000050555","LAMC3",3.09762450560258,0.0117616120713411,"LAMC3",2.05149317360834,NA,"LAMC3",0.739726558864839,TRUE
"ENSG00000253953","PCDHGB4",2.03828155346102,0.011928725410875,"PCDHGB4",0.610571917198987,0.999962111488567,"PCDHGB4",1.00954316536626,TRUE
