"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000270641","TSIX",-11.6757395764835,8.67697333533906e-14,"TSIX",-9.30283608833675,6.1635405936421e-15,"TSIX",1.67789614756978,TRUE
"ENSG00000141338","ABCA8",5.35137362845584,1.01141610812407e-07,"ABCA8",1.81059845772895,0.784727648888199,"ABCA8",2.50370613387794,TRUE
"ENSG00000163191","S100A11",3.98700010418728,1.01141610812407e-07,"S100A11",3.97519939229631,1.44645983665871e-20,"S100A11",0.00834436340093344,TRUE
"ENSG00000163359","COL6A3",5.59966952693913,1.01141610812407e-07,"COL6A3",3.1630025477659,1.22224230014196e-05,"COL6A3",1.72298374446673,TRUE
"ENSG00000165246","NLGN4Y",10.4627643594778,2.18122872994074e-07,"NLGN4Y",9.97342011992069,2.22287677479287e-05,"NLGN4Y",0.346018630125443,TRUE
"ENSG00000229807","XIST",-6.05089855407838,2.20989601519823e-07,"XIST",-9.05312993979298,7.32010709810237e-21,"XIST",2.12289817152988,TRUE
"ENSG00000164692","COL1A2",4.67444031153067,4.60058909379786e-07,"COL1A2",3.49044359400604,0.000601406998855404,"COL1A2",0.837212107864278,TRUE
"ENSG00000122641","INHBA",4.02291389976545,2.14899248373002e-06,"INHBA",3.17943566112515,0.00276521278190539,"INHBA",0.59642918232584,TRUE
"ENSG00000108821","COL1A1",3.4540399972331,1.07392428358254e-05,"COL1A1",2.98625113901279,0.013588734525102,"COL1A1",0.330776673811089,TRUE
"ENSG00000151617","EDNRA",4.19357068894241,1.07392428358254e-05,"EDNRA",2.2891728295342,0.179729640946829,"EDNRA",1.34661264046469,TRUE
"ENSG00000164125","GASK1B",3.89796004636686,1.07392428358254e-05,"GASK1B",2.11102652766603,0.0490994113264446,"GASK1B",1.2635528086029,TRUE
"ENSG00000120149","MSX2",5.37267186754626,2.4787564748121e-05,"MSX2",2.9469663780421,2.09740498566442e-05,"MSX2",1.71523280078983,TRUE
