"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000159033078880407,0.0398472438570926,0.481603185014941,1.72827236920442,0,380,"USP9Y;DAND5;MSX2;CFC1B;RGCC;GDF10;COL3A1;TMEM119;COL1A2;SLC39A5;ITGB6;TFAP2B;INHBA;ITGA8;MSX1;TGFBR2;SOST;WNT1;TNFAIP6;BMP5;GDF7;SULF1;DAB2;EMILIN1;BAMBI;ASPN;ENG;ID1;SMAD6;GDF5;CDKN2B;LTBP2;PPARG;FOXD1;LOX;HFE;CIDEA;SFRP4;FBN1;TGFB1I1;ATOH8;VASN;GREM1;SLC2A10;RUNX2;CRIPTO3;BMP4;CLDN5;LDLRAD4;WWTR1;FOLR1;THBS1;DKK1;NPNT;GDF6;TGFB1;HES1;ACVRL1;LRRC32;NFIA;FSTL1;CCN3;BMP2;WNT5A;SPI1;PMEPA1;HTRA1;ETV2;FBN2;INHA;SFRP2;CAV1;GATA4;TGFBR3;SMAD7;TGIF1;ITGB5;BMPER;BMP6;LTBP3;TGFB2;DACT1;CHRDL2;BMP7;APOA1;CD109;COMP;CDH5;RASL11B;HTRA3;FZD1;SPRY1;TGFBR3L;JUN;CCN1;PCSK6;NOTCH2;CRIM1"
"GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000171408981830648,0.0398472438570926,0.512073440242281,1.68749509306335,0,151,"DAND5;INHBA;SOST;WNT1;TNFAIP6;EMILIN1;BAMBI;ASPN;ENG;SMAD6;PPARG;CIDEA;FBN1;VASN;GREM1;SLC2A10;LDLRAD4;DKK1;LRRC32;CCN3;BMP2;WNT5A;PMEPA1;HTRA1;FBN2;INHA;SFRP2;CAV1;TGFBR3;SMAD7;BMPER;CHRDL2;CD109;RASL11B;HTRA3;FZD1;SPRY1"
"GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS",0.000133922592741395,0.0398472438570926,0.325984178101708,1.27040271332677,0,1760,"ZFY;PEG3;STING1;ERG;TWIST1;IL33;CD38;TFAP2D;IGF1;HOXA9;SRY;TLR3;RGCC;KLF14;DNM3OS;HOXA4;SOX10;FEV;TCF21;GMNC;FOXC1;BARHL1;FOXD2;WT1;WNT11;SLC39A5;TFAP2B;MEOX1;MYOD1;PRRX1;MYOG;INHBA;FOXA2;TBX1;TBX3;LMX1B;WNT3A;ALX1;TBX18;CYTL1;LUM;ITGA8;HOXB9;MSX1;TBX15;SOST;GATA3;OSR1;WNT1;GLIS1;LMX1A;COL1A1;ALX4;CD80;PNLDC1;TBX5;RARG;BMP5;GDF7;EPAS1;DAB2;GATA6;PTF1A;SIX2;HAND2;BAMBI;FLI1;ETS1;GATA2;HOXB7;IGF2;IL1A;FHL5;ENG;WNT2;FOXC2;DCN;FOXD3;FOXE1;FOXL2;PITX3;FOXR1;NFATC2;SMAD6;SNAI1;TNFSF11;GPER1;HGF;HAND1;ASCL2;PPARG;FOXD1;WNT6;HOXD8;CIDEA;PITX1;NFIX;VGLL2;ELK3;HOXC10;TGFB1I1;FBLN5;FOXF2;TLX2;ATOH8;GREM1;PAX3;CDKN2A;TBX2;RARB;SPP1;HOXA7;RUNX2;TRIM22;CEBPD;POU4F3;TRIM38;SPX;GATA1;MEF2B;BMP4;AGTR2;CDX2;PAX7;CAPN3;ZC3H12D;NR3C1;IL31RA;WWTR1;NR4A2;GLIS3;FOXJ1;EN2;ELF4;ZFP36;MAF;ATOH1;EN1;NR2F2;EDN1;NPNT;GDF6;MEF2C;TGFB1;PDGFB;HES1;ACVRL1;NFATC4;TLR4;NFATC1;AFAP1L2;HEYL;NFIA;BMP2;WNT5A;SPI1;PBXIP1;NFKBIZ;ABHD14B;POU2F3;ETV2;GATA5;ID2;OLIG3;SFRP2;ZFP36L2;MAFB;AGT;AAMDC;TLR2;GATA4;APOE;EPO;SPAG8;IL23A;NFIB;POU4F2;CSRNP1;HOXA11;TRIM5;TBX4;GRHL3;ANKRD1;TEAD3;TFAP2A;BMP6;GRHL2;RFX6;GTF2A1L;LITAF;FOXO1;TGFB2;HEY1;GLMP;TP73;SAMD4A;IFI16;CREB3L2;BMP7;NKX2-5;IER5;STAT6;NR1H4;HOXB4;ERBB4;NIBAN2;FANK1;FZD1;HOXB3;HOXA5;NFIC;SERTAD1;AHR;MEOX2;JUN;CCN1;RAX;ELF1;MDFIC;GFI1B;BHLHA15;NOTCH2;ZFPM2;HOXB5;HOXD9;SEC14L2;BCL2L12;SMAD9;SIX5;RXRG;EGFR;TFAP2C;FOXA1;WNT10B;ANXA2;TLX1;PKNOX2;SMAD3;SKAP1;IL11;IRF3;SMARCA2;RIT2;FGFR2;PLPP3;GLI1;POU4F1;ZIC2;ZNF833P;EVX1;WNT4;RASL11A;ARID5B;MDK;JAG1;HEXB;NR2E3;TNFRSF1A;LIF;FOXI1;PRR5L;HMGA2;NYNRIN;ACTN1;HEY2;ZBTB7B;RHOG;E2F8;HSF5"
"GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000175870559268378,0.0398472438570926,0.590774735801081,1.85970567960551,0,104,"MSX2;INHBA;ITGA8;MSX1;TGFBR2;BMP5;GDF7;SULF1;DAB2;ENG;GDF5;CDKN2B;FOXD1;HFE;TGFB1I1;ATOH8;SLC2A10;BMP4;THBS1;NPNT;GDF6;TGFB1;HES1;ACVRL1;BMP2;GATA4;TGFBR3;BMPER;BMP6;TGFB2;BMP7;CDH5;CCN1;NOTCH2;SMAD3"
"GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.000162972620599739,0.0398472438570926,0.528872309022353,1.84837590076282,0,273,"DAND5;MSX2;TFAP2B;INHBA;ITGA8;MSX1;TGFBR2;SOST;WNT1;TNFAIP6;BMP5;GDF7;SULF1;DAB2;EMILIN1;BAMBI;ASPN;ENG;SMAD6;GDF5;CDKN2B;PPARG;FOXD1;LOX;HFE;CIDEA;SFRP4;FBN1;TGFB1I1;ATOH8;VASN;GREM1;SLC2A10;BMP4;LDLRAD4;FOLR1;THBS1;DKK1;NPNT;GDF6;TGFB1;HES1;ACVRL1;LRRC32;FSTL1;CCN3;BMP2;WNT5A;PMEPA1;HTRA1;FBN2;INHA;SFRP2;CAV1;GATA4;TGFBR3;SMAD7;BMPER;BMP6;TGFB2;DACT1;CHRDL2;BMP7;CD109;CDH5;RASL11B;HTRA3;FZD1;SPRY1;TGFBR3L;CCN1;PCSK6;NOTCH2;CRIM1"
"GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT",0.000166861338227933,0.0398472438570926,0.491513125202705,1.6809363639651,0,220,"IGF1;COL3A1;TCF21;WT1;WNT11;ITGB6;MSX1;TGFBR2;ALDH1A3;TBX5;RARG;EPAS1;GATA6;MMP14;PDGFRA;WNT2;ID1;CCBE1;LOX;EDN2;FBN1;EVA1A;IGFBP5;RSPO2;TBX2;CCN2;BMP4;SIM2;WNT2B;MME;FOXJ1;STRA6;TGFB1;SLC23A1;HES1;BMP2;WNT5A;NFIB;TBX4;GRHL2;LTBP3;TP73;LAMA1;LOXL3;SPRY1;HOXA5;ZFPM2;CRISPLD2;FOXA1;ANXA2;FGFR2;GLI1;HHIP;ASS1;GPC3;LIF;HMGA2;ALDH1A2;PKDCC;ADAMTS2;HEG1;CTSZ;CRH;ABCA12;CCDC39;PTK7;NOS3;EXT1;LIPA;TMEM38B;DNAAF3;WNT7B;CTSH;NPHP3;PLOD3"
"GOBP_RESPONSE_TO_LIPID",0.000146348602370847,0.0398472438570926,0.362335951629078,1.36730888921485,0,827,"KDM5D;CXCL6;CD38;BPI;IGF1;HOXA9;APOA4;MSX2;FMO1;CXCL8;HOXB13;SOX10;TCF21;S100B;CX3CR1;PTGIR;WNT11;CYP19A1;MYOD1;MYOG;INHBA;SNAI2;TBX1;WNT3A;IGFBP7;GBP3;OR51A4;TGFBR2;OSR1;COL1A1;CD80;TIE1;AREG;AVPR1A;CNR2;RARG;CRYAB;ID3;DAB2;GATA6;HAND2;GATA2;ZNF683;NUGGC;TREM2;IL1A;SCGB2A2;LPL;WNT2;FZD10;TFPI;ANXA1;CXCL13;METTL21C;SMAD6;GPER1;CCL2;P2RX7;HSD17B2;PPARG;LOX;WNT6;WNT8B;ETNPPL;ARPC1B;HAVCR2;NR3C2;TBX2;PTGER2;PENK;SPP1;KMO;CD6;GATA1;NR3C1;DHH;PTPRC;ZFP36;THBS1;DKK1;LPAR1;NR2F2;EDN1;MEF2C;TGFB1;EDNRB;HES1;MMP2;GHR;TLR4;SYK;HEYL;WNT5A;SPI1;NFKBIZ;PMEPA1;ABCB4;NTSR1;CYP26A1;ZFP36L2;TNFRSF11A;CAV1;CA3;GFI1;TLR2;PTGER1;GATA4;NQO1;EPO;KANK2;PTGER4;TGFBR3;POU4F2;CALCR;LTK;STAP1;CYP27B1;B2M;HOXA11;TRIM5;PDK4;ANKRD1;OR51A7;BMP6;LITAF;FOXO1;TGFB2;SPON2;CYBA;SLC6A4;BMP7;NR1H4;SLIT3;SCNN1B;LCAT;MGARP;CD4;IL18R1;CCND1;SASH1;ATP1A2;AHR;IGFBP2;JUN;FABP1;DIO2;AXIN2;CYP1A1;CLDN1;WNT9B;BCHE;BCL2L11;UCP1;MMP3;AXL;STC2;PDE3A;RXRG;EGFR;FOXA1;WNT10B;LOXL1;ACSBG1;PTGDS;SMAD3;IRF3;LYN;CARTPT;FGFR2;CD36;POU4F1;P2RY4;CD68;AQP1;INHBB;IRS1;IL12A;MDK;CASP7;ASS1;NR2E3;CYP7B1;HMGA2;ALDH1A2;TNFSF4;TNFAIP3;SSTR2;CLDN4;CPS1;CXCL5;GLB1;VIM;CD274;TRIM6;MEST"
"GOBP_INFLAMMATORY_RESPONSE",0.000296340198547933,0.0587494443621277,0.367596314009337,1.38030534008734,1,764,"CXCL6;STING1;OSMR;IL33;IGF1;NPY;CXCL8;TLR3;CLEC7A;TAFA3;GGT5;CXCL1;CX3CR1;PTGIR;CYSLTR1;ITGB6;CFH;CCL20;LGALS1;CYP19A1;CD69;CCN4;CXCL2;GHRL;GPR17;GBP3;LY75;TLR10;LRRC19;MBL2;TYROBP;IL22RA1;GATA3;CASP4;TNFAIP6;TAC4;CCL26;CNR2;TRPV4;HRH4;SLAMF8;ITGAL;FN1;ETS1;FPR1;TREM2;IL1A;LPL;ACKR2;PLA2G2D;MSMP;ANXA1;IFI35;CXCL13;NLRP6;ODAM;LRRK2;TNFSF11;GPER1;HGF;CCL2;P2RX7;PPARG;CXCL3;HBA1;CD200R1;IER3;HAVCR2;IL1R1;NT5E;PTGER2;HRH1;CD6;ADM;AIF1;BIRC3;AGTR2;NR3C1;TNFSF18;IL31RA;PTPRC;IL1RAP;SPHK1;TRIL;CCRL2;ELF4;ZFP36;THBS1;FCER1G;IL17RC;IL17C;MAS1;FCGR2A;TGFB1;RARRES2;ALOX15;EDNRB;FAM114A1;AGTR1;NFATC4;PLK2;ADAMTS12;TLR4;NLRC4;NFATC1;SYK;TNC;AFAP1L2;PLP1;CCN3;SERPINA3;BMP2;WNT5A;CD163;PBXIP1;IL16;ENPP3;NFKBIZ;CSF1;SIGLEC1;PTGS2;TNFRSF11A;AGT;S1PR3;PTN;ACKR1;ALOX5AP;TLR2;PTGER1;APOE;IL17RA;EPO;GBP1;CTSC;KCNK13;PTGER4;IL23A;NLRP11;HLA-E;CMKLR2;STAP1;BLNK;PTX3;IFI27;IL6R;HSPG2;NOD1;CHST2;APOD;BMP6;C3AR1;SLC18A2;CYBA;GPSM3;CMKLR1;BST1;IFI16;APOA1;NR1H4;CDH5;LXN;CD4;IL18R1;LOXL3;NOX4;AHR;NPY5R;JUN;FABP1;CCR4;EPHA2;SOCS3;NOTCH2;WFDC1;B4GALT1;P2RX1;MMP3;AXL;NPFF;SMAD3;TNFAIP8L2;IRF3;LYN;BCL6;IL10RB;IL4R;CD36;CD68;MDK;CASP7;ASS1;ITGB1;TNFRSF1A;TNFSF4;GRN;F2;TNFAIP3;ZEB2;CXCL5;PLSCR1;VAMP8;ACE2;CRH;NOD2;CASP8;VAMP3;HYAL2;CCDC39;SIGLEC10;NLRP14;CASP6;UACA;BDKRB2;THEMIS2;EXT1;LIPA;UNC13D;FURIN;MGST2;SPN"
"GOBP_COLLAGEN_METABOLIC_PROCESS",0.000356125356125356,0.0627572016460905,0.564033316235274,1.75880881663304,1,97,"RGCC;COL1A2;INHBA;SERPINB7;FAP;COL1A1;DDR2;MMP14;EMILIN1;MFAP4;COL5A1;ID1;P2RX7;PCOLCE;BMP4;TNS2;TGFB1;MMP2;PLOD2;PRTN3;SERPINH1;P3H2;MRC2;ADAMTS3;IL6R;TRAM2;ADAMTS14;MMP3;WNT4;PLOD1;P3H1;P3H3;MMP19;ITGB1;F2;ADAMTS2;TNXB;VIM;P3H4;CTSS;FURIN;CTSK;MMP16;MMP15;CTSL;PLOD3"
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY",0.000449842555105713,0.0673909040692322,0.368721441362001,1.37034371785993,2,629,"IGF1;FOXC1;PTGIR;EPGN;PLAT;GHRL;ERBB3;GATA3;WNT1;BLK;CASS4;COL1A1;TIE1;AREG;RHOD;BMP5;SULF1;DDR2;MMP14;EMILIN1;PDGFRA;CD8B;IGF2;CD3E;FOXC2;FGF5;DCN;LCP2;PDGFRB;ESM1;FLT1;GPER1;HGF;CCBE1;ITGB3;SVEP1;LOX;ITGA1;FLRT2;CSPG4;GPRC5A;IGFBP5;IL1R1;GREM1;TBX2;CCN2;RUNX2;AGTR2;PLAUR;TNS2;IL31RA;ADGRA2;TMEM204;MUSK;COL4A1;BLVRB;ALKAL2;THBS1;NR2F2;TGFB1;RARRES2;NGF;ITGA5;NTF4;PDGFB;MMP2;IGFBP3;GHR;SMOC2;NFATC4;ADAMTS12;SYK;EPHA6;AFAP1L2;RPE65;JCAD;RHBDF1;PTPRT;BMP2;IGFBP4;WNT5A;INSRR;CSF1;SOCS1;AGT;ALKAL1;VEGFD;APOE;PDGFC;VEGFC;NRP2;ROR2;COL4A2;HSPB1;CSRNP1;LTK;STAP1;ROR1;BLNK;ADAMTS3;PDK4;ANGPT1;APOD;FOXO1;FLRT1;IGFBP6;EPHA7;STAT6;NR1H4;PTPRR;ERBB4;CD4;SPRY1;NEDD9;IGFBP2;EFEMP1;PDGFD;GFRA1;EPHA2;PLAU;TGFA;SOCS3;CRIM1;EPHB4;AXL;SESN3;EGFR;LYN;NTF3;FGFR2;SH2D6;HHIP;WNT4;BCAR3;IRS1;ARID5B;IL12A"
