"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_ACROSOMAL_MEMBRANE",0.809118023008095,1,-0.311446216962654,-0.788264864889717,3797,25,"IZUMO1;TMEM190;SPACA4"
"GOCC_ACROSOMAL_VESICLE",0.66955706585423,1,-0.277956016009033,-0.916144014969152,2856,120,"EPPIN;ACR;LY6K;IZUMO1;TCP11X2;DPEP3;TMEM210;SCNN1A;TMEM190;FAM209B;IL4I1;TUBA8;SPACA4;ARC;LYZL4;CT55"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.441195581546459,1,-0.382872051157753,-1.00349529677933,2036,30,"GRIA1;GRIA3;NRN1;OLFM3;CNIH2;VWC2L;SHISA7;DLG3;CACNG8;CACNG2;CACNG7;DLG4;CACNG4;GRID1;SHISA6"
"GOCC_APICAL_DENDRITE",0.651033894691963,1,-0.365986076762058,-0.871225061771035,3053,19,"HCN1;MAP2;MAP1B;NEURL1;MYO1D;OSBP2;CPEB3"
"GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",0.120263901979265,1,0.572659774404426,1.3265018783445,637,18,"NLGN4Y;PLXNA4;ITGB1;GRN;C1QL1"
"GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",0.526218383713757,1,-0.482003124559439,-0.959770148302747,2558,9,"ABCG8;ABCB7;ABCB6"
"GOCC_ATPASE_COMPLEX",0.982683982683983,1,0.229165907451069,0.755755878630251,5674,150,"EP400P1;MYOD1;ATP6V0D2"
"GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",0.882957337502792,1,-0.263423130101894,-0.78981196535194,3952,62,"CHP2;ATP4A;FXYD4;ATP12A;ABCG8;ABCC8"
"GOCC_AXON",1,1,0.191327234153342,0.712405556804372,6624,642,"MYOT;MYPN;ACTBL2;ERMN;NPY;CPLX4;SLC6A2;TNN;GHRL;POTEF;ITGA4;TRPV4;CRYAB;PRSS12;MAG;LRRK2;CNTN6;GPER1;ALDH1A1;TPBG;TULP1;PENK;CLDN5;IL31RA;MME;CHRM1;POTEI;RIN3;SLC38A8;TGFB1;CCK;SCN10A;TANC1;INSRR;NTSR1;SCN1A;PLXND1;LDLRAP1;NRP2;ROR2;HSPB1;NFIB;CALCR;ROR1;EPS8;CIB1;TGFB2;SLC18A2;MGARP;SLC6A3;MYH14;PCDHGB1;PREX1;GFRA1;CPLX3;NPFF;NEXN;CLDN11;FLNA;EVX1;SEMA3A;CNTN5;AQP1;GRIK2"
"GOCC_AXON_CYTOPLASM",0.373214285714286,1,-0.342375269878858,-1.0326665459633,1671,64,"KIF21A;NEFL;RAB27B;AGBL4;SYBU;AGTPBP1;KIF5C;KIF5A;HAP1;TMEM108;MAPT;DLG2;MAP1A;TRIM46;NETO1;AP3B2;KIF1A;UCHL1;ARMCX1;SPAST;RAB21;KIF1B;FBXW11;KIF4A;KIF3A;OPA1;KIF3B;ARL8A;HDAC6;DYNC1H1;MAPK8IP3"
