"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_CYTOKINE_ACTIVITY",0.000170677590032429,0.0382101558572147,0.506731906446108,1.670720243409,0,149,"CXCL6;CMTM5;IL33;CXCL8;GDF10;CXCL1;WNT11;LTB;CCL20;INHBA;WNT3A;CXCL2;WNT1;AREG;CCL26;EBI3;BMP5;GDF7;FAM3B;IFNA21;IL1A;WNT2;MSMP;CXCL13;TNFSF11;CCL2;GDF5;WNT6;CXCL3;WNT8B;GREM1;SPP1;IL19;BMP4;TNFSF18;CXCL12;WNT2B;ALKAL2;EDN1;IL17C;GDF6;TGFB1;CXCL14;TNFSF13;TNFSF15;FLT3LG;BMP2;WNT5A;IL16;CSF1;INHA;ALKAL1;EPO;TNFRSF11B;TNFSF13B;CTF1;BMP1;IL23A"
"GOMF_CYTOKINE_RECEPTOR_BINDING",0.000335176805765041,0.0382101558572147,0.493063721247836,1.65912401235651,1,179,"CXCL6;OSMR;IL33;CXCL8;CXCL1;CX3CR1;LTB;CCL20;CXCL2;TGFBR2;GATA3;CCL26;EBI3;BAMBI;IFNA21;IL1A;ENG;MSMP;RHEX;CXCL13;SMAD6;TNFSF11;CCL2;ITGB3;CXCL3;GREM1;TNFSF18;CXCL12;CCRL2;TGFB1;CXCL14;TNFSF13;NGF;ITGA5;NTF4;SYK;TNFSF15;CSF1;SOCS1;TMBIM1;VEGFD;EPO;VEGFC;TNFSF13B;CTF1;IL23A;TGFBR3;SMAD7;STAP1;IL6R;TRIP6;CISH;TGFB2;CDH5;RASL11B;TGFBR3L;SOCS3;CXCL16;CKLF;SMAD3;IL11;NTF3"
"GOMF_SULFUR_COMPOUND_BINDING",0.000820748522652659,0.0623768877216021,0.434361497326257,1.50631776605482,4,242,"CXCL6;CD34;SELL;CXCL8;POSTN;CFH;F11;CCN4;COL23A1;SOST;GSTM1;FN1;LPL;COL5A1;PLA2G2D;ECM2;SOD3;CXCL13;ADAMTS1;ADAMTS15;CCDC80;LTBP2;ADAMTSL5;FBN1;RSPO2;PCOLCE;CCN2;BMP4;PTPRC;LGR6;LIPH;THBS1;RSPO3;SMOC2;COL5A3;FSTL1;CCN3;RSPO1;EFEMP2;PTN;ADAMTS5;EVA1C;APOE;COL25A1;TNFRSF11B;NRP2;TGFBR3;SERPINA5;ADAMTS3;COL13A1;BMP7;SLIT3;COMP;LXN;SERPINC1;ADAMTS8;CCN1;FABP1;PCSK6;SULT1A3;CRISPLD2;P2RX1;SULT1A1;FGFR2;PCOLCE2;COLQ;MDK;GPNMB;MPIG6B;F2;TNXB;VTN"
"GOMF_GLUTATHIONE_HYDROLASE_ACTIVITY",0.00117233294255569,0.0668229777256741,0.96052909486845,1.57094254853166,5,4,"GGT5;GGTLC3;GGT1"
"GOMF_CYTOKINE_BINDING",0.00466804979253112,0.212863070539419,0.459712509303963,1.47469759778479,26,119,"OSMR;CX3CR1;CXCR5;BGN;TGFBR2;SOST;IL22RA1;ITGA4;ENG;ACKR2;IL2RB;GDF5;ITGB3;TMC8;VASN;IL1R1;GREM1;IL31RA;CCRL2;ZFP36;THBS1;ACVRL1;GHR;LRRC32;TNFRSF11A;ACKR1;GBP1;NRP2;TGFBR3;IL6R;LTBP3;GPR182;ITGAV;IL9R;CHRDL2;COMP;CD4;IL18R1;TGFBR3L;CCR4;CD36;IL12A;ITGB1;TNFRSF1A;IL11RA;CER1;HYAL2;TSKU;NBL1;PRLR;IL13RA1"
"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING",0.016693591814755,0.543734133394876,0.497119357139424,1.46712394525093,92,66,"S100B;S100A5;S100A11;S100A1;MBL2;ANXA1;TNNC1;ANXA2P2;SLC24A4;CLEC4M;S100A16;S100A3;ANXA3;CASQ2;ANXA6;ANXA11;ANXA4;VLDLR;ANXA2"
"GOMF_CALCIUM_ION_BINDING",0.0161655839250642,0.543734133394876,0.328306707799,1.22294664045117,106,641,"MGP;PCDH11Y;SELL;CAPSL;ANXA8;PCDHB1;S100B;MATN4;DGKG;S100A5;S100A11;S100A1;NID2;GJB2;OTOL1;TNFAIP6;NOX5;FBLN2;HMCN1;SULF1;CDH19;ASPN;LPL;PLA2G2D;CD248;MYL3;PAMR1;PLA2G4A;ANXA1;STAB2;AMY1C;MYL11;DMP1;CCBE1;PVALEF;SVEP1;LTBP2;MYL9;DSPP;RASGRP3;SPARCL1;TNNC1;FBN1;PLA2G2C;FBLN5;ANXA2P2;EHD2;CAPN9;SPP1;PROZ;AIF1;LOXL2;CAPN3;PCDHGB4;DHH;NID1;CDH11;THBS1;EGFL8;MYOF;SPARC;NPNT;PCDHA5;PKD2L2;PCDH18;TGM2;ITGA5;SMOC2;CAPN11;MYL7;CLXN;HABP2;FSTL1;SNED1;DSC3;ENPP3;S100A16;MCTP2;EFEMP2;ACTN3;FBN2;NOTCH2NLA;S100A3;CDH9;THBD;PLS3;ITPR3;CAPN8;LRP4;BMP1;MATN2;PKD1L2;TLL1;PRRG4;CDH6;PCDHGA8;TTYH2;GSN;CAPN14;HSPG2;C1S;CDH15;MYL12A;ANXA3;NOTCH2NLB;CIB1;LTBP3;PKDREJ;CASQ2;MYL4;ANXA6;PCDHGB2;ANXA11;EGFL6;SLIT3;COMP;CDH5;ADGRL4;OTOF;PCDH7;PCDHGB1;CALU;EFEMP1;ANXA4;FKBP10;ITLN1;LRP1B;FBLN1;ENPP2;NOTCH2;SCIN;VLDLR;ANXA2;FKBP14;PCDHB8;PLCD4;TPM4;MATN3;PRRG3;EGFL7;JAG1;NKD2;ITGB1;LPCAT2;ACTN1;F2;PCDHGA11;CPS1;ITPR2;PCDHGA10;PCP4;HEG1;SGCA;PLSCR1;EGFLAM;NOTCH3;ANXA5;ATP2A1;ITPR1;EFCAB12;VCAN;PCDH15;PPP2R3B;DNAH7;CAPS;TTN;PRRG2;CLSTN2;EHD4;TPT1;NAALADL1;FAT1;CABP4;CETN3;NUCB1;PROS1;CALN1;CD93;CDH12;FBLN7;EDEM2;DGKA;NKD1;BGLAP;EFHB;HSP90B1;CRACR2B;PLSCR3;SRR;PCDHB9;PCDHA4;GLCE;PCDHGA2;HRC;THBS4;MELK;CALR;TBC1D8B;FAT2"
"GOMF_SPHINGOLIPID_BINDING",0.0192735359525575,0.549295774647887,0.623374885142992,1.5529440137211,103,26,"SELL;MAG;PLA2G4A;LAMB1;LAMA1;CERKL;LYN;PLTP"
"GOMF_CILIARY_NEUROTROPHIC_FACTOR_RECEPTOR_BINDING",0.0583687669114805,0.806603773584906,0.798984982978462,1.4255971155019,301,6,"OSMR;CNTF"
"GOMF_CYTOKINE_RECEPTOR_ACTIVITY",0.0684424060680896,0.806603773584906,0.424858309300436,1.29469163375287,387,80,"OSMR;CX3CR1;CXCR5;GPR17;IL7R;IL22RA1;EBI3;ACKR2;IL2RB;IL1R1;IL31RA;GPR25;IL1RAP;CCRL2;IL17RC;GHR;IL17RA;IL6R;IL9R;CMKLR1;IL21R;CD4;IL18R1;CCR4;GFRA1;IL10RB;IL4R"
