"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_COLLAGEN_TRIMER",0.000171144959780934,0.0218322874144479,0.641412321933942,2.00823027301798,0,80,"COL6A5;COL21A1;COL1A2;OTOL1;COL3A1;COL6A3;C1QTNF9;COL1A1;ADIPOQ;EMILIN1;COLEC12;COL8A1;COL5A3;COL5A1;LUM;COL5A2;C1QTNF7;C1QL1;COL4A1;LOX;EMILIN2;COL4A3;COL13A1;COL12A1;COL16A1;C1QL2;COL6A2;COL27A1;COL9A3;COL10A1;C1QTNF8;COL20A1;COL23A1;COL25A1;COL4A2;COL11A1;COL18A1;COL9A1;COL8A2;C1QL4;MSR1;COL26A1;COLEC11;COL4A6"
"GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",0.000177462289263532,0.0218322874144479,0.759799077898447,2.04938375728256,0,33,"COL6A5;COL1A2;COL3A1;COL6A3;COL1A1;COL8A1;COL5A3;COL5A1;LUM;COL5A2;COL4A1;COL4A3;COL12A1;COL16A1;COL6A2;COL27A1;COL9A3;COL10A1;COL4A2;COL11A1;COL9A1;COL8A2"
"GOCC_CONTRACTILE_MUSCLE_FIBER",0.00015605493133583,0.0218322874144479,0.50123274152561,1.79136521120706,0,242,"MYPN;MYBPC3;KLHL40;MYH4;HRC;MYL11;ACTC1;MYH13;ABCC9;SMPX;LMOD2;AKAP4;UNC45B;PECAM1;MYL7;MYBPH;TNNT2;RYR1;S100A1;MYL9;TPM2;ANKRD1;ATP2A1;CASQ2;TRIM54;MYL4;MYH2;JPH2;MYOZ2;TNNC1;MYL1;PVALEF;ACTN3;ACTA2;MYH8;SLC4A1;MYL3;TNNI1;KRT8;FLNC;ANKRD2;MYH6;TMOD4;HSPB1;LMOD1;MYBPC1;CALD1;CAV3;MYH1;SYNPO2L;TNNC2;PDLIM3;TPM1;NEXN;AHNAK;PDLIM7;CSRP1;CACNA1S;KRT19;TNNI3;CSRP3;NPNT;CSRP2;MMP2;MYLK2"
"GOCC_CYTOSOLIC_RIBOSOME",0.0001657824933687,0.0218322874144479,0.530366745346623,1.75283731198034,0,117,"RPS4Y1;TIFAB;RPS29;RPS21;RPS27;RPL41;RPL37A;RPS25;RPL37;RPL39;RPL36;RPL35A;RPS19;RPSA2;RPLP2;RPL31;RPS27L;RPLP1;RPL27;RPS14;RPL36AL;RPS11;RPL9;RPS12;RPL30;RPS26;RPS23;RPL34;RPL24;RPL35;RPS13;RPL27A;RPS27A;UBA52;RPL22;RPS18;RPS10;RPS17;RPS3;RPS9;RPS7;RPL21;RPL10;RPS24;FAU;RPL26L1;RPL38;RPL8;RPS28;RPS16;RPS20;RPL36A;RPL19;RPL28;RPL7A;RPS15A;RPL15;RPL23A;RPL10A;RPL14;RPS6;RPLP0P6;RPL18;RPL23;RPS5;RPL3;RPS8;RPS15;RPL18A;RPS2;RPS3A;RPL39L;RPL26"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN",0.000151080223598731,0.0218322874144479,0.429440970407353,1.57142337387107,0,312,"SRL;APOA4;HRC;IGFBP7;EBI3;COL21A1;WNT6;GHRL;COL1A2;MZB1;COL3A1;COL6A3;DMP1;COL1A1;FN1;ERP27;EDN1;F5;ARSJ;CASQ2;COL8A1;COL5A3;COL5A1;ARSI;PLAUR;LGALS1;BMP4;COL5A2;WNT3A;TNC;COL4A1;IGFBP3;STC2;APOA1;COL4A3;COL13A1;COL12A1;CCN1;AHSG;COL16A1;LAMB1;SPP1;COL6A2;PDGFB;COL27A1;PTGS2;COL9A3;PDIA5;IGFBP5;SERPINA1;COL10A1;CTSZ;IGFBP4;SDC2;COL20A1;SERPINH1;P3H2;COL23A1;COL25A1;B2M;ADAMTSL1;PNPLA2;PDGFC;GPC3;PROZ;COL4A2;GPX7;FGF23;COL11A1;COL18A1;FBN1;FMO1;CSF1;NOTUM;ERAP2;CTSC;COL9A1;COL8A2;PRSS23;MATN3;ADAMTSL4;ENAM;EVA1A;WNT1;VWA1;MFGE8;P4HA1;VTN;GPX8;AFP;CYP2W1;COL26A1;THBS1;SELENOM;COL4A6;APOA2;F2;POGLUT3;SERPINC1;ADAMTS7;SUMF1;WNT7B;CALU;FSTL1;MELTF;VKORC1;COL4A5;LAMB2;FUCA2;COL14A1;FKBP10;SERPING1;P3H1;COL9A2;APOE"
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",0.000146563095412575,0.0218322874144479,0.465769417099984,1.75293735257509,0,463,"MMP7;CHI3L1;LMAN1L;COL6A5;IGFBP7;AGT;COL21A1;WNT6;PKHD1L1;HAPLN1;COL1A2;CCIN;COL3A1;COL6A3;CCN4;DMP1;WNT11;COL1A1;MMP14;TPSB2;WNT2;OMD;PRG4;MMP13;FN1;ANXA1;ADIPOQ;GREM1;HPSE2;CD248;MFAP4;FBLN2;TGFB1;EMILIN1;ANGPTL6;SPAG6;COLEC12;ADAMTSL5;CBLN4;SERPINE1;COL8A1;BGN;SULF1;COL5A3;LOXL2;CCN2;SRPX2;COL5A1;MMP19;ESM1;LGALS1;MMP23B;GDF10;CSPG4;ACTA2;LUM;TGFB1I1;OLFML2B;COL5A2;POSTN;TNC;COL4A1;PLAT;CPZ;TGFBI;ANGPTL7;LOX;EMILIN2;BMPER;TFPI2;COL4A3;COL13A1;COL12A1;PCOLCE;ADAMTS14;HMCN1;CCN1;AHSG;TIMP3;IHH;NTN5;MGP;COL16A1;LAMB1;MUC6;OTOG;LOXL1;TGM4;LAMA4;ADAMTS1;RARRES2;THBS3;SPARC;TGM2;HAPLN3;COL6A2;PDGFB;WNT2B;DCN;SPON2;TNN;PRTN3;FLRT2;LTBP2;ADAMTS15;COL27A1;COL9A3;EFEMP2;SERPINA1;COL10A1;PLOD2;LOXL4;ICAM1;ADAMTS12;ANXA11;CTSZ;ADAMTS4;MFAP2;SDC2;PODN;COL20A1;SSC5D;ADAM11;SERPINH1;MDK;P3H2;OGN;COL23A1;CCDC80;COL25A1;CTSH;FBN2;OLFML2A;HPX;FLG;SERPINF1;LAMC3;MUC5B;COL4A2;MFAP5;ANXA4;NPNT;COL11A1;ADAMTS19;COL18A1;FBN1;MMP2;ECM2;MEGF11;NID2;CTSC;COL9A1;FBLN5;S100A6;COL8A2;ITIH5;SFRP2;MATN3;SMOC2;NID1;ADAMTSL4;ENAM;VWA1;MFGE8;CXCL12;GPC6;ADAMTS6;VTN;S100A4;COL26A1;THBS1;ANG;ELN;COL4A6;HSPG2;MMP21;BMP7;COMP;LAMA5;TSPAN9;F2;EMILIN3;ADAMTS9;SERPINC1;ADAMTS7;PCSK6;MMP10;TGFB2;LGALS9;FBLN7;FGF1;CD151;EFEMP1;ITGB4;EYS;COL4A5;LAMB2;CTSL;SPN;ANGPT1;ANGPTL4;COL14A1;MUC17;EGFL7;SERPING1;P3H1;PTX3;COL9A2;APOE"
"GOCC_RIBOSOMAL_SUBUNIT",0.000161134386077989,0.0218322874144479,0.545801767658697,1.89454302998507,0,179,"RPS4Y1;TIFAB;RPS29;RPS21;RPS27;RPL41;RPL37A;MRPL33;RPS25;RPL37;RPL39;RPL36;RPL35A;CHCHD1;RPS19;RPSA2;RPLP2;RPL31;RPS27L;RPLP1;RPL27;MRPL51;RPS14;RPL36AL;RPS11;RPL9;RPS12;RPL30;MRPL14;RPS26;RPS23;MRPL52;RPL34;RPL24;RPL35;RPS13;RPL27A;MRPS28;RPS27A;UBA52;MRPL53;RPL22;AURKAIP1;RPS18;RPS10;RPS17;RPS3;RPS9;RPS7;RPL21;MRPL16;RPL10;RPS24;MRPS18C;FAU;MRPL24;RPL26L1;MRPL22;MRPL54;MRPL40;RPL38;RPL8;RPS28;RPS16;MRPL41;MRPS12;RPS20;MRPL36;MRPL55;MRPL17;RPL36A;GADD45GIP1;RPL19;RPL28;RPL7A;RPS15A;MRPS34;RPL15;MRPL18;RPL23A;MRPS24;RPL10A;RPL14;MRPS11;RPS6;MRPL11;MRPL10;RPLP0P6;MRPS26;RPL18;MRPL21;MRPL46;RPL23;MRPS18A;RPS5;MRPL58;MRPL28;MRPL39;RBM3;RPL3;RPS8;RPS15;RPL18A;RPS2;RPS3A;MRPL2;RPL39L;MRPS15;RPL26;MRPL48;RPLP0;MRPS31;MRPL49;MRPS21;MRPS7;MRPL43;RPL17;MRPL27;RPL6"
"GOCC_SMALL_RIBOSOMAL_SUBUNIT",0.000171703296703297,0.0218322874144479,0.598759003639098,1.8459524493133,0,72,"RPS4Y1;RPS29;RPS21;RPS27;RPS25;CHCHD1;RPS19;RPSA2;RPS27L;RPS14;RPS11;RPS12;RPS26;RPS23;RPS13;MRPS28;RPS27A;AURKAIP1;RPS18;RPS10;RPS17;RPS3;RPS9;RPS7;RPS24;MRPS18C;FAU;RPS28;RPS16;MRPS12;RPS20;RPS15A;MRPS34;MRPS24;MRPS11;RPS6;MRPS26;MRPS18A;RPS5;RPS8;RPS15;RPS2;RPS3A;MRPS15;MRPS31;MRPS21;MRPS7"
"GOCC_SOLID_PHASE_OF_INTERSTITIAL_MATRIX",0.000182781941144215,0.0218322874144479,0.771560774471471,1.9099517007804,0,22,"COL1A2;COL3A1;COL1A1;COL8A1;COL5A3;COL5A1;LUM;COL5A2;COL12A1;COL16A1;COL27A1;COL9A3;COL10A1;COL11A1;COL9A1;COL8A2;COL26A1;COL14A1;COL9A2"
"GOCC_DENDRITIC_TREE",0.000343878954607978,0.028769469571268,-0.376242571769593,-1.51647025688349,0,611,"RCVRN;HTR5A;HTR4;GABRA1;GRM7;LYNX1;ADCY10;KCNE3;FRMPD4;VSTM5;CRHR2;HCN1;HTR2A;RAB17;SLC32A1;GRIA1;GRIN1;DRD1;NCF1;CPNE6;ASIC2;ADCY8;OPRD1;SLC5A7;GPR179;MT3;ATP2B2;NOS1;IL1RAPL1;ADORA2A;GRIN2B;HTR2C;RPH3A;CAMK2A;FGF13;CHRM2;GABRG1;CNNM1;KIF21A;KCNA4;GABRG2;GABRA2;GABRG3;GABRA5;HAP1;ADCY2;APOD;GNG13;PDYN;CHRM3;HTR1E;CTNND2;DRP2;COBL;EPHB1;KCNIP1;CALB1;PTCH1;NTRK2;SHISA8;FCGR2B;TMEM151A;PTCHD1;ARC;ARHGEF15;ITPKA;GABRA3;COMT;TACR3;OPHN1;GRM3;GRM5;PPFIA2;APBA1;HTR1B;MAGEE1;SLITRK2;SYN1;KCNC2;DGKI;DNER;HTR1D;SLC17A8;RGS7BP;NLGN4X;PTPRO;SHISA7;RGS8;KCNN2;GNRH1;SHANK2;HTR2B;EPHA3;ICAM5;KIF17;THY1;DNM3;TMEM108;SHANK3;KCNC4;P2RY1;DSCAM;MAP2;OSBP2;PAK1;EPHA10;SLC4A8;GNAO1;KCNA1;NSG2;CACNG8;NEGR1;KIF5A;ANKS1B;CHRNA4;KCNA2;NEURL1;GLRA1;SLC4A10;SLC8A3;NLGN3;GRIN2A;MYO1D;HTR6;CHRM1;HCN2;GLRA3;NYX;GPM6A;JPH4;RELN;PNOC;KCNB1;TMEM266;SRCIN1;SARM1;ADORA1;SLC1A1;BRINP2;GRM6;MAP1B;PPP1R9A;DDN;SLC1A4;FBXO2;TRPC5;BRINP3;NSG1;LRFN3;MAP1A;PSD;PDE4B;KCNK2;PRKCG;FZD5;CRHBP;KIF1A;GABRB2;MAPT;PRICKLE2;CALB2;NLGN1;PPP3CA;CLSTN3;KNDC1;DTNB;SYAP1;SLC8A1;RTN1;TENM2;STAU2;NSF;RGS14;GPHN;SHANK1;FEZ1;ABHD17C;SLC6A6;KIFAP3;CPLX1;AKAP5;LRRC4;BRINP1;PRNP;MAGI2;GLRB;CLU;ACTN2;PRR7;HCN4;PRKAA2;LMTK3;SEMA4F;KIF3B;LHFPL4;CNTNAP2;CPEB3;CPLX2;GRM1;HOMER2;ADCY9;GABRB1;ANK3;CYP46A1;GRIA4;GNG3;SEZ6;MAST1;ATCAY;KCNK1;GOPC;UNC5C;GSK3B;ATP7A;RUFY3;SEPTIN4;NECTIN1;IL6ST;ERO1A;GRIA2;SLC8A2;DPYSL5;AZIN2;GAP43;PRKAR2B;FAT3;GABRB3;ABR;GRID1;CDK5R1;AMFR;KCND3;MLPH;PALMD;PTEN;SRGAP2B;GNAZ;TANC2;INSR;RAB3IP;ALCAM;EFNB2;CACNA1C;PSD2;SPG11;EPM2A;EPHA4;STRN;OPA1;GNB5;RTN4R;INPP5A;KCNIP2;HTR7;ATP6AP2;INPP5F;KIF1B;KCNH1;L1CAM;STRN3;SCGN;CNIH2;SRGAP2C;XRN1;MAP6;CAPRIN1;GRIK2"
