"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_CYTOKINE_ACTIVITY",0.000326797385620915,0.0679375453885258,0.499807653832121,1.71095152788842,1,158,"CXCL1;CXCL6;CCL27;CXCL2;IL24;CMTM5;LTB;WNT10A;IL33;EBI3;CCL20;IL18;CD40LG;IL21;TNFSF15;WNT6;CCL4L2;FLT3LG;INHBA;CXCL3;WNT11;CER1;TNFSF11;WNT2;IFNA21;IFNW1;TNFSF18;ADIPOQ;GREM1;EDN1;TGFB1;CSF3;IL11;GDF10;IL17C;CCL2;ALKAL2;CXCL5;BMP4;BMP5;WNT3A;TNF;TNFSF13;IL1A;BMP1;TNFSF8;EPO;CXCL13;TNFSF4;OSM;LTA;SPP1;WNT2B;GDF6;IL32;INHBC;WNT8B;GDF7;ALKAL1;CKLF;WNT16;CSF1"
"GOMF_CYTOKINE_RECEPTOR_BINDING",0.000323624595469256,0.0679375453885258,0.505989666873216,1.76612205439145,1,190,"CXCL1;CXCL6;CCL27;CXCL2;OSMR;LTB;IL33;EBI3;CCL20;IL18;CD40LG;IL21;TNFSF15;CCL4L2;CX3CR1;RHEX;SYK;CXCL3;NGF;IL12RB1;TNFSF11;PRL;IFNA21;IFNW1;TNFSF18;GREM1;TGFB1;CSF3;NTRK1;GATA3;IL11;ENG;CCL2;CXCL5;ITGA5;STAP1;TNF;TNFSF13;SOCS1;IL1A;CDH5;SMAD6;TNFSF8;EPO;CXCL13;TNFSF4;OSM;LTA;TLR5;ITGB3;IL6R;CISH;NTF3;TRIP6;INHBC;SMAD7;CASP3;SIVA1;LRG1;BAMBI;CKLF;CSF1;RASL11B;VEGFD;TGFBR3L;SOCS3;CXCL12;NTF4;TGFBR2"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",0.000323781771086288,0.0679375453885258,0.516465107930291,1.78379652420482,1,170,"CHI3L1;COL6A5;IGFBP7;COL21A1;HAPLN1;COL1A2;COL3A1;COL6A3;COL1A1;PRG4;FN1;ADIPOQ;MFAP4;FBLN2;EMILIN1;COL8A1;BGN;COL5A3;SRPX2;COL5A1;ESM1;LUM;COL5A2;POSTN;TNC;COL4A1;TGFBI;EMILIN2;BMPER;TFPI2;COL4A3;COL13A1;COL12A1;PCOLCE;HMCN1;CCN1;NTN5;MGP;COL16A1;LAMB1;MUC6;OTOG;LAMA4;THBS3;SPARC;COL6A2;DCN;LTBP2;COL27A1;COL9A3;EFEMP2;COL10A1;MFAP2;PODN;OGN;COL23A1;COL25A1;FBN2;LAMC3;MUC5B;COL4A2;MFAP5;NPNT;COL11A1;COL18A1;FBN1;MEGF11;NID2;COL9A1;FBLN5;COL8A2;MATN3;NID1;ENAM;VWA1;MFGE8;VTN;THBS1;ELN;COL4A6;HSPG2;COMP;LAMA5"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH",0.000177872643187478,0.0679375453885258,0.720926225071201,2.03172240015071,0,42,"COL6A5;COL21A1;COL1A2;COL3A1;COL6A3;COL1A1;COL8A1;COL5A3;COL5A1;COL5A2;COL4A1;COL4A3;COL13A1;COL12A1;COL16A1;COL6A2;COL27A1;COL9A3;COL10A1;COL23A1;COL25A1;COL4A2;COL11A1;COL18A1;COL9A1;COL8A2"
"GOMF_HISTONE_H3K4ME_H3K4ME2_H3K4ME3_DEMETHYLASE_ACTIVITY",0.000193948797517455,0.0679375453885258,0.9589441479778,1.68760181888741,0,5,"KDM5D;RIOX1"
"GOMF_PROTEIN_DEMETHYLASE_ACTIVITY",0.00017940437746681,0.0679375453885258,0.661009554718092,1.79604068328351,0,34,"KDM5D;UTY;RIOX2"
"GOMF_SIGNALING_RECEPTOR_BINDING",0.000126839167935058,0.0679375453885258,0.321103201292795,1.28360333398878,0,1313,"NLGN4Y;CXCL1;DAND5;CXCL6;CCL27;REN;CXCL2;OSMR;IL24;ICAM4;BANK1;ITGB6;HBA1;CMTM5;LTB;WNT10A;RAPSN;IL33;IGFBP7;EBI3;CCL20;IL18;CD40LG;JAML;AGT;ASIP;BTNL8;APOC3;IL21;TNFSF15;WNT6;GHRL;TCIM;CCL4L2;FYB1;CX3CR1;GRAPL;FLT3LG;EPGN;CGB1;ITGB2;EDN2;LILRB2;RHEX;MAG;INHBA;COL3A1;CLEC7A;SEMA3G;ITPRID1;C1QTNF9;NPPB;SYK;CCN4;PECAM1;CXCL3;DMP1;WNT11;KISS1;CER1;NGF;IGFL3;IGF1;MMP14;IL12RB1;TNFSF11;WNT2;HCST;PRL;FN1;ANXA1;IFNA21;IFNW1;FABP4;TNFSF18;BTN1A1;ADIPOQ;GREM1;EDN1;TAFA3;HTR1A;CD72;IZUMO1R;PLA2G2C;TGFB1;EMILIN1;TLR4;CSF3;ANGPTL6;VIP;NTRK1;SST;SPX;DKKL1;SERPINE1;GATA3;ITGA1;IL17RC;PLAU;IL11;CCN2;SRPX2;COL5A1;ESM1;HGF;CAV1;ACTN3;PLAUR;TIGIT;TESPA1;LGALS1;GDF10;AVPR1A;ENG;IL17C;NPFFR2;BTC;CCL2;ALKAL2;CXCL5;ADRB1;ITGA5;ICAM2;BMP4;STAP1;TGFB1I1;IGF2;BMP5;TAC3;NECTIN4;WNT3A;TNC;C1QL1;ADM;RLN1;CLEC4D;TNF;PLAT;TNFSF13;TGFBI;GMFG;STC2;SOCS1;APOA1;IL1A;HAMP;BMP1;CDH5;COL4A3;CD274;EDN3;SMAD6;CLEC2B;TNFSF8;TTR;NOTCH2NLA;WFIKKN1;PDGFRB;EPO;CCN1;GNAT3;CD226;CXCL13;DLL3;DAB2;IHH;TNFSF4;OSM;COL16A1;LAMB1;FST;LTA;SPP1;LAMA4;RARRES2;GNA15;PTPRC;FAP;TLR5;PDGFB;WNT2B;BLNK;SEMA5B;ITGB3;IL6R;CISH;TNN;PRTN3;HFE;FLRT2;ITGA4;IL17RA;AGTR2;BTN2A2;TLR2;ITGA9;SLC6A3;BDKRB2;NPY;IGFBP5;PTGER1;IAPP;GDF6;ICAM1;RNF135;NTF3;IGFBP4;MICA;IL32;TRIP6;DKK2;ADAM11;QRFP;SVEP1;MDK;CAV2;OGN;CALCB;CLIC6;ADAM28;GFRA1;INHBC;WNT8B;SMAD7;WIF1;FBN2;CASP3;SYTL1;GDF7;SIVA1;LRG1;LHB;IGFBP2;PDGFC;ALKAL1;BAMBI;CKLF;RLN2;NPPA;GPHA2;SYTL2;RSPO2;WNT16;FGF23;NPNT;FBN1;CGB7;ECM2;CSF1;HOMER3;AMN;EFNA4;CD58;FBLN5;HHLA2;RASL11B;CCKBR;SFRP2;CORT;VEGFD;NMU;ITPRIPL1;TGFBR3L;ITGAV;NXPH3;HMGB2;NOTCH2NLB;TLN1;VAV3;TLR1;IGSF11;FNDC5;LDLRAP1;SOCS3;P2RX7;SEMA3F;NXPH4;MYH9;WNT1;MFGE8;HLA-E;GDF5;CXCL12;NTF4;TGFBR2;PDGFRA;ACTN1;NTS;VTN;LAG3;PILRA;ABCA12;ANAPC11;MIA;THNSL2;S100A4;LPL;MICB;SEMA6B;THBS1;ANG;JAG1;CNTF;HSPG2;APOA2;ABCA1;BMP7;FERMT3;COMP;LAMA5;TSPAN9;CMTM7;PIDD1;SYNDIG1;DKK1;CYTL1;EPHA7;F2;NXPH2;CTF1;TAFA5;INSL3;AGTR1;TRAF2;ADCYAP1;UCN;NRG4;CADM1;F2RL1;TGFB2;PTPRD;LGALS9;IRS4;AMH;WNT7B;ERFE;FGF1;CD151;FRMD5;LIF;FZD1"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",0.00032546786004882,0.0679375453885258,0.53835423824637,1.84884188571575,1,162,"RPS4Y1;RPS29;RPS21;RPS27;RPL41;RPL37A;MRPL33;RPS25;RPL37;RPL39;RPL36;RPL35A;RPS19;RPSA2;RPLP2;RPL31;RPS27L;RPLP1;RPL27;MRPL51;RPS14;RPL36AL;RPS11;RPL9;RPS12;RPL30;MRPL14;RPS26;RPS23;MRPL52;RPL34;RPL24;RPL35;RPS13;RPL27A;RPS27A;UBA52;RPL22;RPS18;RPS10;RPS17;RPS3;RPS9;RPS7;RPL21;MRPL16;RPL22L1;RPL10;RPS24;MRPS18C;FAU;MRPL24;RPL26L1;MRPL22;MRPL54;RPL38;RPL8;RPS28;RPS16;MRPL41;MRPS12;RPS20;MRPL36;MRPL55;MRPL17;RPL36A;GADD45GIP1;RPL19;RPL28;RPL7A;RPS15A;MRPS34;RPL15;MRPL18;RPL23A;MRPS24;RPL10A;RPL14;MRPS11;RPS6;MRPL11;MRPL10;RPLP0P6;RPL18;MRPL21;MRPL46;RPL23;MRPS18A;RPS5;MRPL28;RPL3;RPS8;RPS15;RPL18A;RPS2;RPS3A;MRPL2;RPL39L;MRPS15;RPL26;RPLP0;MRPS31;MRPL49;MRPS21;MRPS7;MRPL43;RPL17;MRPL27;RPL6"
"GOMF_STRUCTURAL_MOLECULE_ACTIVITY",0.000138312586445367,0.0679375453885258,0.364340215231463,1.41677681967822,0,732,"H2AC19;RPS4Y1;CHI3L1;MYBPC3;H4C12;COL6A5;RAPSN;MYL11;IGFBP7;ACTC1;POTEF;CRYGC;ACTG2;COL21A1;HAPLN1;ACTBL2;CLDN20;PADI6;COL1A2;NCMAP;H2AC21;SPTA1;H2AB3;COL3A1;COL6A3;MYBPH;TUBA4B;COL1A1;H2AC16;H4C4;KRT33B;PRG4;FN1;H3C3;ADIPOQ;CRYGN;MYL9;TPM2;H2AB1;MFAP4;FBLN2;EMILIN1;H2BC13;H3C13;H2AC12;COL8A1;BGN;COL5A3;MYL1;SRPX2;COL5A1;ESM1;ACTN3;ACTA2;LUM;MYH8;MYL3;TUBB8;POTEI;KRT6B;COL5A2;POSTN;KRT18;TNC;COL4A1;ACTL10;TGFBI;CLDN5;EMILIN2;BMPER;H3-5;TFPI2;COL4A3;COL13A1;COL12A1;PCOLCE;POPDC1;HMCN1;CCN1;ANKRD2;KRT31;H2BC9;NTN5;MGP;COL16A1;LAMB1;MAL;MUC6;POTEE;KRT80;OTOG;CRYBG3;LAMA4;THBS3;SPARC;MYBPC1;CLDN23;COL6A2;DCN;CLDN4;LTBP2;COL27A1;PDLIM3;MIP;COL9A3;EFEMP2;COL10A1;TPM1;RPS29;NEXN;RPS21;MFAP2;AHNAK;RPS27;PODN;OGN;H2BC12;COL23A1;H2BC6;CSRP1;RPL41;COL25A1;FBN2;KRT19;B2M;RPL37A;FLG;MRPL33;KRTAP5-8;LAMC3;MUC5B;COL4A2;MFAP5;CSRP3;RPS25;NPNT;COL11A1;COL18A1;FBN1;CSRP2;RPL37;RPL39;H1-2;RPL36;RPL35A;MEGF11;NID2;TGM3;COL9A1;FBLN5;MYL6;RPS19;COL8A2;TUBB6;H2AJ;RPSA2;KRT17;MATN3;RPLP2;TLN1;NID1;DES;RPL31;RPS27L;ENAM;RPLP1;VWA1;MFGE8;RPL27;MRPL51;RPS14;KRT10;RPL36AL;RPS11;MOBP;ACTN1;RPL9;RPS12;RPL30;VTN;MRPL14;RPS26;H2AZ1;RPS23;MRPL52;CRYBA2;RPL34;THBS1;RPL24;JAG1;ELN;COL4A6;HSPG2;RPL35;RPS13;RPL27A;H4C11;ARPC1B;COMP;LAMA5;RPS27A;UBA52;CENPA;TUBA1C;TPM4;EMILIN3;H2AC20;KRT12;RPL22;RPS18;H2AC8;DSP;VCL;RPS10;EFEMP1;SEC31B;RPS17;TTN;CLDN15;RPS3;EYS;COL4A5;LAMB2;RPS9;RPS7;RPL21;MRPL16;COL14A1;RPL22L1;MUC17;KRT23;RPL10;RPS24;MRPS18C;SORBS3;FAU;COL9A2;MRPL24;APOE;RPL26L1;H3-3B"
"GOMF_ALKALINE_PHOSPHATASE_ACTIVITY",0.000412711514651259,0.0680462612743672,-0.981910746788972,-1.7517527586314,1,5,"ALPP;ALPG"
"GOMF_GLUTATHIONE_HYDROLASE_ACTIVITY",0.000391696043869957,0.0680462612743672,0.954873667085494,1.59583595448995,1,4,"GGT5;GGTLC3"
