"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_CYTOKINE_ACTIVITY",0.000164257555847569,0.0187253613666229,0.499807653832121,1.70713836372646,0,158,"CXCL1;CXCL6;CCL27;CXCL2;IL24;CMTM5;LTB;WNT10A;IL33;EBI3;CCL20;IL18;CD40LG;IL21;TNFSF15;WNT6;CCL4L2;FLT3LG;INHBA;CXCL3;WNT11;CER1;TNFSF11;WNT2;IFNA21;IFNW1;TNFSF18;ADIPOQ;GREM1;EDN1;TGFB1;CSF3;IL11;GDF10;IL17C;CCL2;ALKAL2;CXCL5;BMP4;BMP5;WNT3A;TNF;TNFSF13;IL1A;BMP1;TNFSF8;EPO;CXCL13;TNFSF4;OSM;LTA;SPP1;WNT2B;GDF6;IL32;INHBC;WNT8B;GDF7;ALKAL1;CKLF;WNT16;CSF1"
"GOMF_CYTOKINE_RECEPTOR_BINDING",0.000160230732254446,0.0187253613666229,0.505989666873216,1.76863447322052,0,190,"CXCL1;CXCL6;CCL27;CXCL2;OSMR;LTB;IL33;EBI3;CCL20;IL18;CD40LG;IL21;TNFSF15;CCL4L2;CX3CR1;RHEX;SYK;CXCL3;NGF;IL12RB1;TNFSF11;PRL;IFNA21;IFNW1;TNFSF18;GREM1;TGFB1;CSF3;NTRK1;GATA3;IL11;ENG;CCL2;CXCL5;ITGA5;STAP1;TNF;TNFSF13;SOCS1;IL1A;CDH5;SMAD6;TNFSF8;EPO;CXCL13;TNFSF4;OSM;LTA;TLR5;ITGB3;IL6R;CISH;NTF3;TRIP6;INHBC;SMAD7;CASP3;SIVA1;LRG1;BAMBI;CKLF;CSF1;RASL11B;VEGFD;TGFBR3L;SOCS3;CXCL12;NTF4;TGFBR2"
"GOMF_GLUTATHIONE_HYDROLASE_ACTIVITY",0.00116121540545771,0.0882523708147862,0.954873667085494,1.59249966047012,5,4,"GGT5;GGTLC3"
"GOMF_NEUROPEPTIDE_RECEPTOR_ACTIVITY",0.00253164556962025,0.144303797468354,-0.575512983005144,-1.7301190201416,10,50,"NPSR1;MCHR2;NTSR2;RXFP4;NPBWR2;GALR1;GALR3;MC5R;RXFP3;SSTR3;NMUR1;SORCS1;HCRTR2;GPR83;TACR2;TACR3;NPY1R;GAL;NPY2R;GPR143;NMBR;SSTR1;PROKR2;GRPR"
"GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON",0.00697586726998492,0.318099547511312,0.830621600654826,1.62270096983349,36,8,"POTEF;ACTBL2;POTEI;POTEE"
"GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",0.0229087852038672,0.47246891651865,-0.808525022094793,-1.56529986133123,108,7,"TMEM30B;ATP8B1;ATP8A2;ATP11C"
"GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",0.0206770356816102,0.47246891651865,0.718278451889269,1.58965292102269,112,13,"CDKN2B;CDKN2A;CDKN2C;INCA1;CASP3;CDKN1A"
"GOMF_CYTOKINE_BINDING",0.0243617553812782,0.47246891651865,0.412214705464742,1.36850525359618,145,123,"OSMR;GPR182;CXCR5;IL22RA1;CSF3R;CX3CR1;CCR1;CER1;IL12RB1;GREM1;ACKR1;CXCR2;CXCR6;BGN;ACKR2;IL31RA;ENG;LRRC32;VASN;WFIKKN1;IL2RB;ZFP36;TNFRSF11A;ITGB3;IL6R;IL3RA;ITGA4;CHRD;ACKR4;TGFBR3L;ITGAV;CCR4;GDF5;ACVRL1;TGFBR2;THBS1;COMP;IL20RB;TSKU;TRAF2"
"GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY",0.024866785079929,0.47246891651865,-0.643866201169329,-1.57034501945453,111,18,"GRIA1;GRIN1;GRIN2B;GRIN2C;GRIK4;GRIN3A;GRIN2A;GRIK5;GRIK1;GRIA4;GRIA2;GRID1"
"GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL",0.0222810500772116,0.47246891651865,-0.677042540203978,-1.61051365814945,100,16,"GRIA1;GABRR1;GRIN2B;GABRA2;GABRA5;GRIK4;HTR3A;GLRA1;GRIK5;GABRB1;GRIA4"
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR",0.0174193548387097,0.47246891651865,-0.785608210155919,-1.61322121347129,80,9,"IFI30"
"GOMF_PEPTIDOGLYCAN_IMMUNE_RECEPTOR_ACTIVITY",0.0173548773189707,0.47246891651865,-0.963800843223268,-1.40932140926218,86,2,"PGLYRP2"
"GOMF_NEUROPEPTIDE_RECEPTOR_BINDING",0.0382971143569647,0.643487659881102,0.553689867581285,1.47989793524523,214,31,"ASIP;EDN2;KISS1;EDN1;VIP;SPX;TAC3;EDN3;NPY;QRFP;NPPA;CCKBR;NMU;NTS;ADCYAP1;UCN"
"GOMF_NMDA_GLUTAMATE_RECEPTOR_ACTIVITY",0.0395124001681379,0.643487659881102,-0.781398650376141,-1.5127833593934,187,7,"GRIN1;GRIN2B;GRIN2C;GRIN3A;GRIN2A"
"GOMF_INTERFERON_RECEPTOR_ACTIVITY",0.0461420639479226,0.701359372008424,0.827234113330305,1.44892015328747,240,5,"IL22RA1;IFNGR1"
"GOMF_GABA_RECEPTOR_BINDING",0.0677175843694494,0.737177000077598,-0.590150545213445,-1.43933625918126,304,18,"GABRG1;GABRA5;SHISA7;JAKMIP1;AKAP5;LHFPL4;GABRB1"
