"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION",0.0002465483234714,0.928500986193294,0.541081371773031,1.69696523149808,0,184,"WNT1;EMX2;WNT3A;HOXC13;WNT8A;WT1;HOXB3;ALDH1A2;SHH;HOXA7;CYP26C1;HOXB7;FEZF2;HHEX;DMRT2;MSX1;TDRD5;TBXT;CDX2;BHLHE41;LEF1;HES4;HES5;EN1;NR2F2;MESP2;TBX1;NOG;MESP1;BMP4;ZEB2;CER1;HOXB2;HNF1B;CDX1;PLD6;FOXB1;WLS;FOXC1;WNT2B"
"GOBP_HINDBRAIN_DEVELOPMENT",0.000242954324586978,0.928500986193294,0.533406725651965,1.64621377266434,0,156,"GATA2;WNT1;TBR1;LHX5;SKOR2;PHOX2B;HOXB3;ALDH1A2;MYO16;SHH;LMX1A;CDK5R2;CAPS2;NEUROG3;KCNE1;LEF1;KCNC1;EN1;NOG;NEUROD2;SLC6A4;BMP7;EGF;HOXB2;HNF1B;WLS;FOXC1;ASCL1"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.913759310074481,1,-0.355973111894291,-0.599402723469293,4661,6,"ALDH1L2;MTHFD2L;MTHFD1L;MTHFD1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.997880947794259,1,-0.207656745501089,-0.440883642809265,5179,18,"TAT;AADAT;ADHFE1;OGDH;IDH1;DLD;GPT2;IDH2;OGDHL;GOT2;KYAT3;KGD4;GOT1;DLST;PHYH;L2HGDH;D2HGDH;COL6A1"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.554629988376598,1,-0.491967641039136,-0.936041279089237,2862,11,"FXN;NFS1;BOLA2B"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.554721701063164,1,0.406977845980719,0.933193214586678,2660,23,"DND1;ZC3H12D;RBM24;CPEB3"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.996170049789353,1,-0.221180668427489,-0.503636432777573,5201,26,"BOLL;ELAVL4"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.495017935432443,1,-0.634091583939022,-1.02453698600795,2483,5,"FXN"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.911026310504117,1,0.367205101768053,0.574619725874097,4535,4,"PRPSAP2;PRPSAP1;PRPS2;PRPS1"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.927675421403371,1,-0.343249952262746,-0.577978924088211,4732,6,"GTF3C1;GTF3C6;GTF3C4;GTF3C2;GTF3C5;GTF3C3"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.959858323494687,1,-0.309193690080593,-0.575893688252166,4877,10,"LSM10;SNRPG;LSM11;SNRPD3;TGS1;SNRPB;SNRPD2;SNRPF;SNRPD1;SNRPE"
"GOBP_7_METHYLGUANOSINE_MRNA_CAPPING",0.947840260798696,1,0.31253103158538,0.559872621767538,4651,8,"RAMACL;CMTR1;NCBP1;RNGTT;CMTR2;RNMT;RAMAC;NCBP3"
"GOBP_ACETATE_ESTER_TRANSPORT",0.163982717989002,1,-0.711378054550351,-1.29893310658071,834,9,"SLC17A8;SLC22A1;TACR2;SLC22A4;SLC18A3"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.957264957264957,1,0.287177719909805,0.65849358201429,4591,23,"MLYCD;PDK2;PGK1;PDK3;PDHA1;SIRT4;ACSS2"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.703906535231836,1,-0.347933797428626,-0.863557011534575,3855,40,"ACOT12"
"GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",0.721285770286162,1,-0.480033399149291,-0.808300731690521,3679,6,"BCHE;FSHR;ACHE;SLC5A7"
"GOBP_ACETYLCHOLINE_SECRETION",0.868473495416501,1,-0.411000612022145,-0.66407651347898,4357,5,"TACR2;SLC18A3"
"GOBP_ACID_SECRETION",0.535699016673792,1,0.382546893296926,0.945353548979437,2505,34,"SLC22A16;CLDN2;SLC9A4;SCT;ABCB4;CACNB4;HIP1R;SLC26A7;GHRL"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.455818965517241,1,-0.363510612680102,-0.995039373939017,2537,75,"SLC17A8;KCNK2;GNAT2;BEST1;AVPR1A;NTRK2;GRM7;KCNJ8;SNCA;NPY5R;SLC7A14;SLC7A11;ABCC8"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.478004073319756,1,0.548357593765244,1.01092709362608,2346,9,"ZP4;ZP3;RIMS1;SYT6;RAB3A"
"GOBP_ACROSOME_ASSEMBLY",0.985749109319332,1,-0.262018655566719,-0.613707767531019,5256,30,"GARIN1A;SOX30;CFAP65;PFN4"
"GOBP_ACROSOME_REACTION",0.555922865013774,1,-0.383179457677875,-0.939238315998097,3026,38,"PLCD4;GLRA1;SYT8;PLB1;ACR;SERPINA10;EQTN;PRND;GLRB;ZP2"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.471916618413434,1,-0.493565284643596,-0.992314445614794,2444,14,"GAS2L2"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.146556188503366,1,-0.392895109224032,-1.15680805989857,848,137,"ADCY10;KCNJ5;MYO1H;KCNE4;CAV3;ABCC9;SCN3A;CTNNA3;MYH6;STRIT1;SCN2B;PDE4D;MYH2;CACNA1D;KCNJ8;ATP2A1;SCN9A;ADRB2;MYO1G;SCN1A;MYO7A;SCN4B;SGCD;GPD1L;CASQ2;PDE4B;PARVA;SCN8A;CCDC88C;SCN3B;CACNB2;MYO5C;WIPF1;TRPM4;KCNJ3"
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",1,1,-0.183163444872252,-0.619093062212956,6755,803,"ADCY10;KCNJ5;ESAM;MYO1H;KASH5;KCNE4;CPNE6;AQP2;CAV3;ABCC9;INSRR;FSCN3;SCN3A;PRICKLE4;MYOM1;CLRN1;CTNNA3;MYH6;DMTN;STRIT1;GAS2L2;ACTL8;SCN2B;TGFB3;LDB3;NCKAP1L;THSD7A;EHBP1L1;PDE4D;MYH2;POTEI;MRAS;ITGB3;MYLK3;POTEF;CACNA1D;KCNJ8;OAZ3;PROX1;ATP2A1;RHOH;ERMN;SYNPO2;SPTBN4;SCN9A;ADRB2;SCIN;MYO1G;DAAM2;SERPINF2;NPHS1;TACSTD2;SCN1A;MYO7A;LMOD2;USH1C;SRCIN1;ARHGAP36;SCN4B;TACR1;NCK1;PLEKHH2;OOEP;FGF7;SGCD;NPHP1;SPTBN5;TNIK;SYDE1;WHAMM;PRKCE;CARMIL3;GPD1L;CASQ2;THSD7B;PDE4B;ARHGAP40;SYNPO2L;CAPN3;ITPKA;SHROOM4;PARVA;TENM1;PDPK1;PTK2B;SCN8A;CCDC88C;ELMO1;CAPN10;RHOD;PRKN;SSH2;SMTNL1;FCHSD1;BCAS3;CDC42BPG;WASHC5;WASHC1;SCN3B;SMAD3;TLE6;CACNB2;MYO5C;WIPF1;RAPGEF3;KANK1;PDLIM3;TRPM4;EPB41L3;PEAK3;KCNJ3;AIF1;SH3D21;BCAR1;IQGAP2;FZD10;ARHGAP28;CXCL1;BCL2;SHROOM1;KCND3;PPP1R9B;SPECC1L;AMOTL1;GBA2;ARAP2;TESK1;WAS;FGF10;EPHA3;MICALL2;SH2B2;EPDR1;MYO1F;TTN;AP1AR;NAA80;TNNT2;NEB;MYL9;PAK3;DLG1;ZBED3;RND3"
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.956402199528672,1,-0.307883278588343,-0.562176160710765,4869,9,"MYO5C;MYO19;SUN2;ACTN4;FNBP1L;WASL;MYO1C;SYNE2;MYO5A"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",1,1,0.133554539915995,0.414366738781323,4060,169,"FRMD7;FSCN2;RFLNA;ESPNL;ARHGAP6;ZEB2;APOA1;RAB40B;WNT4;MTSS1;FMN2;SYNPO"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.999336429993364,1,0.215047942024077,0.580391583910668,4517,57,"LMOD3;MICAL2;SPTB;TMOD2;ASB2;SVIL;VIL1;CAPG;F2RL1;SPTBN2;FLII;SH3BP1;VILL;TRIOBP;GSN"
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",0.991507430997877,1,-0.24311418420751,-0.488781777059488,5136,14,"PARVA;LIMS2;PLS3;LIMS1;ACTN1;PLS1;CARMIL2;SPIRE1;CARMIL1;SPIRE2;LCP1;ILK;PARVB;COBL"
"GOBP_ACTIN_FILAMENT_ORGANIZATION",1,1,-0.156839823355158,-0.51208412500238,6337,453,"ESAM;MYO1H;KASH5;AQP2;CAV3;FSCN3;CLRN1;DMTN;GAS2L2;TGFB3;NCKAP1L;OAZ3;PROX1;RHOH;ERMN;SYNPO2;SPTBN4;SCIN;MYO1G;DAAM2;SERPINF2;NPHS1;TACSTD2;MYO7A;LMOD2;USH1C;ARHGAP36;TACR1;NCK1;PLEKHH2;OOEP;SPTBN5;WHAMM;PRKCE;CARMIL3;ARHGAP40;SYNPO2L;SHROOM4;PARVA;TENM1;PTK2B;ELMO1;RHOD;PRKN;SSH2;FCHSD1;WASHC5;WASHC1;SMAD3;TLE6;MYO5C;WIPF1;RAPGEF3;KANK1;PDLIM3;AIF1;SH3D21;BCAR1;IQGAP2;ARHGAP28;BCL2;SHROOM1;PPP1R9B;SPECC1L;GBA2;TESK1;WAS;MICALL2;MYO1F;TTN;AP1AR;NAA80;NEB;MYL9;PAK3;DLG1;ZBED3;RND3;ARHGAP18"
"GOBP_ACTIN_FILAMENT_POLYMERIZATION",1,1,-0.164259407862668,-0.488513610176158,5830,149,"ESAM;DMTN;NCKAP1L;SPTBN4;SCIN;DAAM2;NPHS1;LMOD2;NCK1;SPTBN5;PRKCE;ARHGAP40;TENM1;PTK2B;RHOD;SSH2;FCHSD1;WASHC5;KANK1;AIF1;ARHGAP28;GBA2;WAS;MICALL2;PAK3;DLG1;ARHGAP18"
