"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN",0.000214454214025306,0.339909929230109,0.8524678636494,1.87615731687545,0,20,"COX6A2;COX4I2;COX7A1;COX7A2"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",0.000692520775623269,0.512248723418008,0.567500723513826,1.64697767920764,2,97,"COX6A2;COX4I2;COX7A1;CHCHD2;NDUFA4L2;NDUFC2-KCTD14"
"GOBP_OXYGEN_METABOLIC_PROCESS",0.000969555943377933,0.512248723418008,-0.957408553068622,-1.54310886812007,4,5,"FMO2;NOX1;ABCC9"
"GOBP_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.0021379980563654,0.8023753894081,-0.898451828724027,-1.58683096559021,10,8,"ADCY10;NOX1"
"GOBP_PROSTATE_GLANDULAR_ACINUS_DEVELOPMENT",0.00253115264797508,0.8023753894081,-0.925767552625806,-1.53769320072246,12,6,"FOXA1"
"GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",0.00346420323325635,0.915127020785219,-0.852395878923884,-1.62114225022348,17,11,"IL12B;FCGR3A;NKG7"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.918419003115265,1,-0.355973111894291,-0.591268760983584,4716,6,"ALDH1L2;MTHFD2L;MTHFD1L;MTHFD1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.997940074906367,1,-0.207656745501089,-0.437628399036553,5328,18,"TAT;AADAT;ADHFE1;OGDH;IDH1;DLD;GPT2;IDH2;OGDHL;GOT2;KYAT3;KGD4;GOT1;DLST;PHYH;L2HGDH;D2HGDH;COL6A1"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.556389530408006,1,-0.491967641039136,-0.935656246529718,2890,11,"FXN;NFS1;BOLA2B"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.509404692650766,1,-0.634091583939022,-1.0220008409581,2626,5,"FXN"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.915832482124617,1,0.367205101768053,0.574114146800953,4482,4,"PRPSAP2;PRPSAP1;PRPS2;PRPS1"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.707183330286968,1,-0.347933797428626,-0.863273123135442,3868,40,"ACOT12"
"GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",0.743185358255452,1,-0.480033399149291,-0.797331999698968,3816,6,"BCHE;FSHR;ACHE;SLC5A7"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.473133716160788,1,0.548357593765244,1.0141412870427,2306,9,"ZP4;ZP3;RIMS1;SYT6;RAB3A"
"GOBP_ACROSOME_ASSEMBLY",0.985610166324052,1,-0.262018655566719,-0.612793671887337,5273,30,"GARIN1A;SOX30;CFAP65;PFN4"
"GOBP_ACROSOME_REACTION",0.556451612903226,1,-0.383179457677875,-0.941446570903012,3035,38,"PLCD4;GLRA1;SYT8;PLB1;ACR;SERPINA10;EQTN;PRND;GLRB;ZP2"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.475901328273245,1,-0.493565284643596,-0.991533889382769,2507,14,"GAS2L2"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",1,1,-0.228215143358084,-0.754132041318442,6376,505,"SH2D1A;CD22;SCIMP;HAVCR2;TMIGD3;BTNL9;CD8A;CLEC7A;CFB;IRGM;RSAD2;CD3E;CD86;TLR7;SKAP1;GATA3;VTCN1;LRRC19;FYB1;BIRC3;SLA2;ENPP3;TRAC;TRBC1;CLEC6A;MEF2C;NCKAP1L;OAS1;FOXP3;OASL;PDE4D;C5AR1;LAT2;TRIM15;TXK;PVRIG;STING1;KCNJ8;CASR;C2;CD79B;LGALS9;SLC46A2;IRF5;KLHL6;COLEC11;RC3H1;MYO1G;PRKCH;FOSL2;NR4A3;CR1;CLEC2D;NLRC4;CEACAM1;MASP1;NCK1;SLC15A2;FYB2;NAIP;MASP2;USP50;IRAK3;PRKCE;PDE4B;CD14;PDCD1;C4A;FOSL1;LIPA;RFTN1;XIAP;IFIH1;TLR5;SYK;SARM1"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.985954351642839,1,0.255371854013032,0.836925999063575,3930,289,"TRIM31;MEFV;ZBP1;KLRD1;CASP1;NLRP2B;LTF;CTSS;GBP2;TREX1;CD300A;TNIP3;LBP;PYDC1;NLRP6;HCK;PYDC5;GFI1;IRAK2;NLRP3;NLRP1;ALPK1;TLR2;NLRC3;CCDC92;IFI35;IFI16;BTK;CD36;IRF7;CGAS;OAS3"
"GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY",0.814035087719298,1,0.442142219176982,0.715960803911662,3943,5,"CRACR2A;STIMATE;STIM2"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.653935807781962,1,-0.329777318022476,-0.913361151143219,3646,83,"CD163;FCGR3A;FCGR1A;FCGR2C;CD6;GATA3;IL31RA;IL10RB;C2CD4A;CREB3L3;IL6;IL6R;NPFF;C2CD4B;SERPINF2;EPO;NPY5R"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.19608938547486,1,-0.551634729108682,-1.21603013675555,1052,22,"FCGR3A;FCGR1A;FCGR2C;CD6;GATA3;IL31RA"
"GOBP_ACYL_COA_METABOLIC_PROCESS",0.977340593711576,1,-0.26228368620391,-0.744843808085272,5563,99,"ACOT12;ACOT6;THEM5;ACSM1"
"GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE",0.539654838084157,1,-0.61720606078799,-0.994785499676997,2782,5,"TNFRSF14;CD70"
