"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_CYTOCHROME_COMPLEX",0.00127959053103007,0.689699296225208,0.698971297037457,1.74770269939967,5,36,"COX6A2;COX4I2;COX7A1;NDUFA4L2;COX6B2"
"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV",0.000849256900212314,0.689699296225208,0.797984663220523,1.77949296794031,3,21,"COX6A2;COX4I2;COX7A1;NDUFA4L2;COX6B2"
"GOCC_RESPIRATORY_CHAIN_COMPLEX",0.00229726625315874,0.825484340301708,0.515659068908753,1.52057389034166,9,108,"COX6A2;COX4I2;COX7A1;NDUFA4L2;NDUFC2-KCTD14;COX6B2"
"GOCC_GOLGI_LUMEN",0.0031312905390293,0.843882800268396,0.549120309449203,1.56839840472811,13,83,"WNT1;WNT3A;GPC5;CGA;HS3ST1;LUM;OMD;WNT7B;MUC2;F7;MUC1;VTN;BGLAP;PROZ;MUC19;PRELP;F2;MUC16;OGN;F8;WNT4"
"GOCC_3M_COMPLEX",0.938721498371335,1,0.333651569540976,0.541557183942707,4610,5,"ANKRA2;OBSL1;CUL7"
"GOCC_90S_PRERIBOSOME",0.982799397978929,1,0.266406757634828,0.631024581513616,4570,28,"RRP7BP;RRP7A;PWP2;KRI1;UTP6;SLX9;PES1;WDR12;TBL3;UTP18;IMP3;NOC4L;SRFBP1;RRP36;BMS1;IMP4;NOP9;NOC2L;WDR36;MPHOSPH10;UTP4;TSR1;BOP1;UTP20;NOP14;HEATR1;NOL6;WDR3"
"GOCC_9PLUS0_MOTILE_CILIUM",0.597445972495088,1,-0.575443367700155,-0.930465590014336,3040,5,"ENKUR;ODAD4"
"GOCC_9PLUS0_NON_MOTILE_CILIUM",0.00474850510024622,1,-0.491039166931068,-1.43884236682104,26,130,"IMPG1;PRLHR;GUCA1ANB-GUCA1A;PDE6C;SAG;PDC;GRK7;EYS;GUCY2F;CRB1;PKHD1;GNAT2;ATP1A4;PDE6A;CERKL;DRD1;GALR2;ABCA4;MERTK;GRK1;MYO7A;PCDH15;NPY5R;USH1C;CACNA1F;CEP250;USH2A;RGS9BP;NPHP1;SPTBN5;RP1L1;GUCY2D;RHO;MCHR1"
"GOCC_9PLUS2_MOTILE_CILIUM",0.483159514446914,1,-0.318351239582391,-0.98760411245844,2825,227,"CFAP61;RSPH14;SSX1;RSPH6A;TCP11X2;NME8;ENKUR;CIMAP1A;EFCAB6;DNAJB13;SPMIP10;TCP11X1;DNAI1;ZMYND12;CLXN;PACRG;CFAP210;IQUB;CFAP74;EFHB;FSIP2;SAXO1;CATSPER3;CFAP53;ATP1A4;PIERCE2;RSPH10B;CFAP144;CFAP77;CFAP65;PCDH11Y;ADGB;DNAH9;TACR2;C11orf42;CFAP43;DRC3;OAZ3;DYDC1;DNAH2;BBOF1;PMFBP1;SLC9B1;DNAH3;FHAD1;CATSPERG;ODAD4;LRRC46;TEKT2;TACR1;KATNIP;SPMIP6;PGAM4;CCDC146"
"GOCC_A_BAND",0.114750588739028,1,0.502896348072827,1.26996647708903,535,38,"MYL2;LMOD3;KLHL41;MYL4;MYOM3;TRIM63;CRYAB;CMYA5;KAT2B;MYBPC1"
"GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",0.517993226079594,1,0.449781175141437,0.95497936023923,2446,17,"CHRNB3;CHRNG;CHRNA1;CHRNA3"
"GOCC_ACETYLTRANSFERASE_COMPLEX",1,1,-0.19249602429084,-0.554751215562854,5667,112,"ACTL8;SUPT20HL1;POTEI;POTEF;SUPT20HL2;POLE4"
"GOCC_ACROSOMAL_MEMBRANE",0.876658568491871,1,-0.323746216083005,-0.748997244224018,4690,28,"DCST2;EQTN;CFAP65;CCDC136;SPACA6;TEX101;TMEM190;PCSK4;SERPINA5;HYAL3;IZUMO1;CAV1"
"GOCC_ACROSOMAL_VESICLE",0.85691741188848,1,-0.290489014423922,-0.846103168358163,4886,122,"SPAM1;TCP11X2;SYT8;ENKUR;TCP11X1;ACR;IQUB;DCST2;EQTN;CATSPER3;TUBA8;SPATA16;SV2B;CFAP65;TEX22;TSSK2"
"GOCC_ACTIN_BASED_CELL_PROJECTION",0.0561433447098976,1,-0.396372095039152,-1.2231489791905,328,213,"FOXA1;MYO1H;SCIMP;CLIC5;CDHR2;FSCN3;PKHD1L1;LY6G6D;SLC10A2;FABP2;PTPRH;CLRN1;CUBN;CRB1;TENM2;ATP8B1;ITGB3;PIEZO2;TMC2;ERMN;MTTP;MYO1G;PDZK1;MAP2;PDZD7;CEACAM1;MYO7A;PCDH15;USH1C;AOC3;LOXHD1;VCAM1;USH2A;SLC7A11;CD302;CALML4;RIPOR2"
"GOCC_ACTIN_CYTOSKELETON",1,1,0.214636612715124,0.729752597856044,3643,476,"MYL2;LMOD3;FILIP1L;MYL1;XIRP1;FSCN2;GBP1;C10orf90;MYO16;MYL4;TNNI2;MYH8;MYH7;CATIP;GMFG;TNNI1;HSPB7;ACTL10;HCK;TMSB15C;TNNC2;RFLNA;CRYAB;RCSD1;ARHGAP6;MYOZ1;AHNAK;SPEF1;TNNI3;MYO18B;HIP1R;MYO1A;RAC2;SIGLEC10;ACTG2;KAT2B;MYO3A;TNS3;MTSS1;ADAM8;CLDN5;FMN2;MLPH;FILIP1;SYNPO;MYL11;LSP1;SPTB;USH1G;DLC1;IFIT5;CCDC102A;DMD;SH3PXD2A;TMOD2;MYH11;FER;IPP;MYL5;WHRN;ASB2;DAAM1;SVIL;KLHL2;ACTN3;ANXA1;VIL1;XIRP2;SAMD14;TSC1;CNN1"
"GOCC_ACTIN_FILAMENT",0.555711775043937,1,-0.330061812540372,-0.95568485976057,3161,117,"MYO1H;PRICKLE4;DMTN;GAS2L2;ACTL8;LDB3;POTEI;ACKR2;POTEF;SPTBN4"
"GOCC_ACTIN_FILAMENT_BUNDLE",1,1,-0.18524278973709,-0.520994091663406,5595,93,"PRICKLE4;MYH6;GAS2L2;LDB3"
"GOCC_ACTIVIN_RECEPTOR_COMPLEX",0.952943492813546,1,-0.310404160933077,-0.532520271918881,4839,7,"TGFBR2;ACVR2A"
"GOCC_ACTOMYOSIN",1,1,-0.20411905224945,-0.571481878423516,5568,91,"PRICKLE4;MYH6;GAS2L2;LDB3;SYNPO2;SHROOM4;FBLIM1;MST1R;TEK;PDLIM3;MICALL2;SH2B2;MYL9;RAI14;DIXDC1;CALD1;CDC42BPA;DST;BLOC1S6;SEPTIN11;CTTNBP2NL;PPP1R12B"
"GOCC_ADHERENS_JUNCTION",0.997596979059389,1,-0.24365268832157,-0.745404927693666,5811,193,"ESAM;CDHR2;PRICKLE4;CTNNA3;CDH20;CDH5;CRB1;LDB3;NECTIN4;SPTBN4;CDH17;CEACAM1;ALOX15B;FAT4;NPHP1;NDRG1;DCHS2;SHROOM4;SMAD7;S100A11;CDHR3;SYNM;AHI1;FRMD4B;KIFC3;LRRC7;PDLIM3;CYTH3;CYTH1;PKP4;SHROOM1;AJM1;PPP1R9B;CDH8"
"GOCC_AGGRESOME",0.998751560549313,1,0.198861683028381,0.388693546932985,4799,12,"UBD;HSPA1A;HSPA1B;PSEN1;SQSTM1"
"GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX",0.0570244672454617,1,-0.843995331275415,-1.40372219415873,288,6,"CD3E;TRAC;TRBC1"
"GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",0.931630648330059,1,-0.33892156113954,-0.548020653387048,4741,5,"PRIM2;PRIM1;MCM3;POLA2;POLA1"
"GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX",0.967334035827186,1,0.283612883505903,0.611126946454156,4589,18,"PDK2;BCKDHA;PDHA1;DLST;BCKDK;PDK1;PDHB;DHTKD1;KGD4;OGDHL;ABHD11;PDHX;DLD;DBT;KAT2A;DLAT;OGDH;BCKDHB"
"GOCC_ALVEOLAR_LAMELLAR_BODY",0.15661182205972,1,0.751328869904644,1.30686769175208,770,7,"SFTPB;LAMP3"
"GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX",0.899052407658093,1,-0.355003819709702,-0.674243822078901,4648,11,"MARS1;LARS1;IARS1;DARS1;AIMP2;RARS1;EPRS1;EEF1E1;KARS1;QARS1;AIMP1"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.220332648103158,1,-0.507194789420258,-1.17341139660812,1178,28,"OLFM3;CACNG3;NRN1;GRID1;GRIA1;VWC2;SHISA9"
"GOCC_AMPHISOME",0.920915913026746,1,-0.335739934295974,-0.660825435374583,4785,13,"CHMP4C;CHMP3;CHMP1A;CHMP5;CHMP7;CHMP1B;SQSTM1;CHMP4B;LRRK2;CHMP2B;CHMP6;CHMP2A;CHMP4A"
"GOCC_ANAPHASE_PROMOTING_COMPLEX",0.273122753924721,1,-0.515372338839572,-1.13807049177534,1443,22,"CDC20B"
