"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV",0.000650054171180932,0.109209100758397,0.797984663220523,1.7767917536892,2,21,"COX6A2;COX4I2;COX7A1;NDUFA4L2;COX6B2"
"GOCC_RESPIRATORY_CHAIN_COMPLEX",0.00397567820392891,0.333956969130028,0.515659068908753,1.52189574689895,16,108,"COX6A2;COX4I2;COX7A1;NDUFA4L2;NDUFC2-KCTD14;COX6B2"
"GOCC_ACROSOMAL_MEMBRANE",0.874078171091445,1,-0.323746216083005,-0.750365403123983,4740,28,"DCST2;EQTN;CFAP65;CCDC136;SPACA6;TEX101;TMEM190;PCSK4;SERPINA5;HYAL3;IZUMO1;CAV1"
"GOCC_ACROSOMAL_VESICLE",0.857192494788047,1,-0.290489014423922,-0.845978176041487,4933,122,"SPAM1;TCP11X2;SYT8;ENKUR;TCP11X1;ACR;IQUB;DCST2;EQTN;CATSPER3;TUBA8;SPATA16;SV2B;CFAP65;TEX22;TSSK2"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.218842182890855,1,-0.507194789420258,-1.17555481336696,1186,28,"OLFM3;CACNG3;NRN1;GRID1;GRIA1;VWC2;SHISA9"
"GOCC_APICAL_DENDRITE",0.210789766407119,1,-0.563513878713357,-1.20831034179404,1136,19,"SLC17A8;NEURL1;MAP2;SEZ6;PTK2B;NEGR1"
"GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",0.674132138857783,1,-0.406447319385019,-0.858972322285805,3611,18,"PLXNC1;ADGRB3;SHISA6;NLGN4X"
"GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",0.131475748194014,1,0.728499669331289,1.33638130573621,636,9,"ABCG8;ABCG5;ABCA2"
"GOCC_ATPASE_COMPLEX",1,1,-0.161105527345984,-0.479869772421603,5848,149,"DPF3;ATP6V0D2"
"GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",0.945380984490897,1,0.275359038782333,0.752635698948115,4205,62,"ABCG8;FXYD2;ATP6V1B1;ABCG5;SPAAR;CHP2;TESC;SLC9A2"
