"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY",0.928817684039749,1,0.345899185714563,0.560488418143644,4579,5,"PYGM;TYMP;PYGB;MTAP;PYGL"
"GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY",0.85907295780503,1,0.385517320398732,0.690810096591222,4132,8,"PRDX6;LPCAT3;TAFAZZIN;LPCAT1;LPCAT4;MBOAT2;MBOAT1;LPCAT2"
"GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY",0.0727499480357514,1,0.784390996750498,1.40555350319944,349,8,"PLA2G10;ASPG;PLA2G7;PLA2G6"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY",0.628210042161748,1,-0.491359980240939,-0.890116999325795,3277,9,"PIK3C2G"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY",0.624080130825838,1,0.533630482242491,0.899058568989238,3052,6,"PIK3R3;PIK3R5;CCKBR;PIK3R6"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_ACTIVITY",0.907399836467702,1,0.360893641397747,0.608032208784001,4438,6,"PIK3CD;PIK3R6;PIK3CB"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY",0.378864970645793,1,-0.675200822776879,-1.11728242200982,1935,6,"PIK3C2G"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY",0.657608695652174,1,0.468161205199778,0.859852862004896,3145,9,"PIPSL;PIP5KL1;PIP5K1A"
"GOMF_1_PHOSPHATIDYLINOSITOL_BINDING",0.294893536838138,1,-0.5617501206848,-1.14087735271049,1564,15,"SNAP91;FRMPD2;SCIN;WDFY3"
"GOMF_11_CIS_RETINAL_BINDING",0.543876947347663,1,-0.613552882840179,-0.985849948172956,2757,5,"ABCA4;RHO;RLBP1"
"GOMF_14_3_3_PROTEIN_BINDING",0.98166819431714,1,-0.266062516152515,-0.628082184652868,5354,31,"SYNPO2;PRKCE;RIPOR2;SIK1;FOXK1;KIF13B;AANAT;TBC1D22A;HDAC7;NEK1;RPTOR;PI4KB"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY",0.60382567540919,1,-0.581026544842928,-0.933586990038997,3061,5,"AKR1C3;HSD17B6"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.600125418060201,1,0.493525511421132,0.906438463406647,2870,9,"SRD5A2;HSD17B3;HSD17B1"
"GOMF_2_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY",0.850125418060201,1,0.385532044916355,0.708091205623214,4066,9,"CRLS1;LPCAT3;LPCAT1;LPCAT4;LPGAT1;MBOAT2;MBOAT1;MBOAT7;LPCAT2"
"GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY",0.430724070450098,1,-0.647853194272887,-1.07202918240993,2200,6,"MOGAT3;MOGAT1"
"GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING",0.2641266335358,1,-0.490867696416148,-1.13687157562917,1434,28,"FXN;XDH;AIFM3;RFESD;FECH;GLRX2;BOLA2B;FDX1"
"GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY",1,1,-0.149385692961304,-0.39716164020675,5535,64,"P4HA3;METTL4;ALKBH8;TMLHE;UTY;KDM6B;ALKBH3;KDM8;HSPBAP1;PHF8;RIOX2;PLOD3;TET3;OGFOD1;P3H3;KDM6A;FTO;RIOX1;JMJD6;TET2;RAD23B;ASPH;P4HB;KDM2A;P4HTM;ALKBH2;KDM4A;METTL3;KDM3B;KDM5A;JMJD7;KDM1A;P3H1;KDM5C;PHF2;KDM5D;ALKBH1;PLOD1;HIF1AN;TYW5;RAD23A;EGLN2;PLOD2;ALKBH5;ALKBH7;KDM5B;JMJD4;ALKBH6;TET1;KDM4D;PHYH;ALKBH4;KDM4B;P3H2;KDM4C;EGLN3;PHYHD1;P4HA2;KDM3A;KDM2B;P4HA1;RSBN1;EGLN1;KDM7A"
