"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING",0.255822619713061,1,-0.490867696416148,-1.14368597651809,1372,28,"FXN;XDH;AIFM3;RFESD;FECH;GLRX2;BOLA2B;FDX1"
"GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING",0.967323840817817,1,-0.274919556351699,-0.698599108899809,5298,45,"RSAD2;REV3L;ETFDH;NUBPL;DPYD;EXO5;POLE;CDKAL1;DPH2;NDUFS1;PRIM2;ACO1;TYW1;RSAD1;CIAPIN1"
"GOMF_5_ALPHA_ANDROSTANE_3_BETA_17_BETA_DIOL_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.206261145234793,1,-0.813497529817001,-1.25807704459534,1040,4,"AKR1C3;AKR1C1;HSD17B6"
"GOMF_ABC_TYPE_GLUTATHIONE_S_CONJUGATE_TRANSPORTER_ACTIVITY",0.54964686331533,1,0.534458255800919,0.957207473730655,2645,8,"ABCC11;ABCC3"
"GOMF_ACROSIN_BINDING",0.278853914447135,1,0.768417741950826,1.21219888862704,1381,4,"ZP4;ZP3"
"GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",0.60337143964348,1,-0.535828005517147,-0.91983361048442,3113,7,"ATP8B1"
"GOMF_AMPA_GLUTAMATE_RECEPTOR_ACTIVITY",0.646593321752557,1,-0.531908297151211,-0.885344518602779,3349,6,"GRID1;GRIA1;GRIA2;GRIA3"
"GOMF_ANDROSTAN_3_ALPHA_17_BETA_DIOL_DEHYDROGENASE_NADPLUS_ACTIVITY",0.424530129819802,1,-0.625399807954563,-1.07359779150009,2190,7,"AKR1C3;RDH5;AKR1C1;HSD17B6"
"GOMF_ATP_ACTIVATED_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",0.172413793103448,1,-0.797554530147088,-1.28242511146762,879,5,"ABCC9;KCNJ8;ABCC8"
"GOMF_ATP_ADP_ANTIPORTER_ACTIVITY",0.904358353510896,1,0.369419941192195,0.582769524572615,4481,4,"SLC25A6;SLC25A5;SLC25A4"
"GOMF_ATP_DEPENDENT_ACTIVITY",1,1,-0.177263608405887,-0.588985033396663,6551,558,"DDX4;MYO1H;ATP13A4;ABCA12;ABCB5;ABCA10;ABCC9;ATP4B;KIF4B;ATP6V0D2;ABCA8;PMS2P5;MYH6;HSPA7;MYH15;ACSM1;ATP1A4;HSPA6;MYH2;ATP8B1;DNAH9;KCNJ8;DNAH2;ATP2A1;ABCA4;SMC1B;MYO1G;TDRD12;ATP4A;DNAH3;ATP6V1G2;MYO7A;CHRNA4;ABCG2;ABCC6;SWSAP1;ABCC8;ABCD3;RAD51D;CARNS1;RHOBTB3;NAV3;IFIH1;AK6;MYO9A;SLC27A6;ATP6V1E2;MFSD2A;KIF13B;ABCF3;CHD3;KIFC3;DDX12P;MYO5C;HSPA4L;KIF21A;MOV10;KIF12;SRCAP;STARD9;ATP6V0A1;KIF26B;ABCB1;HELQ;DHX38;UBA6"
"GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA",1,1,0.146007058097157,0.437668020039392,4313,119,"MSH4;HFM1;PMS2P1;PMS2P3;PMS2P6;DMC1;ERCC6;BRIP1;MSH5;TOP2A;SMARCA2;SMARCA4;RAD51;CHD2;RAD51C;RECQL5;SMARCA5;MORC2"
"GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_RNA",0.991913746630728,1,-0.250680500121626,-0.687374497564437,5519,75,"DDX4"
