"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_MYOGENESIS",0.00246244767298695,0.123122383649347,0.45483323401198,1.43852493297456,9,192,"MYL2;COX6A2;MYL1;COX7A1;CSRP3;SLN;CKM;COL15A1;COL3A1;MYL4;TNNI2;CHRNG;MYH8;MYH7;CFD;APLNR;TNNI1;MB;SPDEF;DES;HSPB2;TNNC2;CRYAB;SGCG;MYOZ1;PVALB;IGFBP7;CHRNA1;CD36;SPHK1;MEF2A;PGAM2;HDAC5;PYGM;SH3BGR;MYL11;LAMA2;BHLHE40;COL6A3;LSP1;COL1A1;KCNH2;FST;KLF5;DMD;PPFIA4;MYH11;CTF1;OCEL1;CLU;MEF2D;SSPN;TGFB1;SVIL;ACTN3;ERBB3;REEP1;CRAT;FHL1;CDH13;FABP3;TPD52L1;LARGE1;MYF6;EIF4A2;KCNH1;PDE4DIP;SLC6A8;SMTN"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0237154150197628,0.592885375494071,0.581584883962893,1.48188545918427,107,41,"WNT1;DKK4;LEF1;PTCH1;FZD1;HDAC5"
"HALLMARK_ADIPOGENESIS",1,1,0.1365183144917,0.431841794262807,4065,193,"COL15A1;OMD;LEP;MGLL;C3;ANGPT1;ORM1;CD36;SNCG;COQ3;STAT5A;GPHN;BCL6;SPARCL1;LAMA4;SSPN;ABCA1;LIPE;CRAT;BCKDHA;CCNG2;VEGFB;STOM;TALDO1;SLC27A1;ETFB;DHRS7B;RIOK3;HSPB8;PDCD4;ATP5PO;DRAM2;ALDOA;PHYH;PGM1;CAVIN1;DDT;APOE;MYLK;COQ5;DHRS7;PLIN2;ANGPTL4;NDUFB7;UBC;PFKL;COX7B;NDUFAB1;POR;DNAJB9;BCL2L13;DGAT1;RTN3;GPX4;UCP2;COX6A1;TKT;LPCAT3;HADH"
"HALLMARK_ALLOGRAFT_REJECTION",0.996934604904632,1,-0.24592941089248,-0.736664450194229,5853,161,"CD96;IL12B;IGSF6;CD8A;CCL22;CD3E;CD86;GZMB;FYB1;SPI1;ITGAL;HLA-DQA1;SRGN;IL6;IL2RA;HLA-DRA;HLA-DMB;C2;IL7"
"HALLMARK_ANDROGEN_RESPONSE",1,1,-0.208462088778075,-0.59199114928922,5704,100,"KLK3;STEAP4"
"HALLMARK_ANGIOGENESIS",0.342379504993487,1,0.434282085492359,1.06276948459749,1576,33,"LUM;COL3A1;MSX1;PF4;VTN"
"HALLMARK_APICAL_JUNCTION",1,1,0.157599472494485,0.49898603547325,4069,194,"NRAP;MADCAM1;ADRA1B;ICAM4;CDH6;CDH15;ITGA10;RAC2;SLC30A3;SLIT2;ACTG2;PIK3R3;WNK4;VWF;CLDN5;ICAM5;COL16A1;KCNH2;MAPK11;AKT3;NRXN2;PPP2R2C;CADM2;CD99;CD276;RHOF;NECTIN3;SIRPA;DSC3;ACTN3;CRAT;TSC1;FLNC;LAMA3"
"HALLMARK_APICAL_SURFACE",0.524596182085169,1,-0.383761907813971,-0.95823721260493,2857,41,"GATA3;PKHD1;RTN4RL1;ATP8B1;SLC34A3;IL2RB;MDGA1;GSTM3;RHCG;AKAP7;NCOA6"
"HALLMARK_APOPTOSIS",0.995210727969349,1,0.246135386678922,0.761970142471744,4155,154,"CD69;LUM;CASP1;LEF1;TNFSF10;CD38;GSTM1;BIK;CASP4;F2;CD44;IL1A;NEFH;BCL2L11;TXNIP;CFLAR;RHOB;BNIP3L;TGFB2;CLU;WEE1;ANXA1;ERBB3;TOP2A;ENO2;CASP8;IGFBP6;JUN;GCH1;IRF1;PLPPR4;PRF1;BMP2;TIMP1;BGN;LGALS3;H1-0;GSN;PDGFRB;PDCD4;BMF"
"HALLMARK_BILE_ACID_METABOLISM",0.974440331394324,1,-0.265035376732975,-0.750485686310669,5527,98,"ALDH8A1;SLC23A1;DIO2;ABCA8;ALDH1A1;CROT;AKR1D1;GNMT;CH25H;ABCA4;CYP39A1;HSD17B6;NEDD4;SULT2B1;ABCD3;GC;KLF1;PXMP2;PAOX"
