"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000185304","RGPD2",4.5848669887624,1.02908944896984e-26,"RGPD2",0.745616851990334,0.999919252887675,"RGPD2",2.71475980638291,TRUE
"ENSG00000165060","FXN",-2.16459295865401,1.64186893320952e-18,"FXN",-1.84810343602962,1.34838610760507e-11,"FXN",0.223791887622196,TRUE
"ENSG00000270641","TSIX",-5.40914520021722,1.15463534188619e-16,"TSIX",-3.00010810746725,0.999919252887675,"TSIX",1.70344646441343,TRUE
"ENSG00000288709","F8A2",-10.7348117041956,4.45299657154784e-14,"F8A2",-7.15224680978919,NA,"F8A2",2.53325593087561,TRUE
"ENSG00000229807","XIST",-6.73089774480679,9.60746834815911e-10,"XIST",-0.233031872948982,0.999919252887675,"XIST",4.5946850212313,TRUE
"ENSG00000182983","ZNF662",-9.42865715603828,2.33722214671006e-08,"ZNF662",-6.03669893968015,0.999919252887675,"ZNF662",2.39847665628826,TRUE
"ENSG00000285304","ENSG00000285304",-9.32500905380238,2.7502869994651e-08,"ENSG00000285304",-7.75518597260759,0.999919252887675,"ENSG00000285304",1.11003254597599,TRUE
"ENSG00000170542","SERPINB9",1.31641033593904,9.02815053607241e-07,"SERPINB9",0.0698967734117352,0.999919252887675,"SERPINB9",0.88141819290406,TRUE
"ENSG00000037280","FLT4",-1.74829303010152,1.30210492302489e-06,"FLT4",-0.750090946798756,0.999919252887675,"FLT4",0.705835462097923,TRUE
"ENSG00000124588","NQO2",-1.40245526528931,6.71494435468966e-06,"NQO2",0.000468265861550559,0.999919252887675,"NQO2",0.992016742362951,TRUE
"ENSG00000165118","QNG1",-2.38771766554521,3.30992922680934e-05,"QNG1",1.0445979452228,NA,"QNG1",2.42701364354651,TRUE
"ENSG00000237296","SMG1P1",-21.6984395717542,4.35901596158595e-05,NA,NA,NA,"SMG1P1",NA,TRUE
"ENSG00000124942","AHNAK",1.50805302572942,9.14864913977209e-05,"AHNAK",0.980398240447654,0.69025256381231,"AHNAK",0.373108276798265,TRUE
"ENSG00000130021","PUDP",-0.977916581650905,0.000229718994865309,"PUDP",-0.476993363920234,0.999919252887675,"PUDP",0.354206204111143,TRUE
"ENSG00000100968","NFATC4",1.10698571496314,0.000282221011824798,"NFATC4",0.257661408980227,0.999919252887675,"NFATC4",0.600562976187074,TRUE
"ENSG00000277991","ENSG00000277991",-2.35218970501689,0.000587825098273009,"ENSG00000277991",1.50165348646589,NA,"ENSG00000277991",2.72507865432708,TRUE
"ENSG00000119125","GDA",-3.1357863271492,0.000692844674614928,"GDA",0.409989594711604,0.999919252887675,"GDA",2.50724219891576,TRUE
"ENSG00000288722","F8A1",1.39690708522008,0.000692844674614928,"F8A1",-0.0270091477145455,0.999919252887675,"F8A1",1.00686082414968,TRUE
"ENSG00000055609","KMT2C",1.11206950481722,0.000963065747235606,"KMT2C",0.349682058757123,0.999919252887675,"KMT2C",0.539089333000586,TRUE
"ENSG00000259370","ENSG00000259370",5.37162875680433,0.000963065747235606,"ENSG00000259370",4.29014289781172,0.440235635384961,"ENSG00000259370",0.764725984651034,TRUE
