"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000185304","RGPD2",4.5848669887624,1.02908944896984e-26,"RGPD2",3.83181621255456,2.48384944629679e-10,"RGPD2",0.532487310434357,TRUE
"ENSG00000165060","FXN",-2.16459295865401,1.64186893320952e-18,"FXN",-0.315846572421333,0.810362622798843,"FXN",1.30726110639925,TRUE
"ENSG00000270641","TSIX",-5.40914520021722,1.15463534188619e-16,"TSIX",-2.34945382910918,0.999991169262577,"TSIX",2.16352851684846,TRUE
"ENSG00000288709","F8A2",-10.7348117041956,4.45299657154784e-14,"F8A2",-3.58706331319413,0.942329757159713,"F8A2",5.05422135749235,TRUE
"ENSG00000229807","XIST",-6.73089774480679,9.60746834815911e-10,"XIST",-6.51236827344097,3.99521367538183e-10,"XIST",0.154523671091882,TRUE
"ENSG00000182983","ZNF662",-9.42865715603828,2.33722214671006e-08,"ZNF662",-3.52960681780512,0.00327098962512524,"ZNF662",4.17125849672546,TRUE
"ENSG00000285304","ENSG00000285304",-9.32500905380238,2.7502869994651e-08,"ENSG00000285304",-1.56734494750861,0.999991169262577,"ENSG00000285304",5.4854968957278,TRUE
"ENSG00000170542","SERPINB9",1.31641033593904,9.02815053607241e-07,"SERPINB9",1.24769382965744,0.00104090995944809,"SERPINB9",0.0485899075711653,TRUE
"ENSG00000037280","FLT4",-1.74829303010152,1.30210492302489e-06,"FLT4",-0.997376733079319,0.0960582046553265,"FLT4",0.530978005727889,TRUE
"ENSG00000124588","NQO2",-1.40245526528931,6.71494435468966e-06,"NQO2",-1.40268668540824,0.000128661511759089,"NQO2",0.000163638735399471,TRUE
"ENSG00000165118","QNG1",-2.38771766554521,3.30992922680934e-05,"QNG1",-3.43615413962871,0.475268145202469,"QNG1",0.741356540467761,TRUE
"ENSG00000237296","SMG1P1",-21.6984395717542,4.35901596158595e-05,"SMG1P1",-21.5857685602097,4.58448702762683e-05,"SMG1P1",0.0796704363062758,TRUE
"ENSG00000124942","AHNAK",1.50805302572942,9.14864913977209e-05,"AHNAK",0.527039094513766,0.970782698044185,"AHNAK",0.693681603201059,TRUE
"ENSG00000130021","PUDP",-0.977916581650905,0.000229718994865309,"PUDP",-0.500527932083207,0.596707150028144,"PUDP",0.337564751370808,TRUE
"ENSG00000100968","NFATC4",1.10698571496314,0.000282221011824798,"NFATC4",0.849741086205863,0.0830698859389548,"NFATC4",0.181899421418085,TRUE
"ENSG00000277991","ENSG00000277991",-2.35218970501689,0.000587825098273009,"ENSG00000277991",-3.8484852926502,NA,"ENSG00000277991",1.05804075667503,TRUE
"ENSG00000119125","GDA",-3.1357863271492,0.000692844674614928,"GDA",-3.57133915684437,0.447843497553916,"GDA",0.307982359442442,TRUE
"ENSG00000288722","F8A1",1.39690708522008,0.000692844674614928,"F8A1",1.42474435545354,2.46096272351935e-05,"F8A1",0.0196839225518043,TRUE
