"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_CELL_FATE_COMMITMENT",0.000269034167339252,0.727454135822337,0.493063372308425,1.55936582849657,1,262,"SOX17;WNT1;GATA5;GATA2;FGF10;BARHL2;MYT1L;TBR1;WNT7B;NKX2-5;TAL1;LHX3;CD69;EBF2;TLX3;DMRTA2;OLIG3;NKX6-3;SHH;MNX1;PRRX1;TBXT;EOMES;ARX;DMRT3;NKX2-1;SPDEF;SLAMF8;PROX2;WNT8A;HNF1B;GDF7;GATA6;GATA4;FOXA2;WNT8B;IL7;ASCL1;TBX1;TBX3;WNT4;FEZF2;PAX7;PROX1;DSCAML1;WNT9B;PTCH1;GSC;TFAP2C;NEUROD4;MYF6;MYL2;FOXG1;PAX6;IL23A;ONECUT2;ISL1;WNT2B;ONECUT1;HES5;TBX6;FOXN4;ID2;HES1;PTCH2;KLF4;DLL1;SCART1"
"GOBP_CELL_FATE_DETERMINATION",0.000482780817508851,0.727454135822337,0.705213780077344,1.76655010678736,2,39,"SOX17;WNT1;GATA2;BARHL2;EBF2;NKX6-3;PRRX1;GATA6;ASCL1;FEZF2;PROX1;DSCAML1;PTCH1;FOXG1;PAX6;ISL1;HES1;PTCH2;KLF4;DLL1"
"GOBP_HINDBRAIN_DEVELOPMENT",0.000428939090649128,0.727454135822337,0.525165456885266,1.58602586164118,2,158,"WNT1;GATA2;LHX5;HOXB2;TBR1;HOXB1;PHOX2B;LMX1A;NEUROD2;SHH;EN1;EN2;FOXC1;HNF1B;NEUROG3;SKOR2;FOXP2;ASCL1;HOXB3;GPR37L1;PROX1;BMP5;FAIM2;GBX2;NOG;LEF1;EGR2;ALDH1A2;MAFB;HES1;DLL1;CDK5R2;ATP1B2;FKTN;KCNC1"
"GOBP_REGULATION_OF_CELL_FATE_SPECIFICATION",0.000168520390967307,0.727454135822337,0.81962612309484,1.8503636294135,0,23,"SOX17;DKK1"
"GOBP_STEM_CELL_DIFFERENTIATION",0.000410004100041,0.727454135822337,0.471715890446753,1.4760316574223,2,233,"SOX17;A2M;NKX2-5;TAL1;OSR1;PDX1;SP7;DNMT3L;HOXA7;PHOX2B;MSX1;SHH;TBXT;EOMES;FOXC1;BGLAP;WNT8A;HNF1B;TBX1;FBXL17;GFAP;SOX21;GSC;GBX2;GDNF;PTPRC;ALDH1A2;ISL1;ZEB2;HES5;HES1;SEMA3E;SOX9;ERBB4;SEMA3B;CYP26C1;NRP1;SOX10;ESRRB;JAG1;BMP4;SEMA4A;RET;TTYH1;FRZB;RUNX2;SEMA3D;BMP7;SMAD4;FN1;KDM4C;CDK6;NR5A2;EFNB1;SEMA4F;SEMA5B;FGFR2;HTR2B;LAMA5;SNAI2;PDGFRA;LMBR1L;SMAD5;SOX18;FZD1;CHD3;GPM6A;KIT"
"GOBP_ENDODERMAL_CELL_FATE_COMMITMENT",0.000867754251995835,0.82364002099003,0.834248877718004,1.72524039147992,4,15,"SOX17;EOMES;HNF1B;GATA6"
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.000771434868856072,0.82364002099003,0.365995825553334,1.25490728134637,6,1172,"SOX17;PEG3;ZFY;SRY;HSF4;WNT1;GATA5;GATA2;FGF10;RXRG;BARHL2;HOXB2;MYT1L;TBR1;EVX1;NKX2-5;MCIDAS;TAL1;SHOX;SP100;LHX3;OSR1;EBF2;PDX1;CGA;SP7;SLC40A1;OLIG3;NKX6-3;SLC11A1;HOXA7;POU4F2;HOXB1;PHOX2B;BHLHE22;TFAP2B;LMX1A;NEUROD2;MSX1;KLF14;SHH;EN1;PRRX1;TBXT;EOMES;CDX2;ACVRL1;CDX1;SOX14;EN2;FOXC1;ARX;NKX2-1;PAX5;SPDEF;TLX2;WNT8A;LMX1B;HNF1B;CRX;NEUROG3;HOXB7;IKZF3;RFX4;EGR3;GATA6;POU3F3;TFAP2A;GATA4;LMO1;FOXA2;BORCS8-MEF2B;CSRP3;MIXL1;NDP;ASCL1;TBX1;IRF8;IRX3;TBX3;ITGA8;HHEX;HOXB3;FEZF2;PAX7;ZIC1;PF4;FLI1;PROX1;BMP5;SOX21;ID4;MUC1;LUM;NFE4;SETSIP;PLAGL1;POU2AF1;RIT2;SIX3;POU4F3;CREBRF;DMRT1;TFAP2C;NEUROD4;MYF6;HOXA5;FGF4;TFEC;GBX2;HOXC13;PRDM16;MEIS2;SERPINF2;MEOX2;ARRB1;IL1A;PAX6;GDNF;IL23A;ONECUT2;NOG;LEF1;EGR2;PLAC8;EGR1;KAT2B;FOSB;ISL1;MAFB;NLRP3;ZEB2;SPAG8;ONECUT1;HES5;CTCFL;TBX6;FOXN4;WAS;CDH13;KMT2C;HES1;NFATC4;GRHL3;KLF4;SMARCA2;RBPJL;DLL1;CHCHD2;HJV;MED12L;INHBA;XCL1;HAND1;MYB;STAT4;MECOM"
"GOBP_REGULATION_OF_STEM_CELL_DIVISION",0.000874584572328144,0.82364002099003,0.897361864505071,1.73504672999064,4,11,"SOX17;ESRRB"
"GOBP_ENDOCARDIAL_CELL_DIFFERENTIATION",0.00127203343630747,0.958349990914047,0.931137100790651,1.57298108208772,6,6,"SOX17;SMAD4"
"GOBP_STEM_CELL_DIVISION",0.00115131578947368,0.958349990914047,0.716551673475841,1.73388071517941,6,33,"SOX17;MYB;ESRRB;BMI1;ING2;CDKN2A"
