"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.917654808959157,1,-0.330995409096779,-0.582730650477195,4178,6,"ALDH1L2;MTHFD2L;MTHFD1L;MTHFD1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.789722945773147,1,-0.346172746585582,-0.78876676376118,3334,18,"TAT;IDH1;AADAT;GPT2;DLD;OGDH"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.256844547563805,1,-0.588398817959531,-1.18849347620299,1106,11,"FXN;BOLA2B;NFS1;LYRM4"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.303063698479171,1,-0.707216198791801,-1.19673483966834,1374,5,"FXN;NFS1;LYRM4"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.349902744759023,1,-0.717290006183243,-1.16726354414487,1618,4,"PRPS1;PRPSAP1;PRPS2"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.377186311787072,1,-0.38648020908121,-1.04037135865586,1487,41,"ACOT12;TDO2;PDK4;SIRT4;HMGCS1;MVD;MVK;ACSS2;HMGCR;ACLY;FASN;DLAT;AADAT"
"GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",0.433465085638999,1,-0.601528899942025,-1.05901567668438,1973,6,"FSHR;BCHE;SLC5A7;ACHE"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.115330021291696,1,0.727417502930454,1.33793511295157,649,9,"ZP4;EQTN;ZP3;SYT6"
"GOBP_ACROSOME_ASSEMBLY",0.962445267766925,1,0.274937725500069,0.658239663032472,5714,31,"CCDC38;SPACA1;ACRBP;GARIN1A;MYCBPAP;SPINK2;POC1B;AGFG2"
"GOBP_ACROSOME_REACTION",0.281931723563697,1,0.457750002649528,1.1199732335459,1692,35,"ZP4;SPINK1;IQCF1;PRND;EQTN;ROPN1B;LCN6;AKAP3;ZP3;PKDREJ;CCDC87"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.528225806451613,1,-0.444974794014961,-0.948028939016739,2226,14,"GAS2L2;LCP1;AIF1;GAS2;GAS2L1"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.997058463046942,1,0.239288571841068,0.793056945495714,8134,508,"A2M;ZAP70;GFI1;CD274;C7;MEFV;GBP2;NLRC4;CTSS;ZBP1;CD226;GBP1;KLRD1;BLNK;C1QA;CASP1;FGL1;NLRP2B;PYDC1;CD80;ITGAM;CFB;BTK;LTF;CD36;CFHR4;TNIP3;LPXN;HCK;FYB2;CCDC92;TREX1;CACNB4;NLRP6;CD38;ALPK1;CD300A;C5AR1;FCMR;BTN3A2;PTPRC;NLRP3;IRAK2;MOG;CD72;C4B;CLEC7A;ERMAP;NMI;ITK;F2RL1;MYO1G;BANK1;ADCY7;ZDHHC1;NFAM1;RAB7B;SUSD4;RIGI;NLRC3;CACNB3;SLC15A4;CMKLR1;BTN3A3;CD8B;IFI16;IRF7;FCER1G;LCP2;PIK3CD;IFIH1"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.611280690112807,1,0.298194819192491,0.951978222332712,4605,287,"GFI1;CD274;MEFV;GBP2;NLRC4;CTSS;ZBP1;KLRD1;CASP1;NLRP2B;PYDC1;BTK;LTF;CD36;TNIP3;HCK;CCDC92;TREX1;NLRP6;ALPK1;CD300A;NLRP3;IRAK2;CLEC7A;NMI;F2RL1;ADCY7;ZDHHC1;RAB7B;RIGI;NLRC3;SLC15A4;IFI16;IRF7;IFIH1"
"GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY",0.932662397072278,1,0.347923421337039,0.56849411813655,5096,5,"STIM2;STIM1;STIMATE;ASPH;CRACR2A"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.513370646766169,1,0.347690729424652,0.971040634435159,3301,80,"ORM1;F2;SERPINA1;SAA1;BTK;SCN11A;NLRP6;SERPINF2;IL1A;NPY;LCN2;NLRP3;ZP3;IL22RA1;F7;NPFF;FCER1G;FCGR2A;ADAM8;ASH1L;PTGS2;FN1"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.595551303515905,1,-0.391556766582563,-0.909586866064789,2489,20,"CD6;FCGR2B;CCR7;NPY5R;GATA3"
"GOBP_ACYL_COA_METABOLIC_PROCESS",0.99971098265896,1,-0.196735488631594,-0.606584506162074,3458,98,"ACOT12;TDO2;ACSL5;PDK4;SIRT4;ACOT9;HMGCS1;ACSL6;MVD;ACSM1;SNCA;MVK;ACSS2;ACSL4;HMGCR;ACLY;ACOT11;FASN"
"GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE",0.370663153271849,1,-0.638244489906203,-1.12365494065744,1687,6,"TNFRSF14;CD160;CD27;CD70;EBAG9;CD81"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.524671052631579,1,0.300329620718389,0.982294002898,4146,405,"KDM5D;IL9R;ZAP70;CCR6;IL2RG;CD274;C7;LILRB5;CD69;TRGV3;SLC11A1;CTSS;CD226;MR1;CD209;TRGV5;CRTAM;KLRD1;RAET1G;C1QA;FGL1;ARG1;EOMES;IL1RL1;CD8B2;HLA-DRB5;CD80;FCRLB;PSG9;SIGLEC10;BTK;TNFSF13B;PSMB9;TREX1;PRDM16;AZGP1;CCR2;IL23A;FCMR;LEF1;BTN3A2;CLEC4D;ALOX15;PTPRC;CLEC4A;NLRP3;ZP3;WAS;CX3CR1;BCL6;TNFSF13;EBI3;SCART1;C4B;XCL1;CLEC7A;STAT4;ITK;SHLD1;MYO1G;ADCY7;NFKB2;SUSD4;PRDM1;HLA-DMB;IL17RB;HLA-H;JAG1;SLC15A4;JUNB;CD1C;BTN3A3;SEMA4A;CD8B;IRF7;FCER1G;PIK3CD;TNFRSF13C;TAP1;B2M;SECTM1;TGFB1;FCGR2A;ASCL2;C1R;AGER;CR1L;TRAV18;PRKCB;CR2;PSMB8;AHR;EIF2AK4;CADM1;RIPK3;LAG3;FCER2;CLEC4G;IL6ST;SIRT1;BTN3A1;IL18;APLF;ALCAM;HLA-A;P2RX7;CD1D;RFTN1;RELB;MICB;RAB27A;JAK3;CLU;DENND1B;HLA-F;C1RL;TNFSF4;PRKCQ;KLHL22;TNFAIP3;NOD2;IL1R1;TNFRSF11A"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.0889154704944179,1,0.367044043844275,1.17242051645996,668,291,"KDM5D;IL9R;CCR6;IL2RG;CD274;C7;CD69;SLC11A1;CD226;MR1;CRTAM;KLRD1;RAET1G;C1QA;ARG1;IL1RL1;CD80;FCRLB;PSG9;BTK;TNFSF13B;PSMB9;TREX1;PRDM16;AZGP1;CCR2;IL23A;FCMR;LEF1;BTN3A2;PTPRC;NLRP3;ZP3;WAS;BCL6;TNFSF13;EBI3;SCART1;C4B;XCL1;CLEC7A;STAT4;SHLD1;MYO1G;NFKB2;SUSD4;IL17RB;HLA-H;JAG1;SLC15A4;JUNB;CD1C;BTN3A3;SEMA4A;IRF7;FCER1G;B2M;SECTM1;TGFB1;FCGR2A;ASCL2;C1R;AGER;CR1L;CR2;PSMB8;AHR;CADM1;RIPK3;LAG3;FCER2;CLEC4G;IL6ST;IL18;APLF;HLA-A;P2RX7;CD1D;RFTN1;RELB;RAB27A;JAK3;CLU;DENND1B;HLA-F;C1RL;TNFSF4;PRKCQ;KLHL22;TNFAIP3;IL1R1"
"GOBP_ADENOSINE_METABOLIC_PROCESS",0.76477854243868,1,0.413178881554654,0.778601329587756,4333,10,"PTGDR;ACP3;NT5E;ADA2;MAPDA;NT5C1A;ADA"
