"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_ACROSOMAL_MEMBRANE",0.304707271806985,1,0.474905540002455,1.10845707541611,1805,27,"EQTN;SPACA1;DCST2;SPACA4;ACRBP;PKDREJ;IZUMO1;ATP8B3;USP8;TRIP11;SPACA6;HYAL3"
"GOCC_ACROSOMAL_VESICLE",0.986611127640583,1,0.249593514995821,0.729614214329982,6631,121,"CABS1;IQCF1;EQTN;CT55;SPACA1;TCP11;DCST2;DPEP3;SPACA9;SPACA4;KIAA1210;SPAG6;ACRBP;AKAP3;SPAG8;MYCBPAP;PKDREJ;SPINK2;SEMG1;ICA1L;IZUMO1;DKKL1;STK31;MORN3"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.833416334661355,1,-0.313887911624341,-0.786879929123762,3346,29,"OLFM3;CACNG2"
"GOCC_APICAL_DENDRITE",0.974286388299127,1,-0.263569338225396,-0.598529172092175,4129,18,"MAP2;NEURL1;PTK2B;SLC1A1;MAP1B;MYO1D;YKT6"
"GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",0.0655908381051536,1,0.651175544630681,1.40300623690773,377,18,"NLGN4Y;C1QL2"
"GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",0.47828418230563,1,0.552558977752724,1.01740940267491,2675,9,"ABCG5;ABCA2;ABCG8"
"GOCC_ATPASE_COMPLEX",1,1,-0.212692678514726,-0.690195286621326,3159,150,"EP400P1;DPF3;MYOD1;CHD5;RB1;ATP6V1G2;ACTL6B;ATP6V1C1;SRCAP;BICRA;PEX26;UFD1;SMARCA1;ACTB;DPF1;ACTL6A;DERL2;ATP6V0A2;ATP6V0A4;DMAP1;RBBP7;FAF2;AFG2A;MBD3;GATAD2A;MYBBP1A;UBXN2A;ACTR5;VCP;BRD9;INO80C;TRRAP;ATP6V1D;DDX21;UBXN6"
"GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",0.9546463685379,1,0.268316211815582,0.715359077167369,6019,60,"ATP6V1B1;ABCG5;FXYD2;ATP1B2;SLC9A2;TESC;ABCA2;ATP6V1C2;FXYD1;CHP2;ABCG8"
"GOCC_AXON",1,1,-0.165258555422088,-0.605228893869375,1629,625,"POTEKP;ADCY10;OPRM1;MYOC;ROBO4;OXT;CACNG2;INSRR;MYOT;FSCN3;ACTL8;POTEI;SCN1A;CRH;HAPLN2;NTRK2;C4A;KCNK2;NCAM2;GPER1;NCMAP;KCNA2;UNC5C;GABRG2;CALCA;GHRL;MAP2;SLC6A3;SLC8A1;RGS7BP;DISC1;ADAM21;KCNQ3;PRPH;GRM3;CNTF;CALB1;GNRH1;UNC13A;DLG2;TRPV2;CRHR2;UNC80;COMT;MAG;MYPN;USH2A;SLC5A7;RIN3;KCNH1;TRPC5;NEXN;SPOCK1;TACR3;MDGA1;DAGLA;SYT5;CHRNA10;PRKN;SCN9A;SYT4;BCAR1;TENM2;KIF21A;GRIK2;SNCA;KCNAB1;PTK2B;LRP2"
"GOCC_AXON_CYTOPLASM",1,1,0.172848032516346,0.464975117131148,6313,64,"AGBL4;RAB27B;NEFL;KIF3A;BLOC1S2;DYNC1H1;ARL8A;AP3S2;KIF5A;SPG7;KIF1B;KIF4A;BLOC1S5;TRIM46"
"GOCC_AXON_HILLOCK",0.503577817531306,1,-0.56783739717969,-0.996831446504959,2251,6,"MAP2;SPTBN4;NDEL1"
"GOCC_AXON_INITIAL_SEGMENT",0.940700166706359,1,-0.283408935034804,-0.668155564397017,3949,21,"SCN1A;KCNA2;MAP2;KCNQ3"
"GOCC_AXONAL_GROWTH_CONE",0.546970728386658,1,0.410911337918592,0.942935655553695,3213,25,"BOC;SCN11A;PTCH1;FLRT3;COBL;EPHA4;NIN;GPM6A"
"GOCC_AXONEMAL_A_TUBULE_INNER_SHEATH",0.465826466311197,1,-0.402941657842554,-0.982668543859412,1921,25,"EFCAB6;CIMIP2A;SPMIP9;CFAP53;PIERCE2"
"GOCC_AXONEMAL_B_TUBULE_INNER_SHEATH",0.0997319034852547,1,0.73881400975911,1.36035491345008,557,9,"CFAP52;CFAP276;CFAP90"
"GOCC_AXONEMAL_CENTRAL_APPARATUS",0.396120009023235,1,-0.599856913654726,-1.08427487808016,1755,7,"SPAG17;CFAP65;HYDIN"
"GOCC_AXONEMAL_DOUBLET_MICROTUBULE",0.586252045826514,1,0.370976998320387,0.92343304762814,3581,39,"CFAP52;CFAP276;CFAP206;CFAP141;TEKTIP1;CFAP73;SPACA9;SPAG8;RIBC2;SPMIP8;CFAP90;TEKT5"
"GOCC_AXONEMAL_DYNEIN_COMPLEX",0.916251074806535,1,0.309679317288924,0.69388590556445,5327,22,"DNAI2;DNAH12;DNAH8;CCDC65;DNAH7;ODAD1;CFAP70"
"GOCC_AXONEMAL_MICROTUBULE",0.666017210586134,1,0.345320413543546,0.886343341559804,4101,47,"CFAP52;CFAP276;CFAP206;CFAP141;TEKTIP1;SPACA9;SPAG8;RIBC2;SAXO2;SPMIP8;CFAP90;TEKT5"
"GOCC_AXONEMAL_NEXIN_LINK",0.982933333333333,1,0.262289650000638,0.495390744547335,5528,10,"CCDC65;TCTE1;FBXL13"
"GOCC_AXONEME",0.980789754535752,1,-0.244114341426072,-0.822586288831377,2756,217,"EYS;RSPH14;CLXN;CFAP61;EFCAB6;CIMIP2A;SPMIP9;DYDC1;SPAG17;DNAI3;DNAI1;CFAP53;CCDC63;CYS1;CFAP65;DRC1;PIERCE2;DNAJB13;AKAP14;BBOF1;DNAH9;IQUB;DNAH2;HYDIN;DNAI4;CFAP184;MNS1;CFAP45;RSPH4A;MAPK15;RSPH10B;EFHB;KATNIP;PIERCE1;NPHP1;DNAL4;SAXO1;DNAL1;CFAP74;ODAD4;CFAP300;B9D2;WDPCP;CFAP95;IQCD;CFAP210"
"GOCC_BASAL_DENDRITE",0.624119718309859,1,-0.522482281162455,-0.890622937728589,2835,5,"MAP2;MAP1B;YKT6;MAPK8"
"GOCC_BRISC_COMPLEX",0.934704830053667,1,-0.312270814837689,-0.548187508610729,4179,6,"BRCC3;BABAM2;SHMT2;BABAM1;ABRAXAS2;MPND"
"GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX",0.462074019787468,1,0.646106866064972,1.05524497731021,2521,5,"CAMK1G;CAMK2A;CAMK2D;CAMK2B;CAMK2G"
"GOCC_CALCIUM_CHANNEL_COMPLEX",0.968961714195683,1,0.260953382472625,0.708802530871377,6149,68,"PKD2L1;CATSPER1;CACNA1S;CACNA1F;CATSPERE;CATSPERB;CACNB4;CACNG3;CACNA1E;CACNA1D;CACNA1C;CACNB3;RYR3"
"GOCC_CANONICAL_INFLAMMASOME_COMPLEX",0.0420978775653394,1,0.714306975772675,1.45693169058419,239,14,"MEFV;NLRC4;CASP1;CASP4;NLRP6;NLRP3"
