"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY",0.000127567291746396,0.238423268274015,0.452041841727632,1.47572142006396,0,405,"SOX17;ZFY;SRY;GATA2;BARHL2;HOXB2;MYT1L;NKX2-5;SHOX;SP100;LHX3;EBF2;PDX1;SP7;NKX6-3;HOXA7;POU4F2;HOXB1;PHOX2B;TFAP2B;LMX1A;NEUROD2;MSX1;PRRX1;CDX1;SOX14;EN2;FOXC1;ARX;PAX5;TLX2;CRX;NEUROG3;HOXB7;IKZF3;RFX4;EGR3;TFAP2A;GATA4;FOXA2;BORCS8-MEF2B;MIXL1;IRX3;TBX3;HHEX;HOXB3;FEZF2;ZIC1;FLI1;PROX1;SOX21;PLAGL1;SIX3;POU4F3;CREBRF;DMRT1;TFAP2C;MYF6;HOXA5;TFEC;GBX2;HOXC13;PRDM16;MEIS2;MEOX2;PAX6;BNC1;ONECUT2;LEF1;EGR2;EGR1;FOSB;ISL1;MAFB;ZEB2;ONECUT1;CTCFL;GRHL3;KLF4;RBPJL;HAND1;MYB;MECOM;SOX9;SOX1"
"GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY",0.692140134325649,1,0.515781346418574,0.848490569224475,3812,5,"PYGM;TYMP;PYGL"
"GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY",0.629791099000908,1,0.497497355645347,0.896341427399333,3466,8,"TAFAZZIN;PRDX6;LPCAT4;MBOAT2;LPCAT1;MBOAT1"
"GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY",0.574205267938238,1,0.521706996462612,0.939959958755794,3160,8,"ASPG;PLA2G6;PLA2G7"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY",0.477668602054489,1,-0.510780270217729,-0.992927327208133,2138,9,"PIK3C2G"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY",0.667870688098248,1,0.508862156644288,0.867781894063025,3697,6,"PIK3R6;PIK3R3;PIK3R5;PIK3R1"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_ACTIVITY",0.404731804226115,1,0.639179218687596,1.09001651192973,2240,6,"PIK3R6;PIK3CD"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY",0.341321388577828,1,-0.65038261758583,-1.14635765204088,1523,6,"PIK3C2G"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY",0.428762840553819,1,-0.534564892368246,-1.03916325815061,1919,9,"PIPSL;PIP4K2C;PIP4K2B;PIKFYVE;PIP4K2A;PIP5K1B"
"GOMF_1_PHOSPHATIDYLINOSITOL_BINDING",0.281546654318129,1,-0.523246305800785,-1.14409487431543,1215,15,"FRMPD2;SNAP91;SNX10;WDFY3;SCARB1"
"GOMF_11_CIS_RETINAL_BINDING",0.379062038404727,1,0.716820856610399,1.12657288122482,2052,4,"RHO;CYP27C1"
"GOMF_14_3_3_PROTEIN_BINDING",0.997527812113721,1,-0.211956810278517,-0.540935141231546,4034,31,"PRKCE;FOXK1;AANAT;SYNPO2"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY",0.891386601379924,1,-0.362758388132029,-0.61316264337677,4004,5,"AKR1C3"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.812192943278249,1,-0.382662158804071,-0.743873122591556,3636,9,"SRD5A2;AKR1B15;AKR1C3"
