"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.955045432807269,1,-0.286104275607505,-0.50476073338958,3993,6,"MTHFD2L;MTHFD1;AASDHPPT;MTHFD1L;ALDH1L2;ALDH1L1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.923015021459227,1,-0.304214007554453,-0.683032161266521,3440,18,"TAT;COL6A1;D2HGDH;IDH1;GPT2;DLST;KGD4;DLD;GOT1;GOT2;KYAT3"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.668796319959111,1,-0.424700679126517,-0.848875436289575,2616,11,"LYRM4;FXN;BOLA2B;GLRX3;NDUFAB1;GLRX5;FDX2;NFS1"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.9792008757526,1,-0.254657418795313,-0.606572469036044,3577,23,"DND1;RBM24"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.998903852176636,1,0.214803225384083,0.479690763249157,6378,26,"DAZL;ELAVL4;ADARB2;QKI"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.540725047080979,1,-0.571962138881338,-0.968121645284727,2296,5,"LYRM4;FXN;FDX2;NFS1"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.388634280476627,1,-0.691790154566839,-1.12372952289456,1695,4,"PRPS1;PRPSAP1;PRPS2"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.796508847441416,1,-0.407951399569363,-0.719730060645537,3330,6,"GTF3C6;GTF3C5;GTF3C2;GTF3C4;GTF3C3;GTF3C1"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.857900050479556,1,-0.359713890170743,-0.703734007977426,3398,10,"SNRPG;SNRPB;TGS1;SNRPF;SNRPD1;SNRPD3;SNRPD2;LSM10;LSM11;SNRPE"
"GOBP_7_METHYLGUANOSINE_MRNA_CAPPING",0.773879469531643,1,0.442151868687059,0.776698597753413,4609,8,"RAMACL;RNMT"
"GOBP_ACETATE_ESTER_TRANSPORT",0.185914552736983,1,0.700707468356354,1.25809484133366,1113,9,"SLC22A4;SLC17A8;SLC18A3;SLC44A4"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.998357963875205,1,-0.194153463393304,-0.4624571560471,3647,23,"SIRT4;ACSS2;ACLY;PDK3;PGK1;PDHA1;MLYCD;PPCS;PDK2;DLAT;BCKDK"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.832380379175444,1,-0.303162478989269,-0.812818993142773,2765,41,"TDO2;SIRT4;ACSS2;HMGCS1;MVD;FASN;ACLY;PDK3;HMGCR;MVK;PGK1;PDHA1;NME1;GCDH"
"GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",0.357484457197513,1,-0.641480172077833,-1.13173423020452,1494,6,"FSHR;SLC5A7;BCHE;COLQ"
"GOBP_ACETYLCHOLINE_SECRETION",0.474104970455335,1,0.652402892074101,1.04791795723264,2727,5,"SLC18A3;SLC44A4"
"GOBP_ACID_SECRETION",0.235159162603958,1,-0.448789578029063,-1.14431804952107,819,32,"SLC22A16;CES1;GHRL;CCKBR;DRD3;SCT;CHRM5;ABCB4;KCNQ1;PTGER3"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.988896697118763,1,0.250127473208689,0.664461334984151,7035,76,"SLC17A8;AVPR1A;GRM7;GNAT2;SLC1A2;SLC25A18;SLC32A1;APBA1;GFAP;BEST1;P2RX7;SLC1A4"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.451737451737452,1,0.595470518953916,1.04602321018878,2690,8,"EQTN;HYAL3"
"GOBP_ACROSOME_ASSEMBLY",0.981050685564628,1,0.265526750136916,0.610931937940154,6367,30,"GARIN1A;CCDC38;PFN4;MYCBPAP;RFX2"
"GOBP_ACROSOME_REACTION",0.16297202262651,1,0.527311930686176,1.23390268890699,1065,33,"EQTN;PRND;GLRA1;ZP2;ROPN1B;AKAP3;PKDREJ;CCDC87;ACR;HYAL3;GLRB;PCSK4"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.999023755287992,1,0.194433528589954,0.385860280286606,6139,14,"GAS2L2;EPS8;BAIAP2L1;BAIAP2L2"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.999148936170213,1,-0.218936262985397,-0.703525328983536,2347,141,"MYL1;MYH7B;PLN;MYH4;MYO7B;SCN11A;MYBPC3;SCN1A;MYO1A;KCNE1;VIL1;ACTC1;KCNQ1;MYH7;KCNJ2;SCN5A;FGF13;KCNE4;CACNA1G;KCNE3;MYH2;FGF12"
