"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN",0.000520156046814044,0.332390233679137,-0.812378008642308,-1.86115148523359,1,19,"COX6A2;COX7A1"
"GOBP_PEPTIDYL_SERINE_AUTOPHOSPHORYLATION",0.00045382346267302,0.332390233679137,-0.967063210724974,-1.63626551042455,1,5,"TNNI3K"
"GOBP_POSTSYNAPTIC_SIGNAL_TRANSDUCTION",0.000628733102797862,0.332390233679137,-0.629972735494761,-1.76244320344417,1,53,"WNT3A;OPRM1;HRH4;CHRNA2;PSCA;LY6S;LYNX1;LY6G6D;CHRNA1;CHRM5;LY6H;CHRM1;LY6E"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.957843814789219,1,-0.286104275607505,-0.49900692646797,4157,6,"MTHFD2L;MTHFD1;AASDHPPT;MTHFD1L;ALDH1L2;ALDH1L1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.923295454545455,1,-0.304214007554453,-0.689010249620003,3574,18,"TAT;COL6A1;D2HGDH;IDH1;GPT2;DLST;KGD4;DLD;GOT1;GOT2;KYAT3"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.659219248711024,1,-0.424700679126517,-0.853972943445743,2684,11,"LYRM4;FXN;BOLA2B;GLRX3;NDUFAB1;GLRX5;FDX2;NFS1"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.542545949625596,1,-0.571962138881338,-0.967756720285734,2390,5,"LYRM4;FXN;FDX2;NFS1"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.39363595905652,1,-0.691790154566839,-1.11888942350182,1768,4,"PRPS1;PRPSAP1;PRPS2"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.838396111786148,1,-0.303162478989269,-0.808906764732207,2759,41,"TDO2;SIRT4;ACSS2;HMGCS1;MVD;FASN;ACLY;PDK3;HMGCR;MVK;PGK1;PDHA1;NME1;GCDH"
"GOBP_ACETYLCHOLINE_METABOLIC_PROCESS",0.369500115180834,1,-0.641480172077833,-1.11883350355043,1603,6,"FSHR;SLC5A7;BCHE;COLQ"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.437424268651549,1,0.595470518953916,1.05308100876044,2526,8,"EQTN;HYAL3"
"GOBP_ACROSOME_ASSEMBLY",0.978989649312529,1,0.265526750136916,0.612792003216515,6336,30,"GARIN1A;CCDC38;PFN4;MYCBPAP;RFX2"
"GOBP_ACROSOME_REACTION",0.153928790669122,1,0.527311930686176,1.23570072540066,1002,33,"EQTN;PRND;GLRA1;ZP2;ROPN1B;AKAP3;PKDREJ;CCDC87;ACR;HYAL3;GLRB;PCSK4"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.99851949333772,1,0.194433528589954,0.385948301808343,6069,14,"GAS2L2;EPS8;BAIAP2L1;BAIAP2L2"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.997261774370208,1,0.248948573186152,0.780571902055666,9104,506,"CD22;HAVCR2;CD274;CFB;GFI1;CLEC7A;ZAP70;NLRC4;CD226;CD3E;GBP1;BLNK;A2M;C8G;FYB1;C5AR1;RSAD2;SCIMP;SH2D1A;FYB2;TRAC;TRIM15;ITGAM;CD8A;MYO1G;CASR;STING1;LPXN;SLA2;BTK;MEF2C;OAS1;PTPRC;BTN2A3P;CLEC6A;NFAM1;IFIH1;CD36;NAIP;PYDC1;TLR5;CEACAM1;LRRC19;GATA3;BTN3A2;TMIGD3;BANK1;TLR6;FCER1G;RFTN1;BTN3A3;MASP1;CACNB3;LIPA;IRF5;FOXP3;TLR7;PDE4B;ERMAP;NMI;PRKCB;RAB7B;MOG;COLEC11;PVRIG;CCDC92;P2RX7;RIGI;CD79B;PTPN22;HMSD;RC3H1;DDX60;C4B;F2RL1;LGALS9;HLA-A;MASP2;PDPK1;SLC46A2;HLA-DQB1;FOSL1"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.999881164587047,1,0.235745977911776,0.714451840738554,8413,284,"HAVCR2;CD274;GFI1;CLEC7A;NLRC4;RSAD2;SCIMP;TRIM15;CASR;STING1;BTK;OAS1;CLEC6A;IFIH1;CD36;NAIP;PYDC1;TLR5;LRRC19;TLR6;RFTN1;MASP1;IRF5;TLR7;NMI;RAB7B;COLEC11;CCDC92;P2RX7;RIGI;PTPN22;DDX60;F2RL1;LGALS9;MASP2;PDPK1;SLC46A2;FOSL1;PLCG2;ADCY7;PIK3R1;RNF170;SARM1;RNF144A;TRAF3;LACC1;SLC15A4;HCFC2;SMPDL3A;ZDHHC1;TRAF3IP3"
"GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY",0.679146811890175,1,-0.492033797610571,-0.832518416650178,2992,5,"CRACR2A;STIMATE"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.334080403417846,1,0.394627631181486,1.06334030580804,2384,84,"ORM1;CD163;SERPINA1;FCGR3A;SAA1;F2;FCGR2C;IL31RA;SERPINF2;NPFF;CREB3L3;FCGR1A;BTK;NPY;GATA3;IL10RB;FCER1G;LIPA;FCGR2A;IL6;FN1;IL1A;ASH1L;IL22RA1;TNFSF4"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.461167390255668,1,0.458135637016557,1.00505552269126,2867,23,"FCGR3A;FCGR2C;IL31RA;NPFF;FCGR1A;BTK;NPY;GATA3;FCER1G;FCGR2A"
"GOBP_ACYL_COA_METABOLIC_PROCESS",1,1,-0.175300643990155,-0.539675553146999,2738,100,"ACSL5;TDO2;ACSL6;SIRT4;BAAT;ACOT2;ACOT1;ACSS2;ACOT9;HMGCS1;OXSM;MVD;ACSL4;ACSF3;FASN;ACLY;PDK3;HMGCR;MVK;ELOVL2;PGK1;GPAT4"
"GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE",0.339322736696614,1,-0.659449155341106,-1.15017398978022,1472,6,"CD160;CD27"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.338952370177622,1,0.337337450789697,1.04462809375418,2995,402,"KDM5D;IL9R;MR1;ARG1;HAVCR2;AICDA;CD274;IL12B;CLEC7A;FCGR3A;ZAP70;SLC11A1;IGLV5-52;CD226;HLA-DRB5;CD209;EOMES;CD3E;FCRLB;C8G;ERAP2;CX3CR1;FCGR2C;BTLA;IL2RG;CLEC4D;RSAD2;XCL1;SH2D1A;TRAC;PSMB9;SASH3;HLA-DMB;CD8A;MYO1G;HLA-H;SIGLEC10;SLA2;FCGR1A;BTK;WAS;MEF2C;PRDM1;AIRE;PTPRC;CLEC6A;LILRA6;CD1C;CEACAM1;IL2RB;GATA3;RIPK3;BTN3A2;FCER1G;RFTN1;BTN3A3;IL17RB;TFEB;ULBP1;FCGR2A;IL6;CADM1;FOXP3;HPX;NFKB2;TNFSF13;CARD9;PRKCB;PSMB8;TAP1;MCOLN2;ERAP1;ALCAM;P2RX7;CLC;HLA-G;RAB27A;CD79B;RC3H1;PRKCQ;JAG1;BCL6;C4B;TNFRSF13C;LGALS9;HLA-F;IL18;TNFSF4;HLA-A;B2M;MASP2;HLA-DQB1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.0411980584823014,1,0.406790898103827,1.23492734134453,347,291,"KDM5D;IL9R;MR1;ARG1;HAVCR2;AICDA;CD274;IL12B;CLEC7A;FCGR3A;SLC11A1;CD226;FCRLB;C8G;FCGR2C;BTLA;IL2RG;RSAD2;XCL1;PSMB9;SASH3;CD8A;MYO1G;HLA-H;SLA2;FCGR1A;BTK;WAS;MEF2C;AIRE;PTPRC;CLEC6A;CD1C;CEACAM1;IL2RB;GATA3;RIPK3;BTN3A2;FCER1G;RFTN1;BTN3A3;IL17RB;ULBP1;FCGR2A;IL6;CADM1;FOXP3;HPX;NFKB2;TNFSF13;CARD9;PSMB8;P2RX7;CLC;HLA-G;RAB27A;RC3H1;PRKCQ;JAG1;BCL6;C4B;LGALS9;HLA-F;IL18;TNFSF4;HLA-A;B2M;MASP2"
"GOBP_ADENOSINE_METABOLIC_PROCESS",0.388088845496705,1,-0.547042394420174,-1.06910089777155,1589,10,"NT5C1A"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",0.952919020715631,1,0.315476584808228,0.57163334524224,5565,9,"GRM7;GRM5;GRIK3;GRM1"
"GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY",0.327770360480641,1,-0.724247100221288,-1.17138472568587,1472,4,"PYDC5"
"GOBP_ALANINE_METABOLIC_PROCESS",0.987769921651061,1,0.333210840816767,0.467974115728409,5168,2,"GPT;GPT2"
"GOBP_ALCOHOL_METABOLIC_PROCESS",0.987035739313245,1,0.254622917077708,0.777144084086161,8450,314,"APOA5;CUBN;APOBR;CYP3A4;SULT1A4;SCNN1B;IP6K3;TKTL1;LIPC;ADH6;MOGAT3;APOA2;BMP5;PTH1R;SDR9C7;CYP46A1;FMO5;ALDH1A1;GALR2;CH25H;SULT2B1;DHFRP1;AKR1D1;ACP3;CYP2C18;LHCGR;WNT4;SGPP2;PLPP2;TPK1;MTTP;AVPR1B;HSD17B6;AKR1C1;ACSS1;LIPA;SPHK1;RDH16;ALDH1A3;SYNJ1;PTAFR;DAB2;TTC39B;PPIP5K2;CFTR;NUDT4B;CYP27A1"
"GOBP_ALDEHYDE_METABOLIC_PROCESS",0.548693923906871,1,0.360821535011189,0.952748732907164,3864,71,"SCNN1B;ALDOB;ALDH8A1;BMP5;ALDH1A1;DHRS4L1;BCO2;WNT4;MGAT4A;AKR1C1;ALDH1A3;DAB2"
"GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS",0.80365296803653,1,-0.389955413779324,-0.742877528212613,3343,9,"GPD1;GPAT2;ACP6"
"GOBP_ALKALOID_METABOLIC_PROCESS",0.607357968419339,1,0.44322554755482,0.904841694473513,3730,16,"CYP3A4;PARP9;NMRK1;CES2;PARP10"
"GOBP_ALKANESULFONATE_METABOLIC_PROCESS",0.559150830337271,1,0.52452989728404,0.950431170815133,3265,9,"FMO1;GHR;CSAD;PTER"
"GOBP_ALLANTOIN_METABOLIC_PROCESS",0.578668509560009,1,-0.53313100569158,-0.929857004024284,2511,6,"NT5C1A"
"GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS",0.900931829328102,1,-0.263734395975073,-0.875431392158066,1836,192,"BHMT2;ASPA;IDO2;SDS;UROC1;TDO2;ACMSD;AMDHD1;HGD;NDP;GGT1;TAT;ASPG;KYNU;HDC;AZIN2;SIRT4;BAAT;IL4I1;KMO"
