"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT",0.000153092467850582,0.165339865278628,0.776665253817837,1.87899687196321,0,39,"RPS4Y1;RPSA2"
"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV",0.00157894736842105,0.568421052631579,-0.775288491904761,-1.78463262482868,5,20,"COX6A2;COX7A1"
"GOCC_SMALL_RIBOSOMAL_SUBUNIT",0.00142877553936277,0.568421052631579,0.616763218879169,1.63659676057161,9,72,"RPS4Y1;RPSA2"
"GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE",0.00294261893084846,0.794507111329083,0.80075197146377,1.64081566525147,17,16,"APOA5;APOBR;APOC4;APOA2;APOM"
"GOCC_CYTOSOLIC_RIBOSOME",0.00376344086021505,0.812903225806452,0.534361555460596,1.50041015767133,27,114,"RPS4Y1;RPSA2;RPL9;EIF2AK4;RNF25;LTN1;RPS28;RPL26L1;RPLP0P6;RPL13A;RPL39;RPL37;RPL41;RPL38;RPL30;RPS18;RPS3;RPS2;RPL31;RPL23A;RPS25;RPS27L;HBS1L;RPS19;RPS27;RPL32;EEF1A1;RPL39L;RPS11;RPL22;RPS3A;ISG15;RPL3;RPL36;RPL35;RPS15A;RPL37A;RPS24;RPL7A;RPL18A;RPL21;RPL15;RNF14;RPS16;RPS13;RPS27A;RPLP2;RPS7;RPS10;RPS20;RPS21;RPS12;RACK1;RPL27;RPL4;RPS17;NEMF;RPL6;RPL26"
"GOCC_CHYLOMICRON",0.00618238021638331,0.915512856739192,0.870221272552901,1.57768745535125,35,9,"APOA5;APOBR;APOA2"
"GOCC_CYTOCHROME_COMPLEX",0.00678157671658661,0.915512856739192,-0.640053640192074,-1.65447414738196,23,35,"COX6A2;COX7A1"
"GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",0.00577408877661494,0.915512856739192,0.445592290268116,1.34983810462726,47,279,"IL9R;MR1;CD22;CD274;CD163;PRND;LY6G6C;CUBN;GLRA1;GRIA2;FCGR3A;CD226;CXCR6;SCNN1B;UMODL1;CD209;CD3E;FCRLB;SLC22A11;F2;IL5RA;PLG;VCAM1;CX3CR1;FCGR2C;CD33;IL2RG;STAB2;CLEC4D;IL31RA;CCR4;ITGAM;CD8A;CDH5;ITGB2;HLA-H;LRRC24;P2RX1;ITGAX;FCGR1A;CCR8;ACKR2;PTPRC;BTN2A3P;CLEC6A;THBD;FAS;CD36;CD200R1;CD34;CD1C;IL2RB;SCNN1G;BTN3A2;EPHA5;MPL;FCER1G;GP1BA;BTN3A3;MASP1;ULBP1;FCGR2A;RTBDN;SPA17;GFRA3;ASGR2;CDH13;ITGB3;ERMAP;MOG;COLEC11;ACKR3;ALCAM;P2RX7;HLA-G;LY75;GFRA1;CD79B;GHR;ATP1B2;ITGA2;TNFRSF13C;RTN4RL2;HLA-F;ABCB1;ENPEP;HLA-A;B2M;MASP2;CXCR4;TNFRSF11A;ENG;MICB;MUC16"
"GOCC_MYOSIN_COMPLEX",0.008,0.96,-0.558367214327983,-1.56350587937526,25,54,"MYO16;MYL1;MYH7B;MYL2;MYH4;MYO7B;MYL4;MYO1A;MYH11;MYO3A;MYH7;MYO15A"
"GOCC_3M_COMPLEX",0.945203018325548,1,0.345304708134669,0.556711270202168,5260,5,"ANKRA2;CUL7"
"GOCC_90S_PRERIBOSOME",0.999683444127889,1,0.21938610818823,0.500005173374621,6315,28,"PWP2;RRP7BP;WDR12;WDR3;HEATR1;MPHOSPH10;TBL3;RRP36;UTP20;UTP4;SRFBP1;NOC2L;BMS1;UTP18;NOP14;NOL6;IMP4;TSR1;KRI1;WDR36;BOP1;SLX9;NOP9;UTP6;RRP7A;PES1;IMP3;NOC4L"
"GOCC_9PLUS0_MOTILE_CILIUM",0.926284941388638,1,-0.322042389145147,-0.545061563438142,4108,5,"CFAP45;DNAH5;DNAH11"
"GOCC_9PLUS0_NON_MOTILE_CILIUM",0.0555037934247305,1,0.449118024463499,1.27697816355045,416,130,"RHO;PDE6A;GUCA1ANB-GUCA1A;PDE6C;SAG;GUCY2F;PRLHR;CNGB1;IMPG1;CACNA1F;PDC;DRD5;GNAT2;GRK7;ATP1A4;GALR2;PRPH2;GRK1;TULP1;RP1L1;RGS9BP;CNGA1;NPFFR1;PCDHB13;CEP250;RAB27A;NPY2R;CRB1"
"GOCC_9PLUS2_MOTILE_CILIUM",0.216159366493442,1,0.371109219426412,1.10593460309995,1746,220,"PCDH11Y;RSPH6A;CFAP206;NME8;RHO;TMEM232;CIMAP1A;CFAP144;SSX1;SPMIP10;TCP11X1;CCDC38;ADGB;PACRG;C11orf42;FSIP2;CFAP61;TACR1;CST11;CATSPERE;RSPH14;CFAP210;CFAP43;FLACC1;DNAJB13;ENKUR;ATP1A4;TTC29;AKAP3;SPACA9;CFAP74;EFHB;SAXO1;CFAP77;CFAP90;GSTM3;IQUB;SLC9B1;DRC3;SAXO2;DNAH3;TEKT5;CFAP57;MYCBPAP;QRICH2;TEKT2;SPA17;CATSPERG"
"GOCC_A_BAND",0.1740125930166,1,-0.451760168447542,-1.18679305436089,607,38,"KLHL40;MYL2;MYOM3;MYL4;MYBPC3;CRYAB;TRIM63"
"GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",0.255083655083655,1,-0.531483301019717,-1.16272445799695,990,16,"CHRNA2;CHRNA1"
"GOCC_ACETYLTRANSFERASE_COMPLEX",0.999612102404965,1,-0.220710543804451,-0.688765518220972,2576,113,"POTEKP;POTEI;ACTL8;ACTL6B;ACTG1;RBBP7;ACTB;TAF12;NAA10;ASF1A;SGF29;MSL3B;NAA20;SUPT20HL2;ACTL6A;TAF5;PDHA1;ING5;MORF4L2;YEATS4;WDR5;TADA2A;BRPF1;MRGBP;DMAP1;ZZZ3;NAA15;SF3B5;VPS72;SUPT7L;KAT7;MCRS1;TAF5L;ENY2;RUVBL2;PDK2;HAT1;DLAT"
"GOCC_ACROSOMAL_MEMBRANE",0.0361940888256678,1,0.641475391134039,1.45420711301823,228,27,"EQTN;DCST2;TEX101;SPACA4;PKDREJ;IZUMO1;SPACA6;HYAL3;ATP8B3;PCSK4"
"GOCC_ACROSOMAL_VESICLE",0.888357256778309,1,-0.270117163866526,-0.848653191490564,2227,120,"GLIPR1L1;LY6K;PLA2G10;SPACDR;TSSK1B;SPAG17;ACRV1;TCP11X2;DPEP3;CATSPER4"
"GOCC_ACTIN_BASED_CELL_PROJECTION",0.991783891447778,1,0.252269704080319,0.749317697933601,7966,213,"CUBN;STRCP1;CDHR5;SLC10A2;VCAM1;FABP2;ERMN;SCIMP;CA9;ANKS4B;MYO1G;CLIC5;PDZD7;TSPEAR;ATP8B1;ACP3;CEACAM1;AOC3;MTTP;CDHR2;GPM6A;MORN4;PDGFA;PIEZO2;ITGB3;ADGRA2;CALB2;TENM2;HLA-G;ACTA2;CRB1;SYTL1;INPPL1;PLEKHG6;PKHD1L1;EPS8;SLC26A2;FOXA1;MYO3B;RIPOR2;USH1C;FZD3"
"GOCC_ACTIN_CYTOSKELETON",1,1,-0.205497445009549,-0.733149861169975,1019,476,"MYO16;FSCN2;POTEKP;MYL1;MYH7B;MYL2;MYOT;MYH4;MYO7B;PGM5;MYL4;CATIP;TMSB15C;POTEI;ARHGAP6;MYO1A;CRYAB;ACTL10;MYH11;VIL1;RAC2;TNNT3;IFIT5;USH1G;ACTL8;TNNC2;TNNI1;ACTC1;ANXA1;MYO3A;PDLIM4;LCP1;ACTG2;MYH7;CLDN5;MYO15A;AFAP1L1;LPP;NEXN;RCSD1;APC2;CALB1;PDLIM7;SPTBN5;ASB2;MTSS2;VCL;PKNOX2;ARSJ;MYH2;CNN1;CALD1;ARHGAP36;ZYX;GAS2;TAGLN2;ACTG1;FGR;ACTB;INF2;DAPK1;IPP;CAPN2;ABLIM1;TPM2;CNN2;SHROOM2;DLC1;CASK;SYNPO"
"GOCC_ACTIN_FILAMENT",0.979865771812081,1,-0.252098072531223,-0.790398917052712,2481,118,"POTEKP;TMSB15C;POTEI;ARHGAP6;MYO1A;RAC2;ACTL8;ACTC1;ANXA1;MYO3A;PDLIM4;LCP1;RCSD1;APC2;PDLIM7;GAS2;ACTG1;ACTB;INF2;TPM2"
"GOCC_ACTIN_FILAMENT_BUNDLE",0.939513242662849,1,-0.263710953479036,-0.801154707708055,2624,93,"PGM5;CRYAB;VIL1;PDLIM4;LCP1;MYH7;AFAP1L1;LPP;PDLIM7;ASB2;CALD1;ZYX;GAS2;ABLIM1;CNN2;SYNPO;BAG3;GAS2L1;PXN"
"GOCC_ACTIVIN_RECEPTOR_COMPLEX",0.920782851817335,1,-0.315491982927673,-0.572605910680099,3951,7,"ACVR1B;TGFBR1;TGFBR2;ACVR1;ACVR2A;ACVR1C;ACVR2B"
"GOCC_ACTOMYOSIN",1,1,-0.202809906897428,-0.614539173307194,2826,91,"PGM5;PDLIM4;LCP1;MYH7;AFAP1L1;LPP;PDLIM7;ASB2;CALD1;ZYX;GAS2;ABLIM1;CNN2;SYNPO;BAG3;GAS2L1;PXN;FSCN1;DBN1;FHOD1;TRIP6;SHROOM4;MYLK;TLNRD1;SEPTIN9;ACTN4;CORO1B;PRICKLE4;SH2B2"
"GOCC_ADHERENS_JUNCTION",1,1,-0.189567081038089,-0.627817681163951,2056,195,"CDH10;PGM5;CDH19;TMEM204;TRIM29;ARHGAP24;ESAM;CDH17;PTPRM;CDH18;CDH15;DCHS2;DLG2;PKP1;ANXA1;PDLIM4;LYN;NEXN;FRMD4A;PDLIM7;CDH6;VCL;FAT2;ZYX;ACTB;MAGI1;WTIP;SHROOM2;MPP3;AJUBA"
"GOCC_AGGRESOME",0.38863901382642,1,0.558390119555408,1.07855215814307,2332,12,"UBD;HDAC6;PSEN1;TRIM37"
"GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX",0.755866900175131,1,0.456751760374551,0.786722198687447,4315,7,"CD3E;TRAC;TRBC2"
"GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",0.442741208295762,1,-0.629430558916856,-1.06532064126607,1963,5,"POLA1"
"GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX",0.995287617809555,1,0.232997384212956,0.488048634292487,6124,18,"PDK1;DHTKD1;BCKDHB;OGDHL;KAT2A;BCKDHA;DBT;PDHX;PDHB;OGDH;ABHD11;DLD;KGD4;DLST;BCKDK;DLAT;PDK2"
"GOCC_ALVEOLAR_LAMELLAR_BODY",0.182432432432432,1,-0.721298489384216,-1.30912923540347,782,7,"SFTPB;NAPSA"
"GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX",0.943377646479567,1,-0.300696073529977,-0.604857940627394,3831,11,"RARS1;KARS1;AIMP2;EEF1E1;MARS1;QARS1;EPRS1;AIMP1;IARS1;LARS1;DARS1"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.490223904131189,1,0.427303686027201,0.980097633009776,3108,29,"GRIA2;CACNG3;VWC2;GRID1;OLFM3;SHISA6;CACNG8"
"GOCC_AMPHISOME",0.94752774974773,1,-0.29666099415798,-0.619323498464903,3755,13,"LRRK2;CHMP6;CHMP1A;CHMP4B;CHMP4A;CHMP2B"
"GOCC_ANAPHASE_PROMOTING_COMPLEX",0.155128205128205,1,0.576381965518244,1.25357581488308,967,22,"CDC20B;ANAPC11"
"GOCC_ANCHORING_JUNCTION",1,1,0.201095353534808,0.643176040481432,9570,854,"HAVCR2;SGCA;CDH12;FBP2;RHO;CLDN34;ZAP70;GJA10;GJA9;CD3E;CLDN20;CCDC85A;FYB1;KCNA1;CLDN16;JAML;CDH20;PEAK3;ILDR2;GJD4;TRIM15;CDH5;GJB2;ITGB2;ARHGAP31;IGSF5;AKAP6;LPXN;FAM107A;MLC1;WAS;NPHS1;PTPRC;SCN4B;SRCIN1;CAV3;CEACAM1;CDH8;FBLN7;CLDN9;XIRP2;PARD3B;CDHR2;WNK4;DSG3;DLL1;HMCN1;NECTIN4;PKP3;LRRC7;FAT4;NRP1;CDH11;CADM1;TRPC6;KIRREL3;EFNA1;MYZAP;COL17A1;ACTN3;CDH13;ITGB3;LAMA3;TNS4;FRMD1;DAB2;SH3KBP1;CALB2;ALCAM;DDR2;P2RX7;CTNNA3;TENM2;APBB1IP;PRAG1;RIGI;ASH1L;CCN3;EPB41L3;ITGA2;CRB1;HPN;RHOU;CLDN4;JAG1;PLPP3;LAYN;SORBS2;DPP4;CLDN23;CLDN18;CDHR3;KLHL24;B2M;PDPK1;CXCR4;GJA5;FXYD1;ENG;FMN1;DSP;TJP3;AHNAK;FBF1;TLN2;CRB2;THSD1;MME;TMEM114;PDLIM3;SLC8A3;AJAP1;GJA3;PIK3R1;FERMT3;DIXDC1;EVPL;L1CAM;CLDN15;AVIL;PRKCG;LMO7;ANK2;RPL9;CGN;FAT3;S100A11;ADA"
"GOCC_ANKYRIN_1_COMPLEX",0.276083467094703,1,0.712707370861332,1.18839015587345,1547,6,"RHAG;GYPB;SLC4A1;ANK1;RHCE"
"GOCC_ANNULATE_LAMELLAE",0.47204688908927,1,-0.611020537950605,-1.03416140524925,2093,5,"EIF5A;TNPO3;BICD2;XPO1"
"GOCC_AP_1_ADAPTOR_COMPLEX",0.480987975300617,1,0.475881536364116,0.996806615198913,2959,18,"SLC18A3;AP1S1;SYNRG;CLBA1"
"GOCC_AP_2_ADAPTOR_COMPLEX",0.586040313176745,1,0.477299934341876,0.921923322489758,3517,12,"SLC18A3;TBC1D5;BTBD8"
