"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV",0.00157811678064177,0.265123619147817,-0.775288491904761,-1.80159997213384,5,20,"COX6A2;COX7A1"
"GOCC_EXCITATORY_SYNAPSE",0.0261877504293074,0.956810631229236,0.535753770479417,1.40703141112659,182,68,"NLGN4Y;UNC13C;GRIA2;CACNG3;SLC17A8;CNTN6;CBLN3;ADCY8;PLXNC1;SYNDIG1;GPM6A;ATP2B3;PDE4B;SLC16A7;SHISA6;CALB2"
"GOCC_INHIBITORY_SYNAPSE",0.0270226273807586,0.956810631229236,0.705896051288761,1.49780548241303,165,19,"NLGN4Y;GLRA1;GAD1;IQSEC3;SLC32A1"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",0.0284765068818225,0.956810631229236,-0.381464091991978,-1.2610449177014,59,180,"MRPL23;SLC25A31;PPIF;LYRM4;MPC1;APOO;MRPS18A;MICU3;MRPL19;MRPL13;MCUB;TIMM13;ISCA1;FXN;MTX2;MRPS6;PMPCA;PRORP;MICOS10;NDUFAF1;ISCA2;TOMM5;TOMM40L;MRPL12;MRPS31;MRPS9;MRPL20;MRPL58;MRPL42;MUL1;MRPS16;TRABD;TIMM22;TOMM40;MRPL30;IMMP2L;MRPS12;MRPL46;TIMM8B;TIMM17A;AFG3L2;MRPS10;GRPEL1;TOMM7;CHCHD10;TIMM9;MRPS23;TIMM23;TIMM44;MRPS18C;MRPL2;MRPS2;MRPL54;AURKAIP1;POLG;MRPL34;GADD45GIP1;PAM16;MRPL36;VDAC1;MRPS22;MRPL32;MRPL39;MRPS7;CHCHD3;TOMM70;MRPL3;MRPL4;MRPL21;TRMT10B;MRPL24;MRPL38;MRPS34;CHCHD6;TRMT10C;MRPL9;TIMM29;NDUFAB1;MRPS30;MRPL43;UQCRC1;MRPL27;POLRMT;MRPL47;MRPL52;ROMO1;MRPL28;MRPL16;MFN1;HSPA9;MRPS26;MRPL55;MRPS24;PHB2;TIMM8A;MRPS14;COA1;TIMM10B;IMMT;SAMM50;SLC25A5;MRPS27;DNAJC19;NFS1;MRPS25;MRPL50;MRPL57;MRPL15;PHB1;PMPCB;MRPS15;CLPX;MRPS28;MICOS13;MRPL18;MRPS5;CHCHD1;MRPS17;PDSS1;TIMM23B"
"GOCC_PROTEIN_LIPID_COMPLEX",0.0276648952797749,0.956810631229236,0.644633853083149,1.47876229831941,176,29,"APOA5;APOBR;APOC4;SAA1;MSR1;LIPC;APOA2"
"GOCC_ACROSOMAL_MEMBRANE",0.0363321799307958,1,0.641475391134039,1.45250966929814,230,27,"EQTN;DCST2;TEX101;SPACA4;PKDREJ;IZUMO1;SPACA6;HYAL3;ATP8B3;PCSK4"
"GOCC_ACROSOMAL_VESICLE",0.891417165668663,1,-0.270117163866526,-0.852109912270689,2232,120,"GLIPR1L1;LY6K;PLA2G10;SPACDR;TSSK1B;SPAG17;ACRV1;TCP11X2;DPEP3;CATSPER4"
"GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",0.491090965926852,1,0.427303686027201,0.980216254246945,3141,29,"GRIA2;CACNG3;VWC2;GRID1;OLFM3;SHISA6;CACNG8"
"GOCC_APICAL_DENDRITE",0.435617776330783,1,0.483701170389389,1.02634129137869,2675,19,"SLC17A8;SEZ6;CPEB3;SLC4A10;HCN1;NEGR1"
"GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE",0.146305659761866,1,0.613378215024685,1.28657573040858,896,18,"NLGN4Y;PLXNC1;SHISA6;ADGRB3;C1QL2"
"GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX",0.119922630560928,1,-0.733403574938745,-1.36978646953132,495,8,"ABCG8"
"GOCC_ATPASE_COMPLEX",0.997847610848041,1,-0.231684107034171,-0.750321340657007,2317,150,"EP400P1;MYOD1;CHD5;SPAAR;ACTL6B;ATP6V0A4;PEX26;VMA12;DPF1;RB1;RBBP7;ACTB;AFG2B;NCR1;ATP6V1C1;DERL2;INO80;SMARCA1;SMARCA4;ACTL6A;ATP6V0A2;CDK2AP1;SMARCE1;AIRIM;ATP6V1D;ATP6V1E1;DMAP1;BICRA;DPF2;BCL7A;UBXN6;VPS72;BCL7C;MCRS1;BRD7"
"GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX",0.99282686664493,1,-0.236038099513984,-0.673491317075004,3044,61,"ABCG8;PLN;FXYD2;SPAAR;ATP6V0A4;CHP2;VMA12;FECH;ATP6V1C1;ABCC8;ATP1A3;TESC;SLC9A3;ABCB7"
