"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_PROTEIN_DEMETHYLASE_ACTIVITY",0.000153798831128883,0.287450015379883,0.769478882374309,1.79881293141599,0,33,"UTY;KDM5D;KDM6B"
"GOMF_HISTONE_H3_DEMETHYLASE_ACTIVITY",0.000315457413249211,0.294794952681388,0.798073785678288,1.79199137209242,1,26,"UTY;KDM5D;KDM6B"
"GOMF_DEMETHYLASE_ACTIVITY",0.000903750564844103,0.563036601897876,0.705126377960545,1.73011406627024,5,44,"UTY;KDM5D;KDM6B"
"GOMF_HISTONE_DEACETYLASE_REGULATOR_ACTIVITY",0.00136116152450091,0.636002722323049,-0.960412440869302,-1.61659398007963,5,5,"UCN;HOPX"
"GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY",0.72135835567471,1,0.519021836169999,0.829347598918478,4035,5,"PYGL;TYMP;PYGM;PYGB"
"GOMF_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY",0.877420470262794,1,0.387150358323468,0.683639209265811,5074,8,"TAFAZZIN;MBOAT2;LPCAT4;MBOAT1;LPCAT1;PRDX6;LPCAT2"
"GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY",0.0502607871028924,1,-0.796858548298394,-1.48561710595424,211,8,"PLA2G10;ASPG"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY",0.963372494816862,1,0.30636416073832,0.553254260441435,5575,9,"PIK3CD;PIK3C3;PIK3R3;PIK3C2B;ATM;PIK3CA"
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY",0.906343877010072,1,0.381979853089194,0.632742270969639,5128,6,"PIK3R6;PIK3R5;PIK3R1"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_ACTIVITY",0.664251634564411,1,0.534652032601589,0.885640796369092,3758,6,"PIK3R6;PIK3CD"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY",0.964304647464216,1,0.306328821900954,0.507427794595763,5456,6,"PIK3CD;PIK3C2B;PIK3CA;PIK3C2A;PIK3CB;PIK3C2G"
"GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY",0.315614617940199,1,-0.598397902374212,-1.14773997533248,1329,9,"PIPSL"
"GOMF_1_PHOSPHATIDYLINOSITOL_BINDING",0.997680583167661,1,0.219431516596792,0.440951453577133,6021,15,"SCIN;SNAP91;WDFY3;ZFYVE1;ZFYVE16;WDFY1;EPB41;ZFYVE9;FRMPD2;EEA1;SESTD1;SCARB1;PICALM;SNX9;SNX10"
"GOMF_11_CIS_RETINAL_BINDING",0.0520107238605898,1,0.861382154648943,1.37640687139671,290,5,"RHO;RLBP1;ABCA4"
"GOMF_14_3_3_PROTEIN_BINDING",0.998312710911136,1,-0.199361120732787,-0.502144063817822,3549,31,"PRKCE;AANAT;NFATC2;FOXK1;YWHAQ;ZFP36L1;TP53;ZFP36;AKT1;TBC1D22B;HDAC7;TMCC3;DAB2IP;KLHL22;PPP1R12A;TBC1D22A;KSR1;RPTOR;SRPK2;PI4KB;NEK1;RIPOR1;IRS2;SYNPO2;RBM7;SIK1;RIPOR2;KIF13B;DDIT4;HLA-F;CFTR"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY",0.682931188561215,1,0.543131933502429,0.867873244544285,3820,5,"HSD17B6;AKR1C3;HSD17B8"
"GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.350877192982456,1,-0.601696773570392,-1.12176875221136,1479,8,"SRD5A2"
"GOMF_2_ACYLGLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY",0.89202657807309,1,-0.343433955008652,-0.65871367109751,3758,9,"CRLS1;LPCAT3;MBOAT7;LPGAT1;LPCAT2;LPCAT1;MBOAT1;LPCAT4;MBOAT2"
"GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY",0.30924191553278,1,0.702963542201226,1.16444557089613,1749,6,"MOGAT3;MOGAT1"
"GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING",0.793399889073766,1,-0.328998904261842,-0.81071248667587,2860,28,"AIFM3;FECH;AOX1;ISCA1;FXN;BOLA2B;ISCA2;SDHB;XDH;NDUFV2;SLC25A39;NFU1;GLRX5;FDX2;FDX1"
"GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY",0.00780685268179847,1,0.587369301982035,1.52881723629964,53,65,"UTY;KDM5D;KDM6B;TET2;P4HTM;METTL4;HSPBAP1;PHF8;KDM5A"
"GOMF_3_5_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY",0.15673430260425,1,0.580158199738451,1.26383702401721,980,22,"PDE6A;PDE6C;PDE4C;PDE11A;PDE4B;PDE10A"
"GOMF_3_5_DNA_EXONUCLEASE_ACTIVITY",0.531037827352085,1,0.446693601151336,0.95265442122223,3284,20,"NME8;EXO5;RAD9A"
"GOMF_3_5_DNA_HELICASE_ACTIVITY",0.936126196017585,1,-0.29473590875512,-0.664303079929415,3619,18,"HFM1;WRN;MCM5;MCM2;MCM6"
"GOMF_3_5_EXONUCLEASE_ACTIVITY",0.98990637799883,1,0.250952778894901,0.645371263131592,6766,60,"NME8;EXO5;APLF;RAD9A;PAN2;PNLDC1;CNOT6;CNOT6L;MRE11;PAN3;CNOT1;CNOT7;SUPV3L1;PNPT1;EXD1;NME7;TRIR;DIS3;ERI2;CNOT8;MYG1;EXOSC7;EXD3;EXOSC5;USB1;EXOSC4;APEX1;TATDN1;APEX2;EXOSC10;TATDN3;DIS3L2;POLRMT;ERI1;POLD1;PDE12;EXD2;HELZ2;ISG20;REXO2;RAD50;EXOSC2;POLG;REXO4;DIS3L;ISG20L2;EXOSC9;CNOT2;TOE1;NME1;PARN;POLE;ERI3;NME5;NOCT;WRN;TREX2;EXOSC3;MEIOB;TREX1"
"GOMF_3_5_RNA_HELICASE_ACTIVITY",0.850827423167849,1,-0.374091590725574,-0.674341798342963,3598,7,"YTHDC2;SKIC2;DHX9;DHX40;SUPV3L1;AQR;DHX38"
"GOMF_3_BETA_HYDROXYSTEROID_3_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.778019586507073,1,0.504912312425786,0.779369168289498,4289,4,"CBR3;DHRS11"
"GOMF_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY",0.243194192377495,1,-0.739846707120128,-1.24533136183614,1071,5,"ALDH1A2;ALDH3B2;ALDH3A1"
"GOMF_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY",0.85465808911127,1,-0.358812628707044,-0.704834563699406,3586,10,"HACD4;EHHADH;HTD2;ECHS1"
"GOMF_3_OVERHANG_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY",0.891787658802178,1,-0.355530777807682,-0.59843968141094,3930,5,"ERCC1;SND1;ERCC4;ASTE1;XRCC1"
"GOMF_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING",0.84352773826458,1,-0.373515780417251,-0.696361272545355,3557,8,"HS3ST5;CHST15;SULT1A1"
"GOMF_3S_3_HYDROXYACYL_COA_DEHYDROGENASE_NADPLUS_ACTIVITY",0.481464425512319,1,-0.580357402473219,-1.01589361975218,2090,6,"EHHADH;HADH"
"GOMF_4_GALACTOSYL_N_ACETYLGLUCOSAMINIDE_3_ALPHA_L_FUCOSYLTRANSFERASE_ACTIVITY",0.54121732772802,1,0.681469063323913,1.00168909068729,2960,3,"FUT3;FUT9"
"GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING",1,1,0.17249982945553,0.424836836246048,6655,45,"RSAD2;DPYD;REV3L;EXO5;DNA2;CIAO3;NUBPL"
"GOMF_5_3_DNA_EXONUCLEASE_ACTIVITY",0.179943100995733,1,-0.699074697627042,-1.30331453600171,758,8,"PLD4"
"GOMF_5_3_DNA_HELICASE_ACTIVITY",0.947318462268628,1,-0.293597385118247,-0.563126064139457,3991,9,"TWNK;BRIP1;PIF1;HELB;ERCC2;DDX11;IGHMBP2;DNA2;ZGRF1"
"GOMF_5_3_EXONUCLEASE_ACTIVITY",0.234795996920708,1,-0.53099016858963,-1.18218047152378,914,17,"PLD4"
"GOMF_5_ALPHA_ANDROSTANE_3_BETA_17_BETA_DIOL_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.647805585781647,1,0.587217921992748,0.906413910307335,3571,4,"HSD17B6;AKR1C1;AKR1C3"
"GOMF_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY",0.584874348032243,1,-0.489244032897747,-0.912118350002013,2466,8,"HMGA1;HMGA2;POLG;XRCC6;XRCC5"
"GOMF_5_N_7_METHYLGUANOSINE_5_TRIPHOSPHO_MRNA_HYDROLASE_ACTIVITY",0.97512353041404,1,0.284789864845296,0.536834917714021,5722,11,"DCP1A;NUDT7;DCP1B;DCP2;NUDT3"
"GOMF_5S_RRNA_BINDING",0.893367786391042,1,0.366982002768805,0.676821440106988,5185,10,"MDM2;NOP53;EEF2;RPL5;RPF2;RPL11"
"GOMF_7S_RNA_BINDING",0.552245862884161,1,-0.521440487243613,-0.939954611689299,2335,7,"SRP9;EXOSC2;SRP19;SRP14;SRP68"
"GOMF_7SK_SNRNA_BINDING",0.903248099516241,1,0.362704759500887,0.654998133569716,5227,9,"CELF3;CCNT1;LARP7"
"GOMF_ABC_TYPE_GLUTATHIONE_S_CONJUGATE_TRANSPORTER_ACTIVITY",0.243954480796586,1,-0.659505551234337,-1.22954410224714,1028,8,"ABCC11;ABCC2;ABCC3"
