"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING",0.784576697401509,1,-0.328998904261842,-0.815547289990261,2807,28,"AIFM3;FECH;AOX1;ISCA1;FXN;BOLA2B;ISCA2;SDHB;XDH;NDUFV2;SLC25A39;NFU1;GLRX5;FDX2;FDX1"
"GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING",0.999851101846337,1,0.17249982945553,0.427964765745317,6714,45,"RSAD2;DPYD;REV3L;EXO5;DNA2;CIAO3;NUBPL"
"GOMF_5_ALPHA_ANDROSTANE_3_BETA_17_BETA_DIOL_DEHYDROGENASE_NADPPLUS_ACTIVITY",0.654682725148301,1,0.587217921992748,0.902028642251203,3641,4,"HSD17B6;AKR1C1;AKR1C3"
"GOMF_ABC_TYPE_GLUTATHIONE_S_CONJUGATE_TRANSPORTER_ACTIVITY",0.242771804062127,1,-0.659505551234337,-1.22884119378178,1015,8,"ABCC11;ABCC2;ABCC3"
"GOMF_ACROSIN_BINDING",0.522964318389753,1,0.689289565207375,1.014285656041,2857,3,"ZP2;SERPINA5"
"GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",0.774835583246798,1,0.457943415839574,0.780767290823863,4476,7,"ATP8B1;ATP11A;ATP8A1;TMEM30A;TMEM30B"
"GOMF_AMPA_GLUTAMATE_RECEPTOR_ACTIVITY",0.368964310706788,1,0.679190770867629,1.12374967891106,2108,6,"GRIA2;GRID1;GRIA1"
"GOMF_ANDROSTAN_3_ALPHA_17_BETA_DIOL_DEHYDROGENASE_NADPLUS_ACTIVITY",0.149013499480789,1,0.752160130950788,1.28238993595204,860,7,"HSD17B6;AKR1C1;RDH16;RDH5;AKR1C3;AKR1C2"
"GOMF_ATP_ACTIVATED_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY",0.394286721918533,1,0.691490892009966,1.1052616205218,2235,5,"ABCC9;KCNJ11"
"GOMF_ATP_ADP_ANTIPORTER_ACTIVITY",0.461094435465251,1,-0.625966876865953,-1.05240920003492,1996,5,"SLC25A31"
"GOMF_ATP_DEPENDENT_ACTIVITY",1,1,0.158931516833265,0.50094135709806,9167,557,"DDX3Y;PMS2P1;DDX4;ATP13A4;ABCA12;ABCB5;ABCA10;ATP4B;ABCC9;ATP6V0D2;MYH15;ACSM6;KIF4B;MYO1G;ABCD2;ATP1A4;PMS2P6;ATP8B1;ATP2A1;KIF19;IFIH1;ACSM1;MYH3;SMC1B;NAV3;ATAD3C;CARNS1;ATP2B3;DNAH3;ACSS1;CHD3;ABCA3;DDX60L;SMARCA2;TAP1;RAD51D;STARD9;KIF12;CFTR;RIGI;KIFC2;DDX60;SLC36A1;DNAH7;KATNAL2;ABCB1;ATP8B3;MYH6;TDRD12;KIF13B;ATP10D;SLFN11;ATP2A3;RNF213;KIF26B;MYO3B;ABCA4;NTPCR;DMC1;ATAD3B;TAP2;ATP11A;KIF3A;DNHD1;MYH14;VWA8;KIF25;SMPDL3A;CHRNA4;ABCA7;MYO6"
"GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA",1,1,0.169316690167181,0.476121790162136,7502,119,"PMS2P1;PMS2P6;CHD3;SMARCA2;RAD51D;DMC1;CHRNA4;PMS2P3;FANCM;NAV2;MLH3;ZGRF1;DNA2;HELQ;HLTF;CECR2;XRCC3;RSF1"
"GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_RNA",0.149719101123596,1,0.448923350989805,1.19862716389566,1065,76,"DDX3Y;DDX4"
"GOMF_ATP_DEPENDENT_CHROMATIN_REMODELER_ACTIVITY",0.999455930359086,1,-0.185718565637407,-0.451417022310898,3673,25,"CHD5;INO80;SMARCA1;SMARCA4;CHD7;MORC2"
"GOMF_ATP_DEPENDENT_DIACYLGLYCEROL_KINASE_ACTIVITY",0.890357317670093,1,-0.334770900228521,-0.675444948220525,3637,11,"DGKG;DGKK"
"GOMF_ATP_DEPENDENT_DNA_DAMAGE_SENSOR_ACTIVITY",0.615753315226074,1,0.416816647577777,0.902346338204057,3853,21,"PMS2P1;PMS2P6;RAD51D;DMC1;PMS2P3;MLH3"
"GOMF_ATP_DEPENDENT_DNA_DNA_ANNEALING_ACTIVITY",0.607942738397599,1,-0.537476334991441,-0.903634138882993,2632,5,"SMARCA1;RAD54L;TP53"
"GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY",0.518465909090909,1,-0.540694568737093,-0.975623017554653,2189,7,"LONP2;AFG3L2;LONP1;CLPX;CLPP;SPG7"
"GOMF_ATP_DEPENDENT_PROTEIN_BINDING",0.800899621212121,1,-0.400853616334064,-0.723295622663623,3382,7,"DNAJC5;DDX39B;SAE1;HSP90AB1;PLK2;PRNP;STX1A"
"GOMF_ATP_DEPENDENT_PROTEIN_DISAGGREGASE_ACTIVITY",0.26598226784881,1,-0.70557949218304,-1.23083390286052,1139,6,"HSPA8;CLPB;HSPA1A;HSPA1B"
"GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE",0.0401618029471251,1,-0.559767582584551,-1.44560834008403,138,34,"HSPA6;HSP90B2P;HSP90AA2P;HSPA7;HSPA2;HSPA8;HSPA1A;HSPH1;HSPA1B;HSP90AB3P;HSPA1L;CCT2;HSP90AA1;HSPA4L;TRAP1;HSPA4;HSPD1;CCT7;CCT4;HSP90AB1;CCT6A;HSPA9;CCT3"
"GOMF_ATP_GATED_ION_CHANNEL_ACTIVITY",0.274883960804538,1,0.671387824973673,1.18173861252224,1598,8,"P2RX1;P2RX7;CFTR;P2RX3;P2RX2;P2RX4"
"GOMF_ATP_HYDROLYSIS_ACTIVITY",1,1,0.204008567864493,0.631918873421829,8799,387,"DDX3Y;PMS2P1;DDX4;ATP13A4;ABCA12;ABCB5;ABCA10;ABCC9;ABCD2;ATP1A4;PMS2P6;ATP8B1;ATP2A1;KIF19;IFIH1;MYH3;SMC1B;NAV3;ATAD3C;CARNS1;ATP2B3;CHD3;ABCA3;DDX60L;SMARCA2;TAP1;KIF12;CFTR;RIGI;KIFC2;DDX60;KATNAL2;ABCB1;ATP8B3;TDRD12;KIF13B;ATP10D;SLFN11;ATP2A3;RNF213;ABCA4;NTPCR;ATAD3B;TAP2;ATP11A;KIF3A;VWA8;KIF25;SMPDL3A;ABCA7"
"GOMF_ATP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.980401885388241,1,-0.249566344190624,-0.533591839972223,3951,14,"SLC25A31;SLC25A24;SLC25A25"
"GOMF_ATPASE_ACTIVATOR_ACTIVITY",0.998904709748083,1,0.205961172412484,0.466978085626011,6383,27,"ATP4B;AHSA2P;ATP1B2;ATP1B1;DNAJC24"
"GOMF_ATPASE_BINDING",1,1,-0.147493645793984,-0.441222209515185,2797,83,"PLN;TRPC5;ATP6V0A4;PGR;PEX26"
