"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",0.000513610683102209,0.0256805341551104,-0.489798593094179,-1.63319157219431,0,200,"MRPL23;U2AF1;EIF1AX;MYC;SRSF2;ODC1;IFRD1;NOP16;MCM5;HPRT1;PSMD14;PGK1;EIF2S1;CSTF2;PRPS2;PSMC4;KPNB1;NME1;PWP1;CDC45;SRSF1;SNRPB2;HDDC2;HDGF;MCM2;PSMA7;CLNS1A;RSL1D1;SF3A1;PSMD3;PSMB2;PRPF31;UBA2;MCM6;YWHAQ;TRIM28;SNRPG;CCT2;H2AZ1;NHP2;HNRNPC;HNRNPU;COX5A;CYC1;G3BP1;GLO1;PSMA6;TRA2B;STARD7;RUVBL2;COPS5;MAD2L1;PRDX4;NCBP1;SSBP1;SNRPA1;VDAC1;RRP9;SSB;TFDP1;EIF4E;EIF3J;PSMA1;C1QBP;CUL1;TOMM70;ABCE1;XRCC6;DDX18;HNRNPA2B1;PSMB3;NPM1;PA2G4;ERH;BUB3;SERBP1;LSM7;MCM4;KARS1;PSMD1;HNRNPD;UBE2L3;LSM2;MCM7;CDK2;AIMP2;PCBP1;RANBP1;SRM;RNPS1;FBL;HSPD1;PCNA;MRPL9;PSMD8;DDX21;EIF4G2;NDUFAB1;CCT7;PTGES3;CCT4;CDC20;PRDX3;HSP90AB1;KPNA2;SF3B3;GSPT1;EIF4H;EIF2S2;EIF4A1;CNBP;CCNA2;PSMC6;CTPS1;SYNCRIP;CCT3;HDAC2;NCBP2;ORC2;EIF3B;POLE3;SNRPD1;PHB2;ILF2;SET;SNRPD3;RAN;XPO1;POLD2;PSMA4;GOT2;EPRS1;HNRNPA3;TUFM;CCT5;TARDBP;XPOT;UBE2E1;PSMD7;TYMS;SNRPD2;HNRNPR;RFC4;EEF1B2;SRSF7;LDHA"
"HALLMARK_MYC_TARGETS_V2",0.0214494637634059,0.536236594085148,-0.511295148716083,-1.45145243632577,65,58,"MYC;TMEM97;RABEPK;GRWD1;SLC29A2;PPAN;MRTO4;SORD;NOP16;MCM5;NOC4L;PES1;WDR74;DCTPP1;RCL1;SLC19A1;DUSP2;HK2;TFB2M;TCOF1;TBRG4;BYSL;LAS1L;NIP7;NOP2;RRP9;PUS1;FARSA;DDX18;NPM1;PA2G4;IMP4;MCM4;UNG;AIMP2;SRM;HSPD1;PLK1;PPRC1;NDUFAF4;MYBBP1A;WDR43;IPO4;UTP20"
"HALLMARK_ADIPOGENESIS",1,1,-0.202211606983043,-0.671825692164862,1997,194,"CDKN2C;COL15A1;C3;LEP;CIDEA;ANGPT1;LIPE;MGLL;PTGER3;COQ3;CAVIN2;GADD45A;SULT1A1;DHRS7;CYP4B1;REEP6;ACLY;STAT5A;SLC25A1;SOWAHC;UBC;GPAT4;SLC5A6;CD302;GBE1;COX7B;SLC1A5;SDHB;HADH;VEGFB;SNCG;QDPR;FAH;DHCR7;SLC19A1;AIFM1;IDH1;PREB;DDT;GRPEL1;APOE;SCARB1;CHCHD10;PIM3;ESYT1;MYLK;ARL4A;ELOVL6;ECHS1;TANK;GHITM;TKT;CYC1;JAGN1;ACADM;UCP2;PLIN2;ADIPOR2"
"HALLMARK_ALLOGRAFT_REJECTION",0.498452012383901,1,0.3424575814164,0.986463046918858,3863,158,"GZMB;IL12B;ZAP70;SRGN;CD96;CD3E;CCL22;F2;IL7;FYB1;IL2RG;HLA-DMB;CD8A;ITGB2;CCL5;IL15;LTB;INHBA;WAS;PTPRC;FAS;IL2RB;TLR6;IRF8;IL6;SPI1;PRKCB;TAP1;HLA-G;LY75;IL18;CCND2;HLA-A;B2M;HLA-DRA;CCL2;TAPBP;STAT4;PF4;PRKCG;RPL9;TAP2;HLA-DOA"
"HALLMARK_ANDROGEN_RESPONSE",0.999728482215585,1,0.214836788186079,0.589958152823864,7363,99,"KLK3;TARP;STEAP4;SPDEF;HPGD;ALDH1A3;H1-0;B2M;SLC26A2;ZBTB10;GPD1L;TMPRSS2;INPP4B;SELENOP;MAF;APPBP2;MERTK;ITGAV;TMEM50A;LMAN1;PLPP1;CCND1;LIFR;DNAJB9;SPCS3;SGK1;IQGAP2;CDK6;PIAS1"
"HALLMARK_ANGIOGENESIS",0.966995768688293,1,-0.264250070309165,-0.67791080131389,3427,33,"PRG2;COL3A1;PGLYRP1"
"HALLMARK_APICAL_JUNCTION",0.998502807236432,1,0.235581713825277,0.693287997691342,8002,195,"CD274;ADRA1B;CD209;FYB1;VCAM1;AMH;PTPRC;CD34;CDH8;CLDN9;ITGA10;WNK4;NECTIN4;CDH11;COL17A1;ACTN3;LAMA3;MADCAM1;CALB2;ITGA2;CLDN4;LAYN;CLDN18;FBN1;INPPL1;MAPK13;CLDN15;VCAN;SGCE;EPB41L2;SLIT2;NEGR1;CX3CL1;ICAM2;ACTN2;THBS3;AMIGO1;RRAS;GTF2F1;CLDN19;CERCAM;TRAF1;ITGB4;CNTN1;EGFR;PCDH1;PKD1;ITGA3;TJP1;ITGA9"
"HALLMARK_APICAL_SURFACE",0.661702767749699,1,0.36237779431136,0.884568770955435,4398,42,"SLC34A3;IL2RG;RTN4RL1;ATP8B1;IL2RB;GSTM3;GATA3"
"HALLMARK_APOPTOSIS",0.489713541666667,1,0.345456405569498,0.989449301352955,3760,151,"GSTM1;EGR3;F2;AVPR1A;FAS;CASP4;DPYD;TNFSF10;IL6;TAP1;IL1A;TXNIP;H1-0;IL18;CCND2"
"HALLMARK_BILE_ACID_METABOLISM",1,1,0.194242498833976,0.531470568878398,7320,96,"ALDH8A1;DIO2;CYP46A1;ABCD2;ALDH1A1;CH25H;SULT2B1;AKR1D1;HSD17B6;ABCA3;CROT;PAOX;CYP27A1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.919321329639889,1,-0.271761850771576,-0.798370909061765,2654,73,"ADH4;ACSS2;HMGCS1;HSD17B7;MVD;NIBAN1;ACAT2;ACTG1;CYP51A1;FASN;FDFT1;TMEM97;PCYT2;SQLE;PDK3;HMGCR;LDLR;PLSCR1;MVK;ATF3;IDI1;SREBF2;ALDOC;DHCR7;LSS;ERRFI1;GPX8;ANXA5;NSDHL;CPEB2;GNAI1;FDPS;FABP5;TNFRSF12A;SCD"
"HALLMARK_COAGULATION",0.89251968503937,1,-0.269476162574432,-0.844833478815865,2266,115,"F2RL2;PLEK;GDA;SERPINC1;FGA;HRG;CPN1;C3;MMP10;CFD;PROZ;TMPRSS6;LEFTY2;VWF;COMP;SERPINE1;ANXA1;F8;KLK8;F10;SIRT2;CSRP1"
"HALLMARK_COMPLEMENT",0.865807429871114,1,0.287674956378578,0.838621329513557,6851,177,"CFB;GZMB;SERPINA1;ITIH1;F2;ERAP2;PLG;PSMB9;ITGAM;SPOCK2;CCL5;WAS;ANG;CD36;CASP4;GATA3;FCER1G;CXCL1;GP1BA;HNF4A;LIPA;IL6;CPQ;CDH13;FN1;F5;L3MBTL4;DPP4;PIK3R5;TFPI2;DGKH"
"HALLMARK_DNA_REPAIR",1,1,-0.215174456116544,-0.694454155735135,2335,150,"CMPK2;VPS37B;HCLS1;RAD51;POLA1;TAF12;LIG1;USP11;POLR2F;RAE1;VPS37D;BRF2;ELL;GTF2H3;SAC3D1;HPRT1;ADRM1;ITPA;NME3;NME1;POLR2G;POLR1D;SF3A3;SNAPC4;PDE6G;TAF1C;CCNO;GTF2A2;ERCC1;SSRP1;RPA2;POLR1C;NUDT9;CDA;GTF3C5;SUPT5H;POLR2E;PNP;POM121;ERCC4;CETN2;SRSF6;BCAP31;UPF3B;TP53;SNAPC5;PCNA;MPG;NELFCD;POLD1;RFC3;POLR2J;POLR2C;GSDME;POLR1H;ERCC5;NT5C;COX17;ALYREF;RFC2;NCBP2;ERCC2;NPR2;NUDT21;FEN1;POLR3C;NFX1"
